Market ID,Region,Store #,,Fulfilment Type,Weeks on DPI, Status, Trend,Directional Focus  ,Max WM WK ID,OTD* %,OTP* % ,Dwell Time* ,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
44,5,284,,Scheduled Delivery Standard,5,At Risk,Degrading,Store Focus,202246,78.56%,80.40%,22.78,71.28%,86.47%,83.38%,71.95%
44,5,1455,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202246,77.32%,84.26%,22.21,89.03%,89.65%,73.77%,66.97%
44,5,1801,,Scheduled Delivery Express,4,At Risk,Recovering,Store Focus,202246,94.29%,58.70%,15.62,97.14%,93.81%,94.39%,92.25%
44,5,1801,,Scheduled Delivery Standard,42,Executive Review,Degrading,Store Focus,202246,66.13%,71.22%,22.42,76.10%,69.53%,56.86%,50.00%
44,5,2978,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202246,85.10%,84.10%,17.31,84.05%,85.22%,88.00%,82.92%
44,5,3284,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202246,78.93%,75.49%,13.42,86.84%,80.45%,72.90%,73.81%
44,5,3285,,Scheduled Delivery Standard,16,Executive Review,Degrading,Store Focus,202246,69.73%,72.32%,20.7,76.75%,87.17%,52.79%,47.13%
44,5,3631,,Scheduled Delivery Express,5,At Risk,Recovering,Store Focus,202246,97.73%,75.31%,12.45,96.24%,98.75%,98.44%,97.90%
44,5,4279,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202246,84.37%,86.82%,14.42,89.59%,89.20%,86.36%,66.74%
44,5,5147,,Scheduled Delivery Standard,5,At Risk,Degrading,Store Focus,202246,60.80%,68.15%,21.64,74.92%,70.56%,40.85%,69.03%
45,5,265,,Scheduled Delivery Standard,14,Executive Review,Degrading,Store Focus,202246,67.81%,60.76%,21.39,82.25%,69.32%,69.47%,45.87%
45,5,516,,Scheduled Delivery Standard,1,Active Monitoring,Recovering,Store Focus,202246,81.82%,75.62%,13.55,90.60%,75.62%,80.50%,80.17%
45,5,1022,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202246,75.52%,62.14%,16.03,82.03%,74.80%,74.95%,69.37%
45,5,2688,,Scheduled Delivery Express,5,At Risk,Recovering,Store Focus,202246,97.06%,64.42%,13.86,97.20%,95.65%,98.10%,97.06%
45,5,2688,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202246,82.23%,76.35%,17.63,82.21%,78.39%,84.71%,83.67%
45,5,6467,,Scheduled Delivery Standard,2,Active Monitoring,Recovering,Store Focus,202246,85.43%,88.73%,12.75,91.04%,82.99%,87.36%,79.37%
46,5,345,,Scheduled Delivery Standard,10,Executive Review,Degrading,Store Focus,202246,84.64%,72.51%,14.68,89.83%,83.54%,79.68%,85.13%
46,5,398,,Scheduled Delivery Standard,16,Executive Review,Degrading,Store Focus,202246,81.91%,77.04%,18.27,89.01%,85.03%,75.32%,77.80%
46,5,918,,Scheduled Delivery Express,6,At Risk,Recovering,Store Focus,202246,91.67%,74.84%,9.72,91.43%,88.89%,88.00%,96.97%
46,5,918,,Scheduled Delivery Standard,4,At Risk,Degrading,Store Focus,202246,78.01%,73.51%,14.22,88.05%,84.02%,71.97%,65.52%
46,5,3828,,Scheduled Delivery Standard,17,Executive Review,Recovering,Store Focus,202246,89.75%,89.36%,11.55,93.48%,90.42%,87.29%,86.85%
48,5,220,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202246,86.68%,86.83%,12.51,89.98%,87.92%,83.28%,85.01%
48,5,228,,Scheduled Delivery Express,18,Executive Review,Recovering,Store Focus,202246,99.53%,75.21%,12.91,100.00%,100.00%,98.11%,100.00%
48,5,353,,Scheduled Delivery Express,4,At Risk,Degrading,Store Focus,202246,30.36%,88.36%,10.67,36.00%,25.00%,28.57%,33.33%
48,5,371,,Scheduled Delivery Standard,4,At Risk,Degrading,Store Focus,202246,84.27%,82.32%,12.17,87.57%,86.61%,74.62%,88.45%
48,5,590,,Scheduled Delivery Express,5,At Risk,Recovering,Store Focus,202246,90.85%,72.22%,24.87,92.08%,94.44%,75.51%,96.36%
48,5,590,,Scheduled Delivery Standard,5,At Risk,Degrading,Store Focus,202246,80.20%,80.21%,28.08,81.66%,83.47%,70.17%,85.46%
48,5,804,,Scheduled Delivery Express,1,Active Monitoring,Recovering,Store Focus,202246,86.81%,77.13%,12.28,92.64%,88.89%,85.07%,76.06%
48,5,3431,,Scheduled Delivery Express,9,Executive Review,Recovering,Store Focus,202246,98.27%,76.63%,16.42,96.15%,100.00%,100.00%,97.06%
49,5,471,,Scheduled Delivery Express,2,Active Monitoring,Recovering,Store Focus,202246,90.61%,64.61%,16.13,96.39%,93.98%,80.33%,88.00%
49,5,471,,Scheduled Delivery Standard,5,At Risk,Degrading,Store Focus,202246,71.58%,79.84%,19.67,88.18%,72.03%,71.35%,16.44%
49,5,896,,Scheduled Delivery Express,5,At Risk,Recovering,Store Focus,202246,97.00%,61.73%,14.45,100.00%,99.09%,95.83%,94.83%
49,5,896,,Scheduled Delivery Standard,5,At Risk,Degrading,Store Focus,202246,74.34%,68.66%,19.99,84.40%,76.36%,69.06%,66.39%
49,5,3014,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202246,75.70%,71.15%,24.66,71.22%,75.83%,72.06%,88.87%
