New - Market Nbr,New - Region Nbr,New - BU Name
1,14,SOUTHEAST BU
2,14,SOUTHEAST BU
3,14,SOUTHEAST BU
4,11,SOUTHEAST BU
5,12,SOUTHEAST BU
7,14,SOUTHEAST BU
8,14,SOUTHEAST BU
9,61,NHM BU
10,14,SOUTHEAST BU
11,11,SOUTHEAST BU
13,14,SOUTHEAST BU
14,14,SOUTHEAST BU
15,14,SOUTHEAST BU
16,14,SOUTHEAST BU
18,2,SOUTHEAST BU
19,2,SOUTHEAST BU
20,2,SOUTHEAST BU
21,2,SOUTHEAST BU
22,2,SOUTHEAST BU
23,2,SOUTHEAST BU
24,2,SOUTHEAST BU
25,2,SOUTHEAST BU
26,2,SOUTHEAST BU
27,3,SOUTHEAST BU
28,3,SOUTHEAST BU
29,4,EAST BU
30,2,SOUTHEAST BU
32,2,SOUTHEAST BU
35,4,EAST BU
36,4,EAST BU
37,4,EAST BU
38,4,EAST BU
39,4,EAST BU
41,4,EAST BU
42,4,EAST BU
44,5,SOUTHWEST BU
45,5,SOUTHWEST BU
46,13,SOUTHWEST BU
47,44,SOUTHWEST BU
48,5,SOUTHWEST BU
49,5,SOUTHWEST BU
50,5,SOUTHWEST BU
51,5,SOUTHWEST BU
52,5,SOUTHWEST BU
53,5,SOUTHWEST BU
55,5,SOUTHWEST BU
56,5,SOUTHWEST BU
58,64,NHM BU
59,6,SOUTHWEST BU
60,6,SOUTHWEST BU
61,6,SOUTHWEST BU
62,6,SOUTHWEST BU
63,6,SOUTHWEST BU
64,6,SOUTHWEST BU
65,6,SOUTHWEST BU
66,13,SOUTHWEST BU
67,6,SOUTHWEST BU
68,13,SOUTHWEST BU
70,7,SOUTHWEST BU
71,7,SOUTHWEST BU
73,7,SOUTHWEST BU
74,7,SOUTHWEST BU
76,5,SOUTHWEST BU
77,7,SOUTHWEST BU
78,7,SOUTHWEST BU
80,7,SOUTHWEST BU
81,7,SOUTHWEST BU
82,6,SOUTHWEST BU
83,6,SOUTHWEST BU
84,6,SOUTHWEST BU
85,6,SOUTHWEST BU
86,7,SOUTHWEST BU
87,6,SOUTHWEST BU
88,7,SOUTHWEST BU
89,3,SOUTHEAST BU
90,9,SOUTHEAST BU
91,9,SOUTHEAST BU
92,9,SOUTHEAST BU
93,3,SOUTHEAST BU
94,3,SOUTHEAST BU
96,72,NHM BU
97,14,SOUTHEAST BU
98,3,SOUTHEAST BU
101,3,SOUTHEAST BU
102,72,NHM BU
103,72,NHM BU
104,3,SOUTHEAST BU
105,9,SOUTHEAST BU
107,9,SOUTHEAST BU
108,9,SOUTHEAST BU
109,9,SOUTHEAST BU
110,9,SOUTHEAST BU
111,3,SOUTHEAST BU
112,3,SOUTHEAST BU
114,3,SOUTHEAST BU
115,9,SOUTHEAST BU
116,9,SOUTHEAST BU
118,9,SOUTHEAST BU
119,12,SOUTHEAST BU
120,12,SOUTHEAST BU
121,12,SOUTHEAST BU
122,12,SOUTHEAST BU
123,12,SOUTHEAST BU
124,12,SOUTHEAST BU
125,13,SOUTHWEST BU
127,42,SOUTHEAST BU
128,13,SOUTHWEST BU
129,13,SOUTHWEST BU
130,13,SOUTHWEST BU
131,13,SOUTHWEST BU
132,13,SOUTHWEST BU
134,13,SOUTHWEST BU
135,42,SOUTHEAST BU
136,11,SOUTHEAST BU
137,11,SOUTHEAST BU
138,11,SOUTHEAST BU
140,11,SOUTHEAST BU
141,13,SOUTHWEST BU
143,13,SOUTHWEST BU
144,11,SOUTHEAST BU
145,11,SOUTHEAST BU
146,11,SOUTHEAST BU
147,11,SOUTHEAST BU
149,12,SOUTHEAST BU
151,12,SOUTHEAST BU
152,12,SOUTHEAST BU
153,12,SOUTHEAST BU
154,16,EAST BU
156,16,EAST BU
157,16,EAST BU
159,16,EAST BU
160,16,EAST BU
161,17,EAST BU
162,17,EAST BU
163,17,EAST BU
164,17,EAST BU
165,22,EAST BU
166,22,EAST BU
167,22,EAST BU
168,22,EAST BU
170,22,EAST BU
171,17,EAST BU
172,17,EAST BU
173,17,EAST BU
174,17,EAST BU
175,17,EAST BU
176,17,EAST BU
178,22,EAST BU
179,16,EAST BU
180,16,EAST BU
181,16,EAST BU
183,16,EAST BU
184,16,EAST BU
187,16,EAST BU
188,16,EAST BU
189,16,EAST BU
190,17,EAST BU
191,76,EAST BU
192,76,EAST BU
194,76,EAST BU
195,76,EAST BU
196,53,NORTH BU
197,19,NORTH BU
200,19,NORTH BU
201,19,NORTH BU
202,19,NORTH BU
203,19,NORTH BU
204,19,NORTH BU
205,19,NORTH BU
206,19,NORTH BU
207,19,NORTH BU
208,20,NORTH BU
209,20,NORTH BU
213,19,NORTH BU
214,20,NORTH BU
