DC,Wk4 Cases,Wk4 Pallets,Wk5 Cases,Wk5 Pallets,Wk6 Cases,Wk6 Pallets,Wk7 Cases,Wk7 Pallets,Wk8 Cases,Wk8 Pallets,Wk9 Cases,Wk9 Pallets,Wk10 Cases,Wk10 Pallets,Total Cases,Total Pallets
6042,401,6,"1,103",18,"1,053",17,"1,203",19,"1,003",16,201,3,50,1,"5,014",81
6047,722,12,"1,986",34,"1,895",33,"2,166",37,"1,805",31,361,6,90,2,"9,026",155
6055,475,8,"1,307",21,"1,248",20,"1,426",23,"1,188",19,238,4,59,1,"5,941",97
6056,222,3,612,9,584,9,667,10,556,8,111,2,28,0,"2,780",42
6057,529,9,"1,455",26,"1,389",24,"1,587",28,"1,323",23,265,5,66,1,"6,614",116
6059,957,14,"2,632",38,"2,512",36,"2,871",42,"2,393",35,479,7,120,2,"11,963",174
6062,1100,17,"3,026",47,"2,889",45,"3,301",51,"2,751",43,550,9,138,2,"13,756",214
6064,592,10,"1,627",27,"1,553",26,"1,775",30,"1,479",25,296,5,74,1,"7,396",124
6065,425,7,"1,169",20,"1,116",19,"1,275",22,"1,063",18,213,4,53,1,"5,313",90
6071,561,9,"1,542",26,"1,472",24,"1,682",28,"1,402",23,280,5,70,1,"7,010",117
6072,792,12,"2,179",34,"2,080",32,"2,377",37,"1,981",31,396,6,99,2,"9,906",153
6073,641,11,"1,762",31,"1,682",29,"1,923",33,"1,602",28,320,6,80,1,"8,011",139
6074,760,13,"2,089",35,"1,994",34,"2,279",38,"1,899",32,380,6,95,2,"9,497",160
6077,938,15,"2,578",42,"2,461",40,"2,813",46,"2,344",38,469,8,117,2,"11,720",192
6082,1164,18,"3,200",48,"3,055",46,"3,491",53,"2,909",44,582,9,145,2,"14,547",220
6083,722,12,"1,985",34,"1,894",32,"2,165",37,"1,804",31,361,6,90,2,"9,021",154
6084,624,12,"1,717",34,"1,639",32,"1,873",37,"1,561",31,312,6,78,2,"7,805",154
6085,847,17,"2,330",47,"2,224",45,"2,542",51,"2,118",43,424,9,106,2,"10,591",214
6090,811,17,"2,230",46,"2,129",44,"2,433",50,"2,027",42,405,8,101,2,"10,136",209
6091,365,6,"1,003",17,957,17,"1,094",19,912,16,182,3,46,1,"4,558",79
6095,597,10,"1,642",27,"1,568",26,"1,792",30,"1,493",25,299,5,75,1,"7,466",124
6096,600,11,"1,650",29,"1,575",28,"1,800",32,"1,500",26,300,5,75,1,"7,501",132
6097,1267,20,"3,483",54,"3,325",51,"3,800",59,"3,166",49,633,10,158,2,"15,832",245
6099,596,10,"1,639",27,"1,565",26,"1,788",30,"1,490",25,298,5,75,1,"7,451",124
6858,675,11,"1,855",31,"1,771",30,"2,024",34,"1,687",28,337,6,84,1,"8,433",142
7010,708,12,"1,946",32,"1,858",31,"2,123",35,"1,769",29,354,6,88,1,"8,846",147
7012,730,12,"2,008",33,"1,917",32,"2,190",36,"1,825",30,365,6,91,2,"9,126",151
7013,666,14,"1,833",37,"1,749",35,"1,999",41,"1,666",34,333,7,83,2,"8,330",169
7014,625,12,"1,719",32,"1,641",31,"1,875",35,"1,563",29,313,6,78,1,"7,814",145
7015,842,14,"2,315",40,"2,210",38,"2,525",43,"2,104",36,421,7,105,2,"10,522",181
7016,762,14,"2,097",37,"2,001",36,"2,287",41,"1,906",34,381,7,95,2,"9,531",170
7017,1061,18,"2,918",50,"2,785",47,"3,183",54,"2,652",45,530,9,133,2,"13,262",226
7018,963,16,"2,648",45,"2,528",43,"2,889",49,"2,407",41,481,8,120,2,"12,037",206
7019,811,13,"2,231",36,"2,130",35,"2,434",40,"2,028",33,406,7,101,2,"10,141",166
7021,845,17,"2,323",47,"2,218",45,"2,535",51,"2,112",43,422,9,106,2,"10,561",214
7023,541,9,"1,487",25,"1,419",24,"1,622",27,"1,352",23,270,5,68,1,"6,759",114
7024,565,12,"1,553",32,"1,483",30,"1,695",35,"1,412",29,282,6,71,1,"7,061",145
7030,690,12,"1,899",33,"1,812",32,"2,071",36,"1,726",30,345,6,86,2,"8,630",150
7048,473,10,"1,301",27,"1,242",26,"1,420",29,"1,183",24,237,5,59,1,"5,915",122
7055,957,15,"2,631",41,"2,511",39,"2,870",45,"2,392",37,478,7,120,2,"11,958",186
7077,491,10,"1,350",27,"1,288",26,"1,473",30,"1,227",25,245,5,61,1,"6,135",124
7079,771,15,"2,120",43,"2,023",41,"2,312",46,"1,927",39,385,8,96,2,"9,634",193
7084,284,6,782,16,746,16,853,18,711,15,142,3,36,1,"3,553",75
8851,344,6,945,17,902,16,"1,031",18,859,15,172,3,43,1,"4,295",76
8852,242,5,665,14,635,13,726,15,605,13,121,3,30,1,"3,025",63
