Club,City,ST,GDC,DC NAME,DISTANCE TO CLUB,FDD,Comments,SU 11/24,M 11/25,Tu 11/26,W 11/27,Th 11/28,F   11/29,Su 11/30,FZ & DD ORDER FILL Days
4109,Bossier City,LA,6056,Terrell,166,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4702,Webster,TX,6056,Terrell,273,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4703,Albuquerque,NM,7077,Cheyenne,550,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4704,Fresno,CA,8397,Colton,280,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4707,Overland Park,KS,6065,Harrisonville,40,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4709,Corona,CA,8397,Colton,20,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4710,Chesapeake (W),VA,6091,Henderson,143,2,Single Truck Delivery   Noise Ord. 10pm - 6:30am,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4711,Virginia Beach,VA,6091,Henderson,162,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4712,Houston (Memorial),TX,6056,Terrell,252,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4713,The Woodlands,TX,6056,Terrell,218,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4718,S. Jordan,UT,8397,Colton,637,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4720,Austin,TX,6056,Terrell,226,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4721,Houston  ,TX,6056,Terrell,236,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4722,Williamstown,NJ,4020,Conklin,206,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4724,Hoover,AL,4047,Atlanta,142,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4728,Lexington (SW),KY,7012,Washington CH,184,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4729,Sterling,VA,4020,Conklin,136,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4730,West Jordan,UT,8397,Colton,645,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4731,Warr Acres,OK,6042,Pauls Valley,74,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4732,Glendale,AZ,8397,Colton,335,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4735,La Habra,CA,8397,Colton,42,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4736,Apple Valley,MN,7079,Mankato,74,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4738,Eagan,MN,7079,Mankato,88,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4739,Snellville,GA,4047,Atlanta,44,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4740,Southhaven,MS,6059,Olney,341,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4741,Crestwood,MO,6059,Olney,135,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4742,Forth Worth,TX,6056,Terrell,152,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4743,Plano,TX,6056,Terrell,155,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4745,Thornton,CO,7077,Cheyenne,93,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4749,Conway,AR,6065,Harrisonville,317,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4750,Cuyahoga Falls,OH,7012,Washington CH,176,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4761,Norman,OK,6042,Pauls Valley,42,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4763,Sugarland,TX,6056,Terrell,266,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4764,Katy,TX,6056,Terrell,269,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4767,Palmdale,CA,8397,Colton,76,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4768,Reno (S),NV,8397,Colton,455,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4769,Houston (Galleria),TX,6056,Terrell,253,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4770,Evans,CO,7077,Cheyenne,73,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4771,Port Covington,MD,4020,Conklin,272,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4772,Sarasota,FL,8851,Cocoa,161,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4774,Secaucus,NJ,4020,Conklin,171,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4775,Metairie,LA,6057,Hammond,64,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4776,Huntsville (W),AL,4047,Atlanta,181,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4777,Denver (N),CO,7077,Cheyenne,104,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4778,Auburn Hills,MI,4154,Indy,296,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4780,Buford,GA,4047,Atlanta,48,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4781,Lansing,MI,4154,Indy,252,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4782,Kissimmee,FL,8851,Cocoa,54,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4783,Garland,TX,6056,Terrell,156,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4784,Las Cruces,NM,8397,Colton,710,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4785,Sanford,FL,8851,Cocoa,60,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
4786,Logan,UT,8397,Colton,733,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
