Store,Store Type,MFC Store,Possession date,RDC,FASH DC,Import DC,Return Center,City,State,GM SQFT,Total SQFT,Start Date,End Date,SubDivision,Phase 1 Date,Phase 2 Date,Phase 3 Date
1,SUP,,,6094,7842,7042,9153,ROGERS,AR,"140,920","201,314",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
2,SUP,,,6094,7842,7042,9153,HARRISON,AR,"127,191","181,701",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
3,SUP,,,6054,6014,6061,8092,COMMERCE,GA,"106,386","151,980",8/13/2024,1/27/2025,A,4/1/2027,7/1/2028,#N/A
4,SUP,,,6094,7842,7042,9153,SILOAM SPRINGS,AR,"129,104","184,435",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
5,SUP,,,6018,7842,7067,9153,CONWAY,AR,"126,113","180,161",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
7,SUP,,,6018,7842,7067,9153,SHERWOOD,AR,"144,570","206,528",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
8,SUP,,,6018,7842,7067,9153,MORRILTON,AR,"92,527","123,369",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
9,SUP,,,6069,7842,7067,9193,SIKESTON,MO,"143,878","205,540",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
10,SUP,,,6094,7842,7042,9153,TAHLEQUAH,OK,"127,905","182,721",8/13/2024,1/27/2025,B,1/1/2028,4/1/2029,#N/A
11,SUP,,,6018,7842,7067,9153,MOUNTAIN HOME,AR,"154,117","220,167",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
12,SUP,,,6094,7842,7042,9153,CLAREMORE,OK,"121,572","173,675",8/13/2024,1/27/2025,B,1/1/2028,4/1/2029,#N/A
13,SUP,,,6094,7842,7042,9153,CARTHAGE,MO,"106,697","152,425",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
14,SUP,,,6069,7842,7067,9193,LEBANON,MO,"125,971","179,958",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
15,SUP,,,6069,7842,7067,9193,WEST PLAINS,MO,"141,252","201,788",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
16,SUP,,,6094,7842,7042,9153,VAN BUREN,AR,"131,755","188,222",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
17,SUP,,,6094,7842,7042,9153,NEOSHO,MO,"126,553","180,790",8/13/2024,1/27/2025,A,1/1/2028,4/1/2029,#N/A
18,SUP,,,6018,7842,7067,9153,NEWPORT,AR,"93,880","125,173",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
19,SUP,,,6018,7842,7067,9153,POPLAR BLUFF,MO,"148,752","212,503",8/13/2024,1/27/2025,E,3/17/2025,11/13/2026,3/13/2028
20,SUP,,,6035,7842,7042,9193,CLINTON,MO,"106,386","151,980",8/13/2024,1/27/2025,E,8/15/2024,1/26/2026,5/26/2027
21,SUP,,,6069,7842,7067,9193,ST. ROBERT,MO,"129,104","184,435",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
22,SUP,,,6094,7842,7042,9153,PRYOR,OK,"128,795","183,993",8/13/2024,1/27/2025,B,1/1/2028,4/1/2029,#N/A
23,SUP,,,6048,6005,7067,9153,RUSTON,LA,"139,318","199,026",8/13/2024,1/27/2025,A,11/1/2026,2/1/2028,#N/A
24,SUP,,,6018,7842,7067,9153,JACKSONVILLE,AR,"153,825","219,750",8/13/2024,1/27/2025,A,3/17/2025,11/13/2026,3/13/2028
25,SUP,,,6069,7842,7067,9193,MEXICO,MO,"128,742","183,917",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
26,SUP,,,6035,7842,7042,9193,LEAVENWORTH,KS,"128,890","184,129",8/13/2024,1/27/2025,M,8/15/2024,1/26/2026,5/26/2027
27,SUP,,,6069,7842,7067,9193,SALEM,MO,"82,222","109,630",8/13/2024,1/27/2025,E,4/1/2028,7/1/2029,#N/A
28,SUP,,,6094,7842,7042,9153,MIAMI,OK,"133,893","191,276",8/13/2024,1/27/2025,B,1/1/2028,4/1/2029,#N/A
