Store#,Space?
2,Yes
20,Yes
23,Yes
25,Yes
26,Yes
27,Yes
29,Yes
30,Yes
35,Yes
39,Yes
43,Yes
45,Yes
56,Yes
62,Yes
64,Yes
72,Yes
76,Yes
77,Yes
80,Yes
91,Yes
92,Yes
93,Yes
94,Yes
97,Yes
101,Yes
102,Yes
104,Yes
106,Yes
108,Yes
109,Yes
112,Yes
113,Yes
114,Yes
115,Yes
117,Yes
118,Yes
120,Yes
122,Yes
124,Yes
128,Yes
129,Yes
130,Yes
132,Yes
135,Yes
137,Yes
139,Yes
141,Yes
143,Yes
147,Yes
151,Yes
152,Yes
153,Yes
154,Yes
155,Yes
159,Yes
160,Yes
162,Yes
164,Yes
167,Yes
169,Yes
171,Yes
172,Yes
173,Yes
175,Yes
182,Yes
184,Yes
188,Yes
190,Yes
192,Yes
195,Yes
198,Yes
200,Yes
203,Yes
205,Yes
213,Yes
218,Yes
222,Yes
225,Yes
226,Yes
227,Yes
228,Yes
229,Yes
233,Yes
234,Yes
236,Yes
237,Yes
238,Yes
243,Yes
244,Yes
246,Yes
248,Yes
251,Yes
252,Yes
254,Yes
256,Yes
257,Yes
267,Yes
269,Yes
271,Yes
275,Yes
276,Yes
279,Yes
282,Yes
288,Yes
294,Yes
298,Yes
300,Yes
304,Yes
306,Yes
307,Yes
309,Yes
315,Yes
317,Yes
319,Yes
324,Yes
328,Yes
329,Yes
338,Yes
342,Yes
343,Yes
344,Yes
357,Yes
362,Yes
363,Yes
364,Yes
366,Yes
376,Yes
384,Yes
387,Yes
390,Yes
392,Yes
394,Yes
395,Yes
396,Yes
397,Yes
400,Yes
401,Yes
402,Yes
403,Yes
412,Yes
413,Yes
414,Yes
416,Yes
421,Yes
430,Yes
433,Yes
435,Yes
437,Yes
438,Yes
442,Yes
443,Yes
450,Yes
454,Yes
456,Yes
458,Yes
462,Yes
463,Yes
464,Yes
465,Yes
467,Yes
473,Yes
477,Yes
479,Yes
484,Yes
485,Yes
488,Yes
493,Yes
495,Yes
497,Yes
498,Yes
500,Yes
504,Yes
505,Yes
510,Yes
511,Yes
515,Yes
518,Yes
522,Yes
530,Yes
532,Yes
533,Yes
536,Yes
539,Yes
543,Yes
544,Yes
546,Yes
548,Yes
551,Yes
552,Yes
553,Yes
554,Yes
558,Yes
561,Yes
564,Yes
568,Yes
569,Yes
571,Yes
572,Yes
577,Yes
578,Yes
581,Yes
582,Yes
583,Yes
587,Yes
589,Yes
594,Yes
599,Yes
600,Yes
609,Yes
612,Yes
615,Yes
616,Yes
619,Yes
620,Yes
623,Yes
624,Yes
628,Yes
630,Yes
631,Yes
637,Yes
638,Yes
641,Yes
643,Yes
644,Yes
647,Yes
648,Yes
651,Yes
655,Yes
657,Yes
658,Yes
659,Yes
663,Yes
666,Yes
667,Yes
672,Yes
674,Yes
675,Yes
676,Yes
681,Yes
686,Yes
688,Yes
690,Yes
692,Yes
694,Yes
695,Yes
697,Yes
699,Yes
702,Yes
703,Yes
705,Yes
707,Yes
710,Yes
711,Yes
712,Yes
714,Yes
715,Yes
719,Yes
724,Yes
726,Yes
730,Yes
731,Yes
737,Yes
739,Yes
741,Yes
742,Yes
744,Yes
745,Yes
748,Yes
749,Yes
751,Yes
752,Yes
754,Yes
758,Yes
759,Yes
761,Yes
762,Yes
765,Yes
768,Yes
769,Yes
773,Yes
775,Yes
778,Yes
780,Yes
782,Yes
793,Yes
797,Yes
801,Yes
802,Yes
808,Yes
811,Yes
813,Yes
816,Yes
818,Yes
822,Yes
833,Yes
