Store #,City,Category,Declaration Category,Declared Items,UPC ,Cat,Sub-Cat,Action Needed,Reporting Category
77,TAYLOR,Bread,Whole Wheat Bread,Sara Lee 100% Whole Wheat Bread,7294561103,16,1,,Bread
77,TAYLOR,Cheese,Cheese,GV Deluxe Sliced American ,7874235327,2,12,,Cheese
77,TAYLOR,Cheese,Cheese,GV Colby Jack 16oz,7874207964,2,12,,Cheese
77,TAYLOR,Cheese,Cheese,GV Med Cheddar 16oz,7874221730,2,12,,Cheese
77,TAYLOR,Cheese,Cheese,GV Mild Cheddar 16oz,7874237458,2,12,,Cheese
77,TAYLOR,Cheese,Cheese,GV Mild Cheddar 32oz,7874206773,2,12,,Cheese
77,TAYLOR,Cheese,Cheese,GV Mont Jack - 16oz,7874243021,2,12,,Cheese
77,TAYLOR,Cheese,Cheese,GV Mont Jack - 32oz,7874209747,2,12,,Cheese
77,TAYLOR,Cheese,Cheese,GV Mozzarella - 16oz,7874243019,2,12,,Cheese
77,TAYLOR,Cheese,Cheese,GV Mozzarella -32oz,7874211907,2,12,,Cheese
77,TAYLOR,Cheese,Cheese,GV Sharp Cheddar 16oz,7874243022,2,12,,Cheese
77,TAYLOR,Cheese,Cheese,GV Sharp Cheddar 32oz,7874214878,2,12,,Cheese
77,TAYLOR,Cheese,Cheese,Frigo String Cheese,4171623216,2,12,,Cheese
77,TAYLOR,Cheese,Cheese,GV XSharp Cheddar 16oz,7874206257,2,12,,Cheese
77,TAYLOR,Frozen Juice,Grape P 12 oz Frozen,GV Grape P 12 oz Frozen,7874222979,4,5,,Juice - Women
77,TAYLOR,Frozen Juice,Orange 12 oz - Other Pulp Free Frozen ,GV Orange Pulp Free 12 oz Frozen,7874212237,4,5,,Juice - Women
77,TAYLOR,Frozen Juice,Orange 12 oz Frozen,GV Orange 12 oz Frozen,7874237167,4,5,,Juice - Women
77,TAYLOR,Juice,Apple 64 oz.,GV Apple 64 oz,7874208819,4,4,,Juice - Children
77,TAYLOR,Juice,Cranberry Grape 64 oz,GV Crangrape 64 oz,7874206990,4,4,,Juice - Children
77,TAYLOR,Juice,Grape White 64 oz.,GV Grape White 64 oz,7874222689,4,4,,Juice - Children
77,TAYLOR,Juice,Orange 64 oz - Non Refrigerated,GV Orange 64 oz NR- 7874229660,7874229660,4,4,,Juice - Children
77,TAYLOR,Juice,Pineapple 64 oz,GV Pineapple 64 oz NR,7874201467,4,4,,Juice - Children
77,TAYLOR,Juice,Tomato 64 oz,GV Tomato 64 oz,7874206209,4,4,,Juice - Children
77,TAYLOR,Juice,Vegetable 64 oz,GV Vegetable 64 oz,7874206203,4,4,,Juice - Children
77,TAYLOR,Juice,Apple 48 oz.,Tex Sun Apple 48 oz,1630022001,4,5,,Juice - Women
