Store,City,ST,Region,Ops Manager,Tire Capacity,Total Inventory,Ttl Replen. Inventory,Tires on Demand ,Non Mod Tires,L52 Avg Units,Last Week Units,4 Tire Instock,Total Valid,Total Traited,,
1,ROGERS,AR,42,NATHAN STINES,1320,1108,979,27,100, 124 , 100 ,95.4%,163,170,,
2,HARRISON,AR,42,NATHAN STINES,855,705,545,49,109, 120 , 114 ,71.9%,127,136,,
3,COMMERCE,GA,2,NATHAN STINES,700,439,389,33,15, 117 , 160 ,58.0%,105,110,,
4,SILOAM SPRINGS,AR,42,NATHAN STINES,780,820,716,33,69, 113 , 85 ,87.0%,120,130,,
5,CONWAY,AR,42,NATHAN STINES,780,1048,927,22,97, 132 , 154 ,89.0%,155,162,,
7,SHERWOOD,AR,42,NATHAN STINES,1320,1005,897,17,89, 106 , 107 ,87.9%,155,163,,
8,MORRILTON,AR,42,NATHAN STINES,780,699,650,11,36, 114 , 105 ,82.6%,115,121,,
9,SIKESTON,MO,40,JEFF KENNEDY,780,676,615,7,52, 104 , 86 ,80.7%,118,123,,
10,TAHLEQUAH,OK,44,MONICA REED,662,939,683,150,104, 120 , 112 ,90.9%,107,111,,
11,MOUNTAIN HOME,AR,42,NATHAN STINES,855,851,758,24,67, 150 , 122 ,82.4%,130,140,,
12,CLAREMORE,OK,44,MONICA REED,855,753,682,12,57, 102 , 107 ,81.7%,129,136,,
13,CARTHAGE,MO,42,NATHAN STINES,700,623,539,28,54, 76 , 63 ,89.1%,100,103,,
14,LEBANON,MO,40,JEFF KENNEDY,662,669,556,44,67, 97 , 94 ,87.1%,96,103,,
15,WEST PLAINS,MO,40,JEFF KENNEDY,1000,866,743,47,74, 126 , 115 ,82.7%,143,143,,
16,VAN BUREN,AR,42,NATHAN STINES,780,672,600,14,56, 112 , 86 ,80.2%,120,125,,
17,NEOSHO,MO,42,NATHAN STINES,915,800,714,18,66, 105 , 119 ,82.8%,136,142,,
18,NEWPORT,AR,42,NATHAN STINES,400,469,409,6,52, 48 , 48 ,83.9%,68,74,,
19,POPLAR BLUFF,MO,40,JEFF KENNEDY,780,691,644,5,40, 100 , 87 ,84.7%,119,122,,
20,CLINTON,MO,40,JEFF KENNEDY,700,645,563,25,55, 119 , 106 ,81.0%,107,111,,
21,SAINT ROBERT,MO,40,JEFF KENNEDY,1320,1095,915,96,82, 167 , 138 ,85.2%,157,166,,
22,PRYOR,OK,44,MONICA REED,780,798,710,17,69, 111 , 93 ,85.3%,121,130,,
23,RUSTON,LA,42,NATHAN STINES,1120,993,854,19,118, 150 , 157 ,82.9%,146,158,,
24,JACKSONVILLE,AR,42,NATHAN STINES,780,837,635,64,136, 81 , 81 ,85.0%,108,116,,
25,MEXICO,MO,40,JEFF KENNEDY,1320,926,837,27,60, 110 , 111 ,83.1%,155,167,,
26,LEAVENWORTH,KS,47,GEORGE WHEATLEY,855,811,638,115,56, 135 , 140 ,77.6%,129,139,,
28,MIAMI,OK,44,MONICA REED,1320,978,864,33,79, 102 , 119 ,83.4%,159,170,,
29,JEFFERSON CITY,MO,40,JEFF KENNEDY,780,870,748,29,91, 112 , 92 ,88.3%,129,132,,
30,DEXTER,MO,40,JEFF KENNEDY,1200,899,799,13,85, 83 , 85 ,87.1%,151,159,,
31,POTEAU,OK,44,MONICA REED,915,920,812,32,74, 126 , 123 ,89.0%,136,142,,
32,BRANSON,MO,40,JEFF KENNEDY,855,695,600,49,44, 53 , 65 ,82.3%,119,121,,
33,NASHVILLE,AR,42,NATHAN STINES,400,444,365,14,63, 57 , 51 ,89.1%,71,73,,
34,NEVADA,MO,42,NATHAN STINES,855,896,725,59,110, 83 , 56 ,88.4%,119,125,,
35,MANHATTAN,KS,47,GEORGE WHEATLEY,1320,1026,912,32,80, 130 , 128 ,86.0%,164,169,,
36,PARAGOULD,AR,12,NATHAN STINES,1000,894,797,22,73, 118 , 96 ,84.3%,147,153,,
37,FARMINGTON,MO,40,JEFF KENNEDY,855,691,597,40,52, 78 , 79 ,84.1%,115,125,,
39,FORT SCOTT,KS,44,MONICA REED,1320,1032,891,47,92, 83 , 74 ,90.4%,160,163,,
40,MOBERLY,MO,40,JEFF KENNEDY,915,820,677,60,81, 75 , 61 ,82.3%,130,138,,
41,BARTLESVILLE,OK,44,MONICA REED,915,814,724,17,71, 78 , 79 ,85.0%,133,141,,
43,JUNCTION CITY,KS,47,GEORGE WHEATLEY,855,781,702,9,68, 99 , 84 ,85.6%,131,137,,
45,JONESBORO,AR,12,NATHAN STINES,855,857,756,26,73, 116 , 122 ,84.0%,129,141,,
46,BOLIVAR,MO,40,JEFF KENNEDY,498,667,542,68,55, 118 , 128 ,84.3%,85,88,,
47,SALLISAW,OK,44,MONICA REED,1320,1048,933,32,81, 116 , 119 ,90.4%,156,163,,
48,MONETT,MO,42,NATHAN STINES,780,708,641,9,56, 90 , 92 ,83.3%,117,125,,
52,HOT SPRINGS,AR,42,NATHAN STINES,1320,1014,929,7,76, 131 , 161 ,87.8%,155,165,,
54,SPRINGDALE,AR,42,NATHAN STINES,915,819,739,17,61, 119 , 92 ,82.0%,130,139,,
57,WALNUT RIDGE,AR,42,NATHAN STINES,400,376,299,33,42, 44 , 40 ,65.6%,70,72,,
58,RUSSELLVILLE,AR,42,NATHAN STINES,1320,1164,1021,40,101, 291 , 243 ,82.9%,162,172,,
59,JOPLIN,MO,42,NATHAN STINES,855,824,711,50,61, 105 , 117 ,85.2%,131,135,,
60,TROY,MO,40,JEFF KENNEDY,855,801,700,37,62, 91 , 101 ,86.2%,129,137,,
61,WARRENSBURG,MO,40,JEFF KENNEDY,1000,786,734,21,29, 148 , 144 ,73.6%,154,159,,
62,BLYTHEVILLE,AR,12,NATHAN STINES,616,597,513,33,49, 98 , 91 ,81.3%,97,102,,
63,WAGONER,OK,44,MONICA REED,662,587,520,10,55, 54 , 63 ,90.1%,94,98,,
64,BROWNSVILLE,TN,41,JEFF KENNEDY,915,700,650,32,16, 68 , 42 ,86.1%,126,131,,
65,SULLIVAN,MO,40,JEFF KENNEDY,855,743,633,31,77, 110 , 128 ,77.6%,122,129,,
66,CLARKSVILLE,AR,42,NATHAN STINES,1200,923,818,12,91, 157 , 160 ,81.6%,144,160,,
67,MENA,AR,42,NATHAN STINES,1320,896,791,9,94, 94 , 59 ,93.8%,143,150,,
68,WYNNE,AR,12,NATHAN STINES,616,660,507,65,86, 64 , 62 ,88.1%,94,99,,
69,FESTUS,MO,40,JEFF KENNEDY,1000,866,742,35,87, 118 , 136 ,91.3%,132,140,,
70,WEST MEMPHIS,AR,12,NATHAN STINES,915,1058,853,113,90, 171 , 127 ,86.5%,137,143,,
71,POCAHONTAS,AR,42,NATHAN STINES,780,653,594,4,53, 89 , 79 ,87.3%,118,122,,
72,PITTSBURG,KS,44,MONICA REED,855,851,743,33,73, 119 , 121 ,86.7%,131,135,,
73,SAPULPA,OK,44,MONICA REED,915,728,614,27,85, 62 , 68 ,82.6%,126,134,,
75,PINEVILLE,LA,13,MONICA REED,616,617,532,25,58, 100 , 94 ,78.3%,97,102,,
76,BERRYVILLE,AR,42,NATHAN STINES,550,606,492,48,64, 55 , 50 ,86.6%,84,91,,
77,TAYLOR,TX,5,MONICA REED,1320,772,704,17,49, 107 , 100 ,75.3%,163,168,,
78,MARSHFIELD,MO,40,JEFF KENNEDY,1320,887,777,15,93, 90 , 102 ,83.2%,152,161,,
79,JOPLIN,MO,42,NATHAN STINES,616,695,543,60,90, 93 , 98 ,77.2%,97,100,,
80,COLUMBIA,MO,40,JEFF KENNEDY,855,750,672,23,53, 90 , 97 ,79.4%,133,136,,
83,MAGNOLIA,AR,42,NATHAN STINES,1320,747,696,18,31, 51 , 45 ,83.7%,134,142,,
85,BENTON,AR,42,NATHAN STINES,780,859,678,72,107, 106 , 99 ,91.4%,126,130,,
86,SPRINGFIELD,MO,40,JEFF KENNEDY,1120,899,721,104,72, 72 , 104 ,79.6%,143,151,,
87,MINDEN,LA,42,NATHAN STINES,498,511,437,18,54, 79 , 73 ,87.7%,78,82,,
88,MOUNTAIN GROVE,MO,40,JEFF KENNEDY,662,606,555,15,34, 90 , 100 ,84.4%,98,103,,
89,CAMDENTON,MO,40,JEFF KENNEDY,1200,995,817,79,97, 133 , 136 ,82.6%,153,158,,
90,GROVE,OK,44,MONICA REED,780,774,667,42,63, 112 , 87 ,85.2%,122,126,,
91,FORREST CITY,AR,12,NATHAN STINES,1120,965,810,59,94, 107 , 93 ,85.4%,149,155,,
93,COVINGTON,TN,12,NATHAN STINES,1320,1008,901,61,44, 128 , 123 ,85.1%,158,167,,
94,MILLINGTON,TN,12,NATHAN STINES,616,623,564,24,33, 121 , 98 ,80.0%,105,108,,
95,DESLOGE,MO,40,JEFF KENNEDY,1320,982,814,84,82, 110 , 76 ,83.9%,151,161,,
96,HARRISONVILLE,MO,40,JEFF KENNEDY,915,707,627,42,36, 82 , 47 ,74.2%,128,134,,
98,BASTROP,LA,42,NATHAN STINES,1320,981,824,40,115, 89 , 71 ,82.7%,150,157,,
100,BENTONVILLE,AR,42,NATHAN STINES,1320,1060,923,62,73, 180 , 156 ,85.4%,170,170,,
101,ROLLA,MO,40,JEFF KENNEDY,1120,1095,879,102,112, 159 , 157 ,85.8%,147,156,,
103,SHAWNEE,OK,44,MONICA REED,1320,865,825,29,9, 128 , 136 ,83.4%,158,167,,
104,MILAN,TN,41,JEFF KENNEDY,1320,844,805,17,20, 132 , 142 ,77.2%,153,165,,
105,CORINTH,MS,12,NATHAN STINES,915,802,719,19,62, 172 , 139 ,80.5%,139,146,,
107,MARTIN,TN,41,JEFF KENNEDY,1320,801,776,13,10, 103 , 92 ,83.5%,154,160,,
108,GUTHRIE,OK,44,MONICA REED,855,788,697,26,63, 80 , 62 ,86.4%,126,134,,
109,CAMERON,MO,40,JEFF KENNEDY,662,705,612,36,55, 120 , 104 ,82.4%,105,108,,
110,WINTER GARDEN,FL,9,NATHAN STINES,1000,843,694,47,100, 104 , 64 ,82.1%,130,134,,
111,CHANUTE,KS,44,MONICA REED,616,604,511,47,44, 59 , 50 ,90.6%,90,95,,
112,STARKVILLE,MS,14,NATHAN STINES,1320,1050,900,70,78, 212 , 177 ,84.6%,159,168,,
113,CHICKASHA,OK,44,MONICA REED,1320,978,952,13,11, 124 , 106 ,85.3%,159,168,,
118,AMORY,MS,12,NATHAN STINES,780,648,581,29,36, 108 , 88 ,70.9%,115,125,,
119,BATESVILLE,AR,42,NATHAN STINES,915,833,751,21,59, 149 , 128 ,81.3%,139,145,,
