Store,BU,Reg,Mkt,Store_nbr,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Total
1,SOUTHEAST BU,42,323,1,24321.15,28629.2,25964.06,25124.9,29784.1,31022.9,37132,34313.32,37094.05,38097.455,50744.31,41806.195,404033.64
2,SOUTHEAST BU,42,322,2,10447.55,13534.9,13428.44,14196.4,16758.3,18129.9,19719.1,18258.59,17778.97,20252.32,27900.54,24360.995,214766.005
3,SOUTHEAST BU,2,21,3,10362.35,12064.05,10415.52,11297.35,12186.9,13603.15,19469,18759.13,19016.47,24014.24,36276.29,31442.75,218907.2
4,SOUTHEAST BU,42,323,4,20134.9,22676,20866,23119.05,27228.3,27182.1,29920.45,29872.1,30785.57,34658.815,45216.285,37333.54,348993.11
5,SOUTHEAST BU,42,326,5,16037.5,18471.2,18777.22,20288.05,25774.2,24658.9,25171.85,24291.63,24979.31,28557.19,44186.315,35908.23,307101.595
7,SOUTHEAST BU,42,326,7,30878.3,36243,35728.48,36781.4,42542.25,38865.65,41244.65,38802.65,37586.93,40699.26,58489.305,44899.675,482761.55
8,SOUTHEAST BU,42,326,8,3372.15,3568.8,5313.35,4196.7,6009.9,5353.15,6812.95,6094.25,6992.63,8469.86,11822.075,11760.895,79766.71
9,NORTH BU,40,335,9,9673.6,11356.05,9486.84,9546.3,13164.1,11950.85,17540.9,16120.43,17754.69,19328.95,26725.475,20218.2,182866.385
10,SOUTHWEST BU,44,347,10,16103.85,16842.3,15945.75,16563.2,21091.75,22213.55,22853.15,24172.38,24430.17,26534.92,33980.28,29178.005,269909.305
11,SOUTHEAST BU,42,328,11,12795.2,15022,14984.85,14631.68,19144,22538.55,22711.45,21984.98,24841.74,24632.19,35297.54,27448.85,256033.03
12,SOUTHWEST BU,44,347,12,18882.9,20074.8,19626.48,21033.7,26466.75,26311.2,28016.68,26579.67,29176.27,29345.04,40590.04,33681.93,319785.46
13,SOUTHEAST BU,42,334,13,13568.55,16084.3,14867.05,15577.96,18712.8,18705.15,18874.95,18911.36,19384.235,21060.53,29420.345,26837.395,232004.625
14,NORTH BU,40,357,14,12427.85,14977.45,13825.87,15605.65,20051.6,20149.25,19283.85,18256.88,18002.23,20856.52,27952.88,23646.25,225036.28
15,NORTH BU,40,333,15,2316.2,4027.95,5628.79,5335.78,8758.9,9081,10040,10028.71,10167.94,10830.06,16211.87,13865.1,106292.3
16,SOUTHEAST BU,42,321,16,22150.55,25300.25,22536,26323.5,31063.5,28879.6,29818.9,28809.2,29919.85,30529.93,43683.66,36550.505,355565.445
17,SOUTHEAST BU,42,334,17,16031.4,19426.4,19049.93,20995.3,24382.6,23064.85,27431.7,28785.14,29877.76,31844.57,45526.485,40248.89,326665.025
18,SOUTHEAST BU,42,328,18,4554.75,5057.25,5085.66,5546.5,7318.85,7472.25,8193.25,7483.4,7737.48,8334.11,11394.805,9614.37,87792.675
19,NORTH BU,40,335,19,14399.8,17138.8,17156.87,19407.45,24641.65,23574.15,24210.05,23181.27,23644.37,24826.51,34009.28,23029.955,269220.155
20,NORTH BU,40,361,20,2434.55,2575.35,3246.25,3286.35,4109.95,4101.75,4928.5,4607.37,5131.76,5960.22,8108.53,7916.08,56406.66
21,NORTH BU,40,336,21,33820.5,39060.1,31357.95,35520,36820.7,35828.65,40079.15,39488.79,42526.83,42788.98,51928.02,43840.595,473060.265
22,SOUTHWEST BU,44,347,22,4487.4,5495.2,5428.85,5790.2,7180.2,8683.5,9759.65,9255.96,9186.35,10230.11,15540.85,13794.095,104832.365
23,SOUTHEAST BU,42,135,23,16259.25,29310.2,40480.49,28882.49,32176.8,41529.15,39353.7,32509.93,28543.355,29963.345,45063.475,39525.215,403597.4
24,SOUTHEAST BU,42,326,24,23944.15,26008.8,24613,26649.35,30546.7,28876.5,29233.95,28384.47,27532.82,27647.345,38890.48,33978.645,346306.21
25,NORTH BU,40,359,25,5463,6382.8,5901.14,5032.55,5028.05,5220.6,5585.6,5842.6,5382.9,6253.09,8613.9,7465.905,72172.135
26,WEST BU,47,411,26,20776.15,23688.05,21221.23,22733.35,24942.6,24756.15,23234.53,21937.6,22342.63,23874.84,28824.95,17862.36,276194.44
