State/City,Holiday Type,,Reduced or No Sales Tax,Start Date,End Date,Eligible Items,Price Limit
Alabama,Back to School,,Reduced sales tax,7/21/2023,7/23/2023,"Clothing and footwear - $100 or less per item; computers/computer software/school computer equipment - $750 or less per item; school supplies and school art supplies - $50 or less per item; 
books - $30 or less per item","$100 or less per item
$750 or less per item
$50 or less per item
$30 or less per item"
Tennessee,Back to School,,No sales tax,7/28/2023,7/30/2023,"Clothing and footwear - $100 or less per item; school supplies and school art supplies - $100 or less per item; computers - $1,500 or less per item","$100 or less per item
$100 or less per item
$1,500 or less per item"
Arkansas,Back to School,,No sales tax,8/5/2023,8/6/2023,Clothing and footwear - less than $100 per item; clothing accessories or equipment - less than $50 per item; school supplies/school art supplies/school instructional materials/electronic devices - no price limit,"Less than $100 per item Less than $50 per item No price limit
No price limit"
Iowa,Back to School,,No sales tax,8/4/2023,8/5/2023,Clothing and footwear - less than $100 per item,Less than $100 per item
Missouri,Back to School,,No sales tax,8/4/2023,8/6/2023,"Clothing and footwear - $100 or less per item; school supplies - $50 or less per transaction; computer software - $350 or less per item; computers and computer peripherals - $1,500 or less per item","$100 or less per item
$50 or less per transaction
$350 or less per item
$1,500 or less per item"
Ohio,Back to School,,No sales tax,8/4/2023,8/6/2023,Clothing and footwear - less than $75 per item; school supplies and instructional material - less than $20 per item,Less than $75 per item Less than $20 per item
Texas,Back to School,,No sales tax,8/11/2023,8/13/2023,"Clothing and footwear
School supplies & school backpacks",Less than $100 per item Less than $100 per item
Maryland,Back to School,,No sales tax,8/13/2023,8/19/2023,Clothing and footwear (excluding accessories) - $100 or less per item; backpacks - $40 or less per item,"$100 or less per item
$40 or less per item"
