Store #,Set Week,Peak Week
2419,Week 25,Week 30
2555,Week 25,Week 30
3802,Week 25,Week 30
1741,Week 25,Week 30
1918,Week 25,Week 29
1967,Week 25,Week 28
1984,Week 25,Week 29
2012,Week 25,Week 29
2267,Week 25,Week 29
2341,Week 25,Week 29
2386,Week 25,Week 25
2660,Week 25,Week 29
2797,Week 25,Week 30
2904,Week 25,Week 30
3114,Week 25,Week 29
3409,Week 25,Week 29
4387,Week 25,Week 29
5278,Week 25,Week 29
1906,Week 25,Week 30
1970,Week 25,Week 30
2021,Week 25,Week 30
2095,Week 25,Week 30
2103,Week 25,Week 30
2118,Week 25,Week 30
2122,Week 25,Week 30
2128,Week 25,Week 30
2139,Week 25,Week 30
2155,Week 25,Week 30
2157,Week 25,Week 30
2158,Week 25,Week 29
2174,Week 25,Week 30
2180,Week 25,Week 30
2184,Week 25,Week 30
2222,Week 25,Week 30
2227,Week 25,Week 30
2228,Week 25,Week 30
2329,Week 25,Week 30
2336,Week 25,Week 30
2366,Week 25,Week 30
2629,Week 25,Week 29
2640,Week 25,Week 31
2683,Week 25,Week 30
2901,Week 25,Week 30
2902,Week 25,Week 30
2903,Week 25,Week 30
2953,Week 25,Week 30
2964,Week 25,Week 30
3200,Week 25,Week 31
3560,Week 25,Week 30
3561,Week 25,Week 30
5448,Week 25,Week 30
1860,Week 25,Week 30
1890,Week 25,Week 29
1968,Week 25,Week 30
1981,Week 25,Week 28
2009,Week 25,Week 30
2272,Week 25,Week 30
2279,Week 25,Week 29
2514,Week 25,Week 30
5345,Week 25,Week 28
1715,Week 25,Week 30
1716,Week 25,Week 31
1717,Week 25,Week 28
2027,Week 25,Week 28
2045,Week 25,Week 30
2435,Week 25,Week 30
2560,Week 25,Week 30
2577,Week 25,Week 29
2931,Week 25,Week 30
3481,Week 25,Week 30
3489,Week 25,Week 29
3780,Week 25,Week 28
3843,Week 25,Week 30
5344,Week 25,Week 30
5450,Week 25,Week 30
1797,Week 25,Week 30
1954,Week 25,Week 29
2178,Week 25,Week 30
2202,Week 25,Week 30
1788,Week 25,Week 30
1856,Week 25,Week 30
1866,Week 25,Week 30
1868,Week 25,Week 30
1919,Week 25,Week 30
1932,Week 25,Week 30
1939,Week 25,Week 30
1974,Week 25,Week 30
2013,Week 25,Week 30
2046,Week 25,Week 30
2047,Week 25,Week 30
2143,Week 25,Week 30
2153,Week 25,Week 30
2183,Week 25,Week 30
2659,Week 25,Week 30
3269,Week 25,Week 30
5076,Week 25,Week 30
2079,Week 25,Week 29
1542,Week 25,Week 30
1936,Week 25,Week 30
2100,Week 25,Week 30
2192,Week 25,Week 30
2338,Week 25,Week 30
2417,Week 25,Week 30
2522,Week 25,Week 30
5444,Week 25,Week 30
1824,Week 25,Week 30
1753,Week 25,Week 29
1762,Week 25,Week 30
1975,Week 25,Week 29
2130,Week 25,Week 29
2399,Week 25,Week 30
1698,Week 25,Week 30
1749,Week 25,Week 30
1785,Week 25,Week 29
1907,Week 25,Week 30
1930,Week 25,Week 30
2055,Week 25,Week 30
2057,Week 25,Week 30
2138,Week 25,Week 29
2330,Week 25,Week 30
2398,Week 25,Week 30
2634,Week 25,Week 30
2639,Week 25,Week 30
2758,Week 25,Week 30
3549,Week 25,Week 30
4389,Week 25,Week 30
2041,Week 25,Week 31
5384,Week 25,Week 31
1977,Week 25,Week 30
2195,Week 25,Week 30
2871,Week 25,Week 30
1742,Week 25,Week 31
1807,Week 25,Week 31
1844,Week 25,Week 31
1869,Week 25,Week 31
1921,Week 25,Week 31
2040,Week 25,Week 31
2108,Week 25,Week 31
2109,Week 25,Week 31
2254,Week 25,Week 31
2518,Week 25,Week 31
2841,Week 25,Week 31
3212,Week 25,Week 31
3236,Week 25,Week 31
3266,Week 25,Week 30
3339,Week 25,Week 31
3422,Week 25,Week 31
3774,Week 25,Week 31
3830,Week 25,Week 31
4456,Week 25,Week 31
5012,Week 25,Week 31
5047,Week 25,Week 31
5142,Week 25,Week 30
5340,Week 25,Week 29
5414,Week 25,Week 31
5476,Week 25,Week 31
2171,Week 25,Week 30
1883,Week 25,Week 30
1885,Week 25,Week 29
5446,Week 25,Week 30
1739,Week 25,Week 29
1770,Week 25,Week 29
1820,Week 25,Week 30
2540,Week 25,Week 30
5379,Week 25,Week 30
1765,Week 25,Week 30
2068,Week 25,Week 30
2141,Week 25,Week 30
2650,Week 25,Week 30
3252,Week 25,Week 30
5103,Week 25,Week 30
5130,Week 25,Week 30
5229,Week 25,Week 30
5891,Week 25,Week 30
2096,Week 25,Week 30
2129,Week 25,Week 30
2145,Week 25,Week 30
2502,Week 25,Week 30
2830,Week 25,Week 30
4612,Week 25,Week 29
5495,Week 25,Week 30
5881,Week 25,Week 30
2682,Week 25,Week 29
2224,Week 25,Week 29
2289,Week 25,Week 30
2332,Week 25,Week 30
2530,Week 25,Week 30
4156,Week 25,Week 29
