Store,Day of Week,Date,8 am -12 pm Dispense,12 pm - 4 pm Dispense,4 pm - 8 pm Dispense,10 pm-7 am Pick & Stage
1,Monday,11/7/2022,0,0,0,5
1,Tuesday,11/8/2022,3,3,3,4
1,Wednesday,11/9/2022,3,3,3,0
1,Thursday,11/10/2022,3,3,3,0
1,Friday,11/11/2022,3,3,3,0
1,Saturday,11/12/2022,3,3,3,0
1,Sunday,11/13/2022,1,1,1,0
1,Monday,11/14/2022,0,0,0,5
1,Tuesday,11/15/2022,4,4,4,4
1,Wednesday,11/16/2022,4,4,4,0
1,Thursday,11/17/2022,1,1,1,0
1,Friday,11/18/2022,1,1,1,0
1,Saturday,11/19/2022,1,1,1,0
1,Sunday,11/20/2022,1,1,1,0
1,Monday,11/21/2022,0,0,0,10
1,Tuesday,11/22/2022,6,6,6,6
1,Wednesday,11/23/2022,5,5,5,0
1,Thursday,11/24/2022,0,0,0,6
1,Friday,11/25/2022,3,3,3,0
1,Saturday,11/26/2022,3,3,3,0
1,Sunday,11/27/2022,1,1,1,0
1,Monday,11/28/2022,1,1,1,0
2,Monday,11/7/2022,0,0,0,5
2,Tuesday,11/8/2022,3,3,3,4
2,Wednesday,11/9/2022,3,3,3,0
2,Thursday,11/10/2022,3,3,3,0
2,Friday,11/11/2022,3,3,3,0
2,Saturday,11/12/2022,3,3,3,0
2,Sunday,11/13/2022,1,1,1,0
2,Monday,11/14/2022,0,0,0,5
2,Tuesday,11/15/2022,3,3,3,4
2,Wednesday,11/16/2022,3,3,3,0
2,Thursday,11/17/2022,3,3,3,0
2,Friday,11/18/2022,1,1,1,0
2,Saturday,11/19/2022,1,1,1,0
2,Sunday,11/20/2022,1,1,1,0
2,Monday,11/21/2022,0,0,0,9
2,Tuesday,11/22/2022,3,3,3,6
2,Wednesday,11/23/2022,3,3,3,0
2,Thursday,11/24/2022,0,0,0,6
2,Friday,11/25/2022,3,3,3,0
2,Saturday,11/26/2022,3,3,3,0
2,Sunday,11/27/2022,3,3,3,0
2,Monday,11/28/2022,1,1,1,0
3,Monday,11/7/2022,0,0,0,6
3,Tuesday,11/8/2022,3,3,3,5
3,Wednesday,11/9/2022,3,3,3,0
3,Thursday,11/10/2022,4,4,4,0
3,Friday,11/11/2022,3,3,3,0
3,Saturday,11/12/2022,3,3,3,0
3,Sunday,11/13/2022,1,1,1,0
3,Monday,11/14/2022,0,0,0,8
3,Tuesday,11/15/2022,3,3,3,7
3,Wednesday,11/16/2022,3,3,3,0
3,Thursday,11/17/2022,4,4,4,0
3,Friday,11/18/2022,3,3,3,0
