Store,,APR,73,YTD,74,APR,75,YTD,76,APR,77,YTD,78,APR,79,YTD,80,L12 Mths,81,L12 Mths,82,APR,83,YTD,84,APR,85,YTD,86,APR,87,YTD,88,APR,89,YTD,90,APR,91,YTD,92
515,,-7.06%,,1.11%,,-16.87%,,-1.38%,,0.19%,,6.78%,,-17.15%,,-2.86%,,4.52,,4.52,,86.20%,G,91.52%,G,6.37%,G,4.05%,G,97.06%,G,101.81%,G,0:25:00,G,0:24:16,G,1447/2578,,831/2578,
1070,,1.25%,,9.14%,G,-2.10%,,7.62%,,0.34%,,9.12%,,-13.61%,,-1.63%,,4.58,,4.58,,40.45%,,35.70%,,1.17%,,0.89%,,40.45%,,36.81%,,0:39:04,,0:38:13,,1101/2578,,759/2578,
1122,,3.06%,,8.22%,G,0.04%,,10.17%,,28.70%,G,33.67%,G,-7.80%,,-0.91%,G,4.83,G,4.83,G,20.38%,R,21.66%,R,0.70%,,0.75%,,32.18%,,35.12%,,0:45:01,,0:49:01,,852/2578,,681/2578,
2753,,-0.35%,,1.85%,,9.29%,G,11.68%,,22.88%,,22.43%,,-13.51%,,-12.54%,,4.45,,4.45,,25.23%,R,22.18%,R,0.30%,,0.54%,,80.78%,G,78.84%,G,0:35:12,,0:35:45,,716/2578,,859/2578,
3485,,5.70%,,5.47%,,-1.25%,,2.77%,,18.65%,,24.05%,,-9.02%,,-6.51%,,4.84,G,4.84,G,30.39%,R,24.37%,R,0.00%,R,0.00%,R,58.41%,,60.74%,,0:41:36,,0:37:44,,784/2578,,961/2578,
3874,,12.70%,G,9.07%,G,9.66%,G,8.25%,,23.08%,,19.19%,,0.30%,G,-2.14%,,4.88,G,4.88,G,31.28%,R,33.23%,,0.23%,,1.44%,,59.10%,,62.54%,,0:44:24,,0:45:46,,352/2578,G,621/2578,
4616,,-3.46%,,0.84%,,-15.08%,,-8.41%,,-2.22%,,2.57%,,-12.56%,,-10.61%,,4.80,G,4.80,G,33.72%,,33.69%,,3.03%,G,4.14%,G,91.38%,G,81.10%,G,1:08:47,R,1:00:15,R,1772/2578,,1648/2578,
Total,B,1.58%,,5.22%,,-4.09%,,3.84%,,11.56%,,15.90%,,-10.51%,,-4.43%,G,4.69,G,4.69,G,39.51%,,39.23%,,1.69%,,1.58%,,63.07%,G,62.57%,G,0:43:49,,0:42:54,,130/394,,110/394,
3201,,3.75%,,7.00%,,-11.15%,,-0.71%,,-21.03%,R,-7.98%,R,-0.30%,G,9.23%,G,4.43,,4.43,,49.55%,,46.19%,,0.00%,R,0.15%,R,12.69%,R,13.35%,R,0:26:26,G,0:26:29,G,1309/2578,,1116/2578,
3401,,-16.73%,R,-11.19%,R,-26.35%,R,-18.02%,R,-2.20%,,12.00%,,-45.41%,R,-39.18%,R,3.56,R,3.56,R,46.34%,,34.73%,,0.25%,,0.27%,,17.89%,R,20.99%,R,0:52:37,R,0:58:59,R,2539/2578,R,2525/2578,R
