Store#,Headcount needed from Store,Duration of Project - Weeks,Start Date
1441,12,2 weeks,6/1/2025
3118,15,4 weeks,6/1/2025
3502,14,2 weeks,6/1/2025
5134,15,3 weeks,6/1/2025
1784,15,5 weeks,6/8/2025
628,15,5 weeks,6/8/2025
5282,14,2 weeks,6/8/2025
4503,15,3 weeks,6/22/2025
3571,14,2 weeks,6/29/2025
5390,5,1 week,7/13/2025
1181,3,1 week,7/20/2025
3794,12,4weeks,8/17/2025
850,12,2 weeks,8/24/2025
1619,12,4 weeks,8/24/2025
2787,14,2 weeks,8/24/2025
1037,14,4 weeks,8/31/2025
1574,15,5 weeks,8/31/2025
1584,15,5 weeks,8/31/2025
2482,15,5 weeks,8/31/2025
2555,12,2 weeks,8/31/2025
2950,15,5 weeks,8/31/2025
3408,15,4 weeks,8/31/2025
5150,14,3 weeks,8/31/2025
5927,12,2 weeks,8/31/2025
5965,15,5 weeks,8/31/2025
640,12,4 weeks,9/7/2025
1674,15,5 weeks,9/7/2025
1747,14,4 weeks,9/7/2025
1863,14,5 weeks,9/7/2025
2152,14,2 weeks,9/7/2025
2592,15,5 weeks,9/7/2025
2886,12,4 weeks,9/7/2025
3352,12,2 weeks,9/7/2025
3352,12,3 weeks,9/7/2025
3529,12,5 weeks,9/7/2025
3741,12,2 weeks,9/7/2025
3781,14,4 weeks,9/7/2025
5201,12,4 weeks,9/7/2025
5440,12,4 weeks,9/7/2025
5443,12,2 weeks,9/7/2025
5485,15,5 weeks,9/7/2025
6998,12,2 weeks,9/7/2025
912,15,5 weeks,9/14/2025
1689,12,4 weeks,9/14/2025
1860,14,4 weeks,9/14/2025
2141,15,3 weeks,9/14/2025
2435,14,2 weeks,9/14/2025
2550,14,4 weeks,9/14/2025
2830,14,4 weeks,9/14/2025
2871,15,5 weeks,9/14/2025
3469,15,5 weeks,9/14/2025
4137,12,4 weeks,9/14/2025
5402,15,5 weeks,9/14/2025
1985,14,4 weeks,9/15/2025
787,12,2 weeks,9/21/2025
855,12,2 weeks,9/21/2025
1914,15,5 weeks,9/21/2025
2189,12,4 weeks,9/21/2025
2457,12,4 weeks,9/21/2025
3292,14,5 weeks,9/21/2025
3473,15,5 weeks,9/21/2025
3729,15,5 weeks,9/21/2025
5436,14,4 weeks,9/21/2025
5676,12,4 weeks,9/21/2025
2598,12,4 weeks,9/22/2025
1340,12,3 weeks,9/28/2025
1459,14,4 weeks,9/28/2025
1518,14,4 weeks,9/28/2025
2070,15,4 weeks,9/28/2025
2098,3,1 week,9/28/2025
2537,12,4 weeks,9/28/2025
2951,12,4 weeks,9/28/2025
3401,0,1 week,9/28/2025
3621,12,2 weeks,9/28/2025
4557,12,2 weeks,9/28/2025
631,3,1 week,10/5/2025
1185,15,5 weeks,10/5/2025
1443,12,2 weeks,10/5/2025
2362,14,5 weeks,10/5/2025
2774,0,1 week,10/5/2025
2859,14,2 weeks,10/5/2025
3061,12,2 weeks,10/5/2025
3180,12,4 weeks,10/5/2025
3280,12,6 weeks,10/5/2025
3710,12,2 weeks,10/5/2025
4239,15,4 weeks,10/5/2025
5957,12,2 weeks,10/5/2025
1586,12,1 week,10/12/2025
5185,14,3 weeks,10/12/2025
5192,12,2 weeks,10/12/2025
5334,12,4 weeks,10/12/2025
1557,14,2 weeks,10/19/2025
2946,14,2 weeks,10/19/2025
3367,14,5 weeks,10/19/2025
5077,12,4 weeks,10/19/2025
5281,14,4 weeks,10/19/2025
5686,12,4 weeks,11/2/2025
