Store,Dept,Inventory Dollars,Format
1,80,"$25,425.95",WM Supercenter
1,93,"$64,124.45",WM Supercenter
1,94,"$52,685.71",WM Supercenter
1,98,"$24,783.67",WM Supercenter
2,80,"$16,769.27",WM Supercenter
2,93,"$65,409.84",WM Supercenter
2,94,"$43,009.06",WM Supercenter
2,98,"$38,903.25",WM Supercenter
3,80,"$15,106.28",WM Supercenter
3,93,"$44,858.49",WM Supercenter
3,94,"$32,294.47",WM Supercenter
3,98,"$22,507.07",WM Supercenter
4,80,"$15,312.02",WM Supercenter
4,93,"$70,582.98",WM Supercenter
4,94,"$46,219.14",WM Supercenter
4,98,"$31,187.17",WM Supercenter
5,80,"$17,800.53",WM Supercenter
5,93,"$59,251.17",WM Supercenter
5,94,"$25,667.18",WM Supercenter
5,98,"$22,119.28",WM Supercenter
7,80,"$13,574.01",WM Supercenter
7,93,"$70,077.71",WM Supercenter
7,94,"$30,891.45",WM Supercenter
7,98,"$20,972.53",WM Supercenter
8,80,"$3,622.69",WM Supercenter
8,93,"$49,904.17",WM Supercenter
8,94,"$24,470.03",WM Supercenter
8,98,"$7,410.23",WM Supercenter
9,80,"$25,483.52",WM Supercenter
9,93,"$64,633.33",WM Supercenter
9,94,"$28,247.32",WM Supercenter
9,98,"$31,462.11",WM Supercenter
10,80,"$24,654.98",WM Supercenter
10,93,"$103,824.63",WM Supercenter
10,94,"$61,904.38",WM Supercenter
10,98,"$26,144.81",WM Supercenter
11,80,"$22,910.91",WM Supercenter
11,93,"$81,111.58",WM Supercenter
11,94,"$56,705.91",WM Supercenter
11,98,"$30,020.15",WM Supercenter
12,80,"$13,637.80",WM Supercenter
12,93,"$64,771.64",WM Supercenter
12,94,"$41,237.12",WM Supercenter
12,98,"$25,001.82",WM Supercenter
13,80,"$16,232.03",WM Supercenter
13,93,"$51,912.74",WM Supercenter
13,94,"$28,034.37",WM Supercenter
13,98,"$19,196.94",WM Supercenter
14,80,"$15,752.83",WM Supercenter
14,93,"$68,795.91",WM Supercenter
14,94,"$43,740.51",WM Supercenter
14,98,"$25,335.66",WM Supercenter
15,80,"$16,971.18",WM Supercenter
15,93,"$62,462.60",WM Supercenter
15,94,"$22,479.34",WM Supercenter
15,98,"$22,661.69",WM Supercenter
16,80,"$14,223.07",WM Supercenter
16,93,"$58,983.60",WM Supercenter
16,94,"$35,787.86",WM Supercenter
16,98,"$25,060.24",WM Supercenter
17,80,"$25,375.34",WM Supercenter
17,93,"$65,063.62",WM Supercenter
17,94,"$44,667.24",WM Supercenter
17,98,"$30,310.16",WM Supercenter
18,80,"$11,621.36",WM Supercenter
18,93,"$37,002.60",WM Supercenter
18,94,"$19,917.80",WM Supercenter
18,98,"$16,195.98",WM Supercenter
19,80,"$25,007.69",WM Supercenter
19,93,"$97,301.48",WM Supercenter
19,94,"$45,859.14",WM Supercenter
19,98,"$27,854.42",WM Supercenter
20,80,"$13,349.16",WM Supercenter
20,93,"$56,225.08",WM Supercenter
20,94,"$30,690.52",WM Supercenter
20,98,"$20,119.66",WM Supercenter
21,80,"$11,645.61",WM Supercenter
21,93,"$65,489.27",WM Supercenter
21,94,"$28,050.85",WM Supercenter
21,98,"$29,096.25",WM Supercenter
22,80,"$17,658.43",WM Supercenter
22,93,"$86,407.25",WM Supercenter
22,94,"$37,258.08",WM Supercenter
22,98,"$22,099.57",WM Supercenter
23,80,"$13,294.54",WM Supercenter
23,93,"$58,102.64",WM Supercenter
23,94,"$35,927.17",WM Supercenter
23,98,"$19,604.32",WM Supercenter
24,80,"$21,953.27",WM Supercenter
24,93,"$87,102.49",WM Supercenter
24,94,"$27,173.30",WM Supercenter
24,98,"$20,867.51",WM Supercenter
25,80,"$12,427.50",WM Supercenter
25,93,"$54,368.65",WM Supercenter
25,94,"$26,200.59",WM Supercenter
25,98,"$22,298.16",WM Supercenter
26,80,"$15,331.50",WM Supercenter
26,93,"$65,685.29",WM Supercenter
26,94,"$34,535.98",WM Supercenter
26,98,"$20,450.89",WM Supercenter
27,80,"$12,349.64",WM Supercenter
27,93,"$36,631.40",WM Supercenter
27,94,"$17,553.67",WM Supercenter
27,98,"$5,488.33",WM Supercenter
28,80,"$18,916.62",WM Supercenter
28,93,"$63,413.06",WM Supercenter
28,94,"$35,645.95",WM Supercenter
28,98,"$22,585.24",WM Supercenter
29,80,"$19,800.09",WM Supercenter
29,93,"$45,248.70",WM Supercenter
29,94,"$24,324.41",WM Supercenter
29,98,"$32,254.00",WM Supercenter
30,80,"$12,618.71",WM Supercenter
30,93,"$44,572.66",WM Supercenter
30,94,"$29,909.50",WM Supercenter
30,98,"$18,642.35",WM Supercenter
31,80,"$16,060.08",WM Supercenter
31,93,"$66,620.68",WM Supercenter
31,94,"$36,830.59",WM Supercenter
31,98,"$16,595.62",WM Supercenter
33,80,"$9,434.17",WM Supercenter
33,93,"$45,340.38",WM Supercenter
33,94,"$21,202.99",WM Supercenter
33,98,"$6,935.23",WM Supercenter
34,80,"$20,789.83",WM Supercenter
34,93,"$62,659.33",WM Supercenter
34,94,"$41,199.79",WM Supercenter
34,98,"$19,448.86",WM Supercenter
35,80,"$18,413.94",WM Supercenter
35,93,"$71,895.44",WM Supercenter
35,94,"$45,577.16",WM Supercenter
35,98,"$31,021.81",WM Supercenter
36,80,"$3,317.87",WM Supercenter
36,93,"$51,567.15",WM Supercenter
36,94,"$36,823.38",WM Supercenter
36,98,"$17,338.08",WM Supercenter
37,80,"$17,933.29",WM Supercenter
37,93,"$59,488.98",WM Supercenter
37,94,"$27,138.31",WM Supercenter
37,98,"$25,798.61",WM Supercenter
38,80,"$11,980.94",WM Supercenter
38,93,"$48,827.93",WM Supercenter
38,94,"$23,737.95",WM Supercenter
38,98,"$5,401.48",WM Supercenter
39,80,"$16,854.55",WM Supercenter
39,93,"$44,563.66",WM Supercenter
39,94,"$33,349.64",WM Supercenter
39,98,"$23,020.40",WM Supercenter
40,80,"$12,676.47",WM Supercenter
40,93,"$52,960.00",WM Supercenter
40,94,"$26,630.74",WM Supercenter
40,98,"$16,416.64",WM Supercenter
41,80,"$23,666.93",WM Supercenter
41,93,"$96,389.35",WM Supercenter
41,94,"$54,042.64",WM Supercenter
41,98,"$24,257.16",WM Supercenter
42,80,"$12,625.96",WM Supercenter
42,93,"$49,782.17",WM Supercenter
42,94,"$20,237.32",WM Supercenter
42,98,"$15,230.06",WM Supercenter
43,80,"$13,461.25",WM Supercenter
43,93,"$47,040.91",WM Supercenter
43,94,"$29,809.81",WM Supercenter
43,98,"$20,682.11",WM Supercenter
45,80,"$13,645.82",WM Supercenter
