Store,Dept,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments
1,2,Equate 5x Flushable Wipes 240 PC Endcap,Full EC,2,46,
1,40,13PC ZzzQuil Mxd PDQ,Full EC,1,46,
1,40,17 PC Pepto Liquids PDQ,Full EC,1,46,
1,40,60PCEQ IBU TAB 100,Full EC,1,46,
1,40,80ct FAk PDQ,Full EC,1,46,
1,40,8PC8ZANTAC PDQ,Full EC,1,46,
1,40,Aleve PDQ 22pc,Half EC,2,46,
1,40,"BioFreeze 32pc PDQ: Gel, RollOn, Foam",Full EC,1,46,
1,40,Cortizone 2oz 8pc PDQ,Full EC,1,46,
1,40,Emc 16Pc Pdq,Full EC,1,46,
1,40,EMERGEN-C 18PC PDQ,4-way,1,46,
1,90,"PB Blueberry Biscuits,Mini Cinni Stick Assortment",Bunker,1,46,
1,92,KRUSTEAZ PANCAKE 10LB,Half EC,1,46,
1,92,MRS BUTTER 64 OZ,Half EC,1,46,
1,92,QKR Oats 42oz Mixed Pallet,Full Stack,2,46,
1,92,"Rice Chex, Corn Chex, Wheat Chex - Family Size",Full Stack,1,46,
1,92,SM COCOA CAN 45.68OZ,Half EC,1,46,
1,95,60ct Cheetos Holiday Tins,Full Stack,1,46,
1,95,Circus Time $1 Butter Popcorn,Full Stack,2,46,
1,95,Mac's BBQ and Original Barrel Mixed Pallet 160 CT,Full Stack,1,46,
1,95,Martinelli Display 5 Flavor Pallet,Full Stack,1,46,
2,2,Equate 5x Flushable Wipes 240 PC Endcap,Full EC,1,46,
2,2,Listerine 108pc PocketPaks Sidekick:,SDK,1,46,
2,8,Bullibone Dog Chew Toy Sidekick,SDK,1,46,
2,8,Nerf Pet Treat shooter,SDK,1,46,
2,40,40PC PEPTO SDK,SDK,1,46,
2,95,"198ct GV Potato Chip (Asstd PC Core, Prop65) DRP",Full Stack,1,46,
2,95,60ct Cheetos Holiday Tins,Full Stack,1,46,
2,95,Sensible Portions 14oz Veggie Straws 192ct pallet,Full Stack,1,46,
3,2,Equate 5x Flushable Wipes 240 PC Endcap,Full EC,1,46,
3,40,17 PC Pepto Liquids PDQ,Full EC,1,46,
3,40,24pc IH PRO + ASP Wellness PDQ,4-way,1,46,
3,40,80ct FAk PDQ,Full EC,1,46,
3,95,60ct Cheetos Holiday Tins,Full Stack,1,46,
3,95,Hawaiian Punch Mixed Pallet Fruit Punch/Polar Blast 192pcs,Full Stack,1,46,
3,95,Sensible Portions 14oz Veggie Straws 192ct pallet,Full Stack,1,46,
4,14,Bella Cotton Candy Maker,Full EC,1,46,
4,80,"Bella Rosa 3 Cheese Wedge Tray, 70 units",Bunker,1,46,
4,80,CAST GOUDA ROUND 7 O (Gouda Cheese),Bunker,1,46,
4,80,DNL VRTY 6OZ (Gourmet Meat Variety Pack),Bunker,1,46,
4,80,FORMAGGIO ART WRAPS (Gourmet Meat Panino),Bunker,1,46,
4,80,PRS BRIE RND 8OZ,Bunker,1,46,
4,80,ROTH CRANCINN CHEVRE (Holiday Goat Cheese),Bunker,1,46,
4,92,KRUSTEAZ PANCAKE 10LB,Half EC,2,46,
4,92,MRS BUTTER 64 OZ,Half EC,2,46,
4,95,60ct Cheetos Holiday Tins,Full Stack,1,46,
5,2,Equate 5x Flushable Wipes 240 PC Endcap,Full EC,1,46,
5,7,HW Monster Jam 1:64 Diecast Dump Bin,Half Stack,1,46,
5,9,SPLATRBALL 375 BLASTER,Full EC,2,46,
5,11,Duraflame 6pk Gold Firelog,Full Stack,1,46,
7,2,BIC Shv Cntr Disp Mix,4-way,1,46,
7,2,Equate 5x Flushable Wipes 240 PC Endcap,Full EC,1,46,
7,7,Play Day Jumbo Bowling,Half Stack,1,46,
7,95,60ct Cheetos Holiday Tins,Full Stack,1,46,
8,2,Equate 5x Flushable Wipes 240 PC Endcap,Full EC,1,46,
8,95,60ct Cheetos Holiday Tins,Full Stack,1,46,
9,92,"Rice Chex, Corn Chex, Wheat Chex - Family Size",Full Stack,1,46,
10,92,"Rice Chex, Corn Chex, Wheat Chex - Family Size",Full Stack,1,46,
10,95,"198ct GV Potato Chip (Asstd PC Core, Prop65) DRP",Full Stack,1,46,
10,95,60ct Cheetos Holiday Tins,Full Stack,1,46,
10,95,Circus Time $1 Butter Popcorn (672 Ct),Full Stack,1,46,
11,2,Equate 5x Flushable Wipes 240 PC Endcap,Full EC,2,46,
11,7,HW Monster Jam 1:64 Diecast Dump Bin,Half Stack,2,46,
11,7,Lincoln Logs Country Campfire Ranch Endcap,Full EC,2,46,
11,7,SP Monster Jam 1:64 Diecast Dump Bin,Half Stack,2,46,
11,8,Bullibone Dog Chew Toy Sidekick,SDK,1,46,
11,8,Nerf Pet Treat shooter,SDK,1,46,
11,9,16.4OZ PROPANE 2PK,Full EC,1,46,
11,9,28QT Enviro Foam Cooler,Half Stack,1,46,
11,9,LIFETIME SLED,Full Stack,1,46,
11,9,Marvel Owala Stainless Steel Water Bottles,Half EC,1,46,
11,11,Evirolog 6pk/4.3lb,Full Stack,1,46,
11,12,Kidde Battery Carbon Monoxide Alarm,SDK,2,46,
11,12,Kidde Micro 10-Year Smoke Alarm Sidekick,SDK,1,46,
11,16,"Black Max 20"" Chainsaw",Full EC,1,46,
11,40,24pc. EQ Omeprazole PDQ,Full EC,1,46,
11,40,60PCEQ IBU TAB 100,Full EC,3,46,
11,40,EQ Dicl 1% Gel 100gm,4-way,2,46,
11,40,Goody's Headache Powder 48pc PDQ,4-way,2,46,
11,92,Bush Blackeyed Peas,Half EC,1,46,
11,92,QKR Oats 42oz Mixed Pallet,Full Stack,1,46,
11,95,60ct Cheetos Holiday Tins,Full Stack,1,46,
12,8,Bullibone Dog Chew Toy Sidekick,SDK,1,46,
12,11,25pc Tic Tac Case SK,SDK,1,46,
12,71,BIG JOE JOEY Assortment,Half EC,2,46,
12,80,FORMAGGIO ART WRAPS (Gourmet Meat Panino),Bunker,1,46,
12,82,Pillow Pad Mixed 64PC Half Pallet,Half Stack,1,46,
12,82,Snuggie Sherpa 36PC Half Pallet,Half Stack,1,46,
12,92,Holiday Rice Krispies - Red & Green,Half Stack,1,46,
12,92,VEL 2LB ORIG HP 240 CT,Half Stack,1,46,
12,95,"198ct GV Potato Chip (Asstd PC Core, Prop65) DRP",Full Stack,1,46,
12,95,60ct Cheetos Holiday Tins,Full Stack,2,46,
12,95,Mac's BBQ and Original Barrel Mixed Pallet 160 CT,Full Stack,1,46,
12,95,Martinelli Display 5 Flavor Pallet 672pc,Full Stack,1,46,
12,95,SOH Family Size Pretzels Half Pallet (132 units),Half Stack,1,46,
13,2,Equate 5x Flushable Wipes 240 PC Endcap,Full EC,1,46,
13,14,468PC CKL STRKT 22PLASTIC2,Full Stack,1,46,
13,40,15PC EQ DICL 1% GEL 100GM,SDK,2,46,
13,40,24PC EQ DS SR GUAFN,SDK,1,46,
13,40,EQ Ibuprofen Tablet 2x250ct,Full EC,1,46,
13,92,"Rice Chex, Corn Chex, Wheat Chex - Family Size",Full Stack,1,46,
13,92,VEL 2LB ORIG HP 240 CT,Half Stack,1,46,
13,92,VEL 2LB ORIG HP 240 CT,Half Stack,1,46,
13,95,"198ct GV Potato Chip (Asstd PC Core, Prop65) DRP",Full Stack,1,46,
13,95,60ct Cheetos Holiday Tins,Full Stack,1,46,
13,95,Tampico Gallon - Blue Raspberry,Full Stack,1,46,
13,95,Tampico Gallon - Peach,Full Stack,1,46,
13,95,Tampico Gallon - Pineapple-Coconut,Full Stack,1,46,
14,2,Equate 5x Flushable Wipes 240 PC Endcap,Full EC,1,46,
14,8,TC 247 Scoop 35lb,Full Stack,1,46,
14,9,48IN SNOWBOARD BLUE,Full Stack,1,46,Cancel - supply chain issues
14,9,LIFETIME SLED,Full Stack,1,46,
14,9,SPLATRBALL BLASTER KIT,Full EC,1,46,
14,11,Duraflame 6pk Gold Firelog,Full Stack,1,46,
14,17,MS 15X29 BOOT TRAY 20 PK PDQ,Full EC,1,46,
14,40,6PC Nervive 15in PDQ,Half EC,1,46,
14,40,BC Headache Powder 48pc PDQ,4-way,1,46,
14,40,Dramamine Less Drowsy Sidekick 18pc,SDK,1,46,
14,40,Tums 29 pc PDQ,Full EC,1,46,
14,40,Voltaren 24pcs Full Sidekick,SDK,1,46,
14,92,QKR IQO 10ct Mixed Pallet,Full Stack,1,46,
14,92,VEL 2LB ORIG HP 240 CT,Half Stack,1,46,
14,95,"198ct GV Potato Chip (Asstd PC Core, Prop65) DRP",Full Stack,1,46,
14,95,Circus Time $1 Butter Popcorn (672 Ct),Full Stack,1,46,
14,95,Martinelli Display 5 Flavor Pallet 672pc,Full Stack,1,46,
14,95,Sensible Portions 14oz Veggie Straws 192ct pallet,Full Stack,1,46,
15,2,Equate 5x Flushable Wipes 240 PC Endcap,Full EC,2,46,
15,40,60PCEQ IBU TAB 100,Full EC,2,46,
16,2,Equate 5x Flushable Wipes 240 PC Endcap,Full EC,1,46,
16,8,Nerf Pet Treat shooter,SDK,1,46,
16,92,VEL 2LB ORIG HP 240 CT,Half Stack,1,46,
16,95,"198ct GV Potato Chip (Asstd PC Core, Prop65) DRP",Full Stack,1,46,
16,95,Circus Time $1 Butter Popcorn (672 Ct),Full Stack,1,46,
16,95,Hawaiian Punch Mixed Pallet Fruit Punch/Polar Blast 192pcs,Full Stack,1,46,
16,95,Sensible Portions 14oz Veggie Straws 192ct pallet,Full Stack,1,46,
16,95,SOH Family Size Pretzels Half Pallet (132 units),Half Stack,1,46,
17,2,Equate 5x Flushable Wipes 240 PC Endcap,Full EC,1,46,
17,92,Bush Blackeyed Peas,Half EC,1,46,
17,92,SM COCOA CAN 45.68OZ,Half EC,2,46,
17,95,60ct Cheetos Holiday Tins,Full Stack,1,46,
18,2,BIC Shv Cntr Disp Mix,4-way,1,46,
18,92,Bush Blackeyed Peas,Half EC,1,46,
18,95,"198ct GV Potato Chip (Asstd PC Core, Prop65) DRP",Full Stack,1,46,
18,95,60ct Cheetos Holiday Tins,Full Stack,3,46,
19,7,253PC MODEL KIT FEAT,Full Stack,1,46,
19,40,13PC ZzzQuil Mxd PDQ,Full EC,1,46,
19,40,17 PC Pepto Liquids PDQ,Full EC,1,46,
19,40,80ct FAk PDQ,Full EC,1,46,
19,40,EQ Ibuprofen Tablet 2x250ct,Full EC,1,46,
19,82,Snuggie Sherpa 36PC Half Pallet,Half Stack,1,46,
19,95,Circus Time $1 Butter Popcorn (672 Ct),Full Stack,2,46,
19,95,Hawaiian Punch Mixed Pallet Fruit Punch/Polar Blast 192pcs,Full Stack,1,46,
19,95,Martinelli Display 5 Flavor Pallet 672pc,Full Stack,1,46,
20,2,Equate 5x Flushable Wipes 240 PC Endcap,Full EC,1,46,
20,7,40PC CARD SIDEKICK,SDK,1,46,
20,14,Mainstays 12 Cup Coffee Programable,Full EC,1,46,
20,17,Dearfoams Backrest Action Alley Pallet,Full Stack,1,46,
20,71,Big Joe Joey Assortment,Half EC,1,46,
20,82,Calming Heat Heating and Massaging Pad 36PC HP,Half Stack,1,46,
20,92,KRUSTEAZ PANCAKE 10LB,Half EC,1,46,
20,92,MRS BUTTER 64 OZ,Half EC,1,46,
20,95,60ct Cheetos Holiday Tins,Full Stack,1,46,
21,9,16.4OZ PROPANE 2PK,Full EC,1,46,
21,11,Pine Mountain 6pk/3hr Firelog,Full Stack,1,46,
21,40,40PC Pepto Sidekick,SDK,1,46,
21,40,EQ Ibuprofen Tablet 2x250ct,Full EC,4,46,
21,90,"PB Monkey Bread, GarlicButter PullApart Assortment",Bunker,1,46,
21,92,SM COCOA CAN 45.68OZ,Half EC,1,46,
21,95,Circus Time $1 Butter Popcorn,Full Stack,1,46,
22,11,Pine Mountain 6pk/3hr Firelog,Full Stack,1,46,
22,92,WM GMI (5) KID EQUITY OATMEAL 270PC,Half Stack,1,46,
22,95,"198ct GV Potato Chip (Asstd PC Core, Prop65) DRP",Full Stack,1,46,
22,95,Circus Time $1 Butter Popcorn (672 Ct),Full Stack,2,46,
22,95,Kettle Brand Potato Chips Full Pallet (320 units),Full Stack,1,46,
23,2,Equate 5x Flushable Wipes 240 PC Endcap,Full EC,1,46,
23,14,Cinsa 15qt Steamer,Full EC,1,46,
23,40,17 PC Pepto Liquids PDQ,Full EC,1,46,
23,40,24pc IH PRO + ASP Wellness PDQ,4-way,1,46,
23,40,60PCEQ IBU TAB 100,Full EC,1,46,
23,40,BC Headache Powder 48pc PDQ,4-way,1,46,
23,40,Emc 16Pc Pdq,Full EC,1,46,
23,95,60ct Cheetos Holiday Tins,Full Stack,1,46,
23,95,Martinelli Display 5 Flavor Pallet,Full Stack,1,46,
23,95,Tampico Gallon - Blue Raspberry,Full Stack,1,46,
24,2,Equate 5x Flushable Wipes 240 PC Endcap,Full EC,1,46,
24,40,24pc. EQ Omeprazole PDQ,Full EC,1,46,
24,40,60PCEQ IBU TAB 100,Full EC,1,46,
24,40,BC Headache Powder 48pc PDQ,4-way,1,46,
24,40,Tums 29 pc PDQ,Full EC,1,46,
24,92,GV RANCH DRSG 16Z,Half EC,1,46,
24,95,"198ct GV Potato Chip (Asstd PC Core, Prop65) DRP",Full Stack,1,46,
24,95,60ct Cheetos Holiday Tins,Full Stack,1,46,
24,95,Circus Time $1 Butter Popcorn (672 Ct),Full Stack,2,46,
25,40,24pc. EQ Omeprazole PDQ,Full EC,1,46,
25,40,"Biofreeze 80pc Gell, RollOn Qbin",Q-Bin,1,46,
25,95,"198ct GV Potato Chip (Asstd PC Core, Prop65) DRP",Full Stack,1,46,
25,95,Mac's BBQ and Original Barrel Mixed Pallet 160 CT,Full Stack,1,46,
26,2,Equate 5x Flushable Wipes 240 PC Endcap,Full EC,1,46,
26,17,120PC YANKEE CNDL HP,Half Stack,1,46,
26,40,13PC ZzzQuil Mxd PDQ,Full EC,1,46,
26,40,15pc Tylenol 24 PDQ,4-way,1,46,
26,40,60PCEQ IBU TAB 100,Full EC,1,46,
26,40,Aleve PDQ 22pc,Half EC,1,46,
26,40,Salonpas 14pc PDQ,4-way,1,46,
26,95,60ct Cheetos Holiday Tins,Full Stack,1,46,
27,40,60PCEQ IBU TAB 100,Full EC,1,46,
27,40,Tums 29 pc PDQ,Full EC,1,46,
27,90,"PB Blueberry Biscuits,Mini Cinni Stick Assortment",Bunker,1,46,
27,95,Circus Time $1 Butter Popcorn,Full Stack,1,46,
27,95,Circus Time $1 Butter Popcorn (672 Ct),Full Stack,1,46,
27,95,Mac's BBQ and Original Barrel Mixed Pallet 160 CT,Full Stack,1,46,
28,40,17 PC Pepto Liquids PDQ,Full EC,1,46,
28,40,24pc. EQ Omeprazole PDQ,Full EC,1,46,
28,40,60PCEQ IBU TAB 100,Full EC,1,46,
28,40,80ct FAk PDQ,Full EC,1,46,
28,40,Dramamine Less Drowsy Sidekick 18pc,SDK,1,46,
28,40,EMERGEN-C 18PC PDQ,4-way,1,46,
28,80,"Bella Rosa 3 Cheese Wedge Tray, 70 units",Bunker,1,46,
28,92,Arby's Sauce & Arby's Horsey Sauce Assortment,Full EC,3,46,
28,92,Bush Blackeyed Peas,Half EC,1,46,
28,92,"Catalina Crunch Apple Cider Donut Cereal, 24 units",Side-stack,1,46,
28,95,"198ct GV Potato Chip (Asstd PC Core, Prop65) DRP",Full Stack,1,46,
28,95,Circus Time $1 Butter Popcorn,Full Stack,2,46,
28,95,Circus Time $1 Butter Popcorn (672 Ct),Full Stack,1,46,
29,8,TC 24/7 SCOOP 35#,Full Stack,1,46,
29,9,16.4OZ PROPANE 2PK,Full EC,1,46,
30,92,VEL 2LB ORIG HP 240 CT,Half Stack,1,46,
31,9,Laser Football & Mini Football,Full Stack,1,46,
