Store #,Address,Store,State,Poss Date,Door,Walmart REX/GO Date,Winston Goal Start Date,Staffing Status,VM Name,Start Date,Confirmed Temp Solve ,Notes
70,"798 West Service Road, West Memphis, AR 72301",WEST MEMPHIS,AR,1/15/24,2024,4/5/24,4/22/24,Hired,Morgan L.,4/22/24,4/1-4/5,
130,"1000 West Shawnee St, Muskogee, OK 74403",MUSKOGEE,OK,1/8/24,2024,4/12/24,4/22/24,Hired,Ashley L.,5/20/24,3/25-3/29,
160,"219 Highway 412, Ash Flat, AR 72513",ASH FLAT,AR,1/22/24,2024,4/26/24,4/22/24,Hired,Tammy S.,5/6/24,4/22-4/26,
248,"1406 East Milam, Mexia, TX 76667",MEXIA,TX,1/8/24,2024,4/12/24,4/22/24,Hired,Hogan C.,5/28/24,3/25-3/29,
640,"1451 Woodruff Road, Greenville, SC 29607",GREENVILLE,SC,1/15/24,2024,4/19/24,4/22/24,Hired,Erin H.,4/8/24,,
643,"10820 N. Kings Hwy, Myrtle Beach, SC 29572",MYRTLE BEACH,SC,1/8/24,2024,4/26/24,4/22/24,Hired,Lisa S.,4/29/24,,
681,"11697 U.S. Hwy 431, Guntersville, AL 35976",GUNTERSVILLE,AL,,2024,4/26/24,4/22/24,Hired,Jody L.,6/3/24,,
726,"2643 Hwy 280 West, Alexander City, AL 35010",ALEXANDER CITY,AL,1/22/24,2024,4/26/24,4/22/24,Hired,Tara A.,6/24/24,4/22-4/26,
821,"3728 N Prince Street, Clovis, NM 88101",CLOVIS,NM,,2024,4/26/24,4/22/24,Hired,Christine V.,5/20/24,5/6-5/10,
822,"3700 I-40 East, Amarillo, TX 79103",AMARILLO,TX,1/8/24,2024,4/26/24,4/22/24,Hired,Omar L.,5/9/24,,
1142,"1618 W Mcclain, Scottsburg, IN 47170",SCOTTSBURG,IN,1/8/24,2024,4/12/24,4/22/24,Hired,Tiffany B.,4/22/24,"4/5, 4/9-4/12",
1229,"2780 John Hawkins Pkwy, Hoover, AL 35244",HOOVER,AL,1/8/24,2024,4/26/24,4/22/24,Hired,Olivia C.,4/8/24,,
1318,"6777 Clinton Hwy, Knoxville, TN 37912",KNOXVILLE,TN,1/8/24,2024,4/26/24,4/22/24,Hired,Courtney O.,4/22/24,,
1481,"209 Lakeshore Parkway, Homewood, AL 35209",HOMEWOOD,AL,1/8/24,2024,4/26/24,4/22/24,Final Interview,Tracie W.,4/22/24,,
1540,"201 73Rd Street , South Haven, MI 49090",SOUTH HAVEN,MI,1/22/24,2024,4/26/24,4/22/24,Hired,Angelo O.,4/22/24,,
1593,"800 East Chicago St. , Coldwater, MI 49036",COLDWATER,MI,,2024,4/26/24,4/22/24,Hired,Kristin D.,5/20/24,,
