store_nbr,acct_dept,UPC_Number,description,DEPT_CATEGORY_DESC,SIZE,pack_qty,pack_cost,base_retail
114,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
115,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
118,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
119,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
120,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
121,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
124,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
125,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
126,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
127,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
128,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
130,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
135,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
137,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
140,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
141,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
143,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
144,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
145,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
148,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
150,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
151,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
152,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
154,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
155,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
157,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
159,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
163,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
164,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
165,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
167,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
168,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
169,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
170,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
171,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
172,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
175,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
177,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
180,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
181,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
182,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
186,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
188,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
189,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
190,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
192,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
194,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
196,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
197,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
198,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
199,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
200,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
201,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
204,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
205,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
211,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
213,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
214,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
216,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
217,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
219,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
220,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
222,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
