Club #,Estimated Shipment Delivery Date,Apple Table Install Date,T-Mobile Kiosk Overnight Install,,,
4956,"Wednesday, July 30, 2025","Wednesday, July 30, 2025","Wednesday, July 23, 2025",,,
4911,"Wednesday, August 13, 2025",Club Choice (Sun. - Thurs.),"Monday, September 29, 2025",,,
6349,"Wednesday, August 20, 2025",Club Choice (Sun. - Thurs.),"Friday, October 10, 2025",,,
4985,"Wednesday, August 20, 2025",Club Choice (Sun. - Thurs.),"Tuesday, October 7, 2025",,,
6781,"Wednesday, August 20, 2025",Club Choice (Sun. - Thurs.),"Tuesday, October 7, 2025",,,
4808,"Wednesday, August 20, 2025",Club Choice (Sun. - Thurs.),"Wednesday, October 1, 2025",,,
4742,"Wednesday, August 20, 2025",Club Choice (Sun. - Thurs.),"Tuesday, September 30, 2025",,,
8134,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Friday, October 24, 2025",,,
6489,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Thursday, October 23, 2025",,,
6384,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Wednesday, October 22, 2025",,,
6485,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Tuesday, October 21, 2025",,,
6415,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Monday, October 20, 2025",,,
6615,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Friday, October 10, 2025",,,
4749,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Thursday, October 9, 2025",,,
6328,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Thursday, October 9, 2025",,,
6358,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Wednesday, October 8, 2025",,,
6637,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Wednesday, October 8, 2025",,,
8104,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Wednesday, October 8, 2025",,,
4825,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Tuesday, October 7, 2025",,,
6487,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Tuesday, October 7, 2025",,,
6635,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Tuesday, October 7, 2025",,,
6341,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Friday, October 3, 2025",,,
6464,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Friday, October 3, 2025",,,
6612,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Friday, October 3, 2025",,,
6692,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Friday, October 3, 2025",,,
8209,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Friday, October 3, 2025",,,
4969,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Thursday, October 2, 2025",,,
6444,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Thursday, October 2, 2025",,,
8173,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Thursday, October 2, 2025",,,
6217,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Wednesday, October 1, 2025",,,
6235,"Friday, August 22, 2025",Club Choice (Sun. - Thurs.),"Friday, September 26, 2025",,,
