Store Number,Number of Paddle Cases to Return,RDC Number,PO-RA Number
5,48,6018,8356122181
8,44,6018,8356122200
11,24,6018,8356122180
19,35,6018,8356122185
30,47,6018,8356122194
36,62,6018,8356122193
38,54,6018,8356122191
45,30,6018,8356122183
52,62,6018,8356122190
57,43,6018,8356122188
58,61,6018,8356122182
62,57,6018,8356122177
68,57,6018,8356122189
71,41,6018,8356122197
85,30,6018,8356122207
91,20,6018,8356122210
94,45,6018,8356122209
102,47,6018,8356122212
117,44,6018,8356122215
119,46,6018,8356122208
124,17,6018,8356122203
126,20,6018,8356122201
128,37,6018,8356122187
155,24,6018,8356122179
157,32,6018,8356122186
167,43,6018,8356122202
171,30,6018,8356122204
182,55,6018,8356122214
190,15,6018,8356122211
205,48,6011,8956122178
239,49,6011,8956122193
261,24,6018,8356122205
281,28,6018,8356122199
296,26,6018,8356122184
305,23,6011,8956122173
318,37,6018,8356122196
348,42,6018,8356122192
365,39,6011,8956122191
501,84,6011,8956122181
530,52,6018,8356122213
541,16,6011,8956122186
553,83,6011,8956122189
699,48,6018,8356122195
708,19,6011,8956122183
716,17,6011,8956122187
785,89,6011,8956122194
788,15,6018,8356122206
803,63,6011,8956122185
816,62,6011,8956122188
837,24,6018,8356122198
866,95,6011,8956122196
875,29,6011,8956122195
904,24,6011,8956122190
916,54,6011,8956122192
934,28,6011,8956122139
954,22,6011,8956122148
969,25,6011,8956122155
970,85,6011,8956122146
976,36,6011,8956122140
990,77,6011,8956122162
991,20,6011,8956122144
1025,57,6011,8956122143
1065,21,6018,8356122168
1066,92,6011,8956122156
1069,15,6011,8956122167
1074,38,6018,8356122170
1088,43,6011,8956122180
1105,35,6018,8356122174
1106,97,6011,8956122151
1109,15,6011,8956122149
1168,92,6011,8956122177
1169,14,6018,8356122175
1192,22,6011,8956122184
1195,82,6011,8956122153
1212,55,6011,8956122182
1222,52,6011,8956122141
1271,70,6011,8956122175
1346,92,6011,8956122152
1468,45,6018,8356122169
1493,28,6011,8956122176
1527,23,6023,8706122209
1530,72,6018,8356122167
1605,19,6011,8956122145
1620,56,6011,8956122147
1710,22,6011,8956122158
2123,70,6018,8356122171
2533,25,6011,8956122142
2665,56,6011,8956122154
2715,71,6011,8956122171
2739,52,6011,8956122150
2760,12,6011,8956122174
2846,27,6018,8356122172
2939,36,6011,8956122159
3060,21,6011,8956122163
3230,49,6018,8356122173
3439,40,6011,8956122165
3484,32,6011,8956122166
3528,51,6011,8956122169
3616,24,6011,8956122160
3785,39,6011,8956122157
4129,77,6011,8956122164
4168,57,6018,8356122178
4333,34,6011,8956122179
5079,45,6011,8956122170
5174,51,6011,8956122172
5419,44,6018,8356122176
6173,45,6011,8956122161
6469,19,6011,8956122168
