STORE,TEMP GDC
1623,6096
1884,6096
2024,6096
2365,6096
2368,6096
2480,6096
2503,6096
2543,6096
3159,6096
3520,6096
3795,6096
3912,6096
4276,6096
5447,6096
5752,6096
1591,7016
1736,7016
1741,7016
1777,7016
1860,7016
1886,7016
1890,7016
1968,7016
2023,7016
2263,7016
2340,7016
2460,7016
2560,7016
2614,7016
2791,7016
2888,7016
2931,7016
2945,7016
3412,7016
3501,7016
3541,7016
3802,7016
4687,7016
5039,7016
5450,7016
5476,7016
5795,7016
5881,7016
1940,7014
1994,7014
1997,7014
2056,7014
2116,7014
2282,7014
2289,7014
2370,7014
2371,7014
2424,7014
4403,7014
5095,7014
1335,6097
1344,6097
1350,6097
1477,6097
1499,6097
2565,6097
2662,6097
3603,6097
3605,6097
4636,6097
4697,6097
