CLUB ID,URL
4962,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-4962.pdf
4963,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-4963.pdf
4972,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-4972.pdf
6319,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6319.pdf
4982,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-4982.pdf
4991,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-4991.pdf
4992,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-4992.pdf
6324,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6324.pdf
4998,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-4998.pdf
4999,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-4999.pdf
6189,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6189.pdf
6202,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6202.pdf
6203,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6203.pdf
6204,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6204.pdf
6212,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6212.pdf
6217,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6217.pdf
6218,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6218.pdf
6328,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6328.pdf
6235,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6235.pdf
6331,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6331.pdf
6238,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6238.pdf
6242,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6242.pdf
6251,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6251.pdf
6252,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6252.pdf
6254,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6254.pdf
6267,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6267.pdf
6275,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6275.pdf
6302,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6302.pdf
6305,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6305.pdf
6307,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6307.pdf
6308,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6308.pdf
6309,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6309.pdf
6310,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6310.pdf
6311,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6311.pdf
6312,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6312.pdf
6339,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6339.pdf
6314,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6314.pdf
6349,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6349.pdf
6317,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6317.pdf
6358,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6358.pdf
6320,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6320.pdf
6321,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6321.pdf
6322,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6322.pdf
6359,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6359.pdf
6326,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6326.pdf
6327,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6327.pdf
6384,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6384.pdf
6388,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6388.pdf
6334,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6334.pdf
6335,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6335.pdf
6338,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6338.pdf
6417,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6417.pdf
6341,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6341.pdf
6342,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6342.pdf
6444,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6444.pdf
6464,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6464.pdf
6353,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6353.pdf
6485,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6485.pdf
6487,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6487.pdf
6489,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6489.pdf
6363,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6363.pdf
6364,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6364.pdf
6367,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6367.pdf
6373,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6373.pdf
6375,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6375.pdf
6385,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6385.pdf
6387,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6387.pdf
6562,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6562.pdf
6401,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6401.pdf
6661,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6661.pdf
6403,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6403.pdf
6404,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6404.pdf
6406,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6406.pdf
6407,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6407.pdf
6412,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6412.pdf
8128,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-8128.pdf
8164,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-8164.pdf
6419,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6419.pdf
6420,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6420.pdf
6421,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6421.pdf
6422,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6422.pdf
6424,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6424.pdf
6427,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6427.pdf
6429,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6429.pdf
6432,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6432.pdf
6436,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6436.pdf
6437,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6437.pdf
6441,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6441.pdf
8167,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-8167.pdf
8169,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-8169.pdf
6445,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6445.pdf
6448,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6448.pdf
6449,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6449.pdf
6450,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6450.pdf
6454,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6454.pdf
6457,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6457.pdf
6460,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6460.pdf
8174,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-8174.pdf
6474,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6474.pdf
6479,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6479.pdf
8184,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-8184.pdf
8197,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-8197.pdf
8238,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-8238.pdf
8297,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-8297.pdf
6506,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6506.pdf
6510,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6510.pdf
6512,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6512.pdf
6514,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6514.pdf
6517,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6517.pdf
6520,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6520.pdf
6528,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6528.pdf
6535,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6535.pdf
8298,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-8298.pdf
6556,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6556.pdf
4917,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-4917.pdf
6568,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6568.pdf
6236,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6236.pdf
6571,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6571.pdf
6355,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Sams/BOLs /Blank-6355.pdf
