DC Number,Type,Date,Application,Summary,Status,Change Link,CHG NUMBER
2364,Ehnacement,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=,CHG3366741
2364,Ehnacement,7/28/2025,Order Fulfillment,Deploys pilot for PR store orders via GRS addon ,,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=,CHG3366662
2364,Ehnacement,7/31/2025,Location ,Fixed missing data issue preventing deletion of warehouse locations,,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=,CHG3379889
2364,Ehnacement,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=,CHG3366594
2971,Ehnacement,7/31/2025,Location ,Fixed missing data issue preventing deletion of warehouse locations,,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=,CHG3379889
2971,Ehnacement,7/30/2025,Receiving,Updated configurations for ASN tracker enablement and paperless receiving features,,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2daf11614743629c4e8db5f4236d4387&recordUrl=change_request.do%3Fsys_id%3D2daf11614743629c4e8db5f4236d4387&sysparm_stack=&sysparm_view=,CHG3378583
2971,Ehnacement,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=,CHG3366741
2971,Ehnacement,7/30/2025,Inventory,Released backend improvements for inventory and shipment syncing,,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=840085c5870faa1c8992eb5d0ebb3571&recordUrl=change_request.do%3Fsys_id%3D840085c5870faa1c8992eb5d0ebb3571&sysparm_stack=&sysparm_view=,CHG3372657
2971,Ehnacement,7/29/2025,Receiving,"Pilots new ASN Tracker, paperless receiving, and lumper fee billing features ",,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c6176b7c970bae587cecf52f2153af9b&recordUrl=change_request.do%3Fsys_id%3Dc6176b7c970bae587cecf52f2153af9b&sysparm_stack=&sysparm_view=,CHG3372098
2971,Ehnacement,7/29/2025,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=,CHG3366594
