Store,Market,Store Type,TRACKING,
112,138,SUP,187275892940,
143,253,SUP,187275892972,
155,136,SUP,187275893008,
182,136,SUP,187275893041,
196,271,SUP,187275893074,
197,278,SUP,187275893085,
198,272,SUP,187275893096,
200,275,SUP,187275893100,
201,341,SUP,187275893111,
224,272,SUP,187275893177,
256,341,SUP,187275893203,
258,4,SUP,187275893214,
282,253,SUP,187275893280,
294,253,SUP,187275893339,
299,254,SUP,187275893361,
302,271,SUP,187275893394,
333,254,SUP,187275893475,
334,275,SUP,187275893486,
361,341,SUP,187275893534,
365,140,SUP,187275893545,
391,4,SUP,187275893604,
410,146,SUP,187275893692,
430,253,SUP,187275893773,
431,253,SUP,187275893784,
481,273,SUP,187275893979,
491,253,SUP,187275894004,
495,138,SUP,187275894015,
497,242,SUP,187275894026,
501,141,SUP,187275894048,
507,260,SUP,187275894060,
519,260,SUP,187275894118,
526,242,SUP,187275894130,
571,260,SUP,187275894232,
589,256,SUP,187275894254,
598,429,SUP,187275894287,
603,278,SUP,187275894313,
612,273,SUP,187275894368,
645,433,SUP,187275894379,
653,253,SUP,187275894390,
655,253,SUP,187275894405,
665,257,SUP,187275894449,
689,257,SUP,187275894471,
694,254,SUP,187275894508,
699,136,SUP,187275894519,
701,254,SUP,187275894530,
702,259,SUP,187275894541,
708,140,SUP,187275894563,
709,256,SUP,187275894574,
711,257,SUP,187275894585,
719,257,SUP,187275894622,
720,260,SUP,187275894633,
729,256,SUP,187275894666,
774,433,SUP,187275894828,
775,279,SUP,187275894839,
776,432,SUP,187275894840,
786,264,SUP,187275894872,
796,279,SUP,187275894909,
816,141,SUP,187275894964,
825,257,SUP,187275895000,
848,144,SUP,187275895066,
852,262,SUP,187275895099,
867,429,SUP,187275895147,
875,140,SUP,187275895180,
877,309,SUP,187275895191,
887,141,SUP,187275895217,
891,279,SUP,187275895228,
903,140,SUP,187275895250,
916,141,SUP,187275895294,
948,304,SUP,187275895386,
969,143,SUP,187275895412,
970,143,SUP,187275895423,
981,138,SUP,187275895445,
1003,262,SUP,187275895489,
1025,141,SUP,187275895526,
1027,306,SUP,187275895537,
1028,278,SUP,187275895548,
1034,305,SUP,187275895559,
1039,304,SUP,187275895570,
1048,257,SUP,187275895629,
1053,242,SUP,187275895630,
1060,304,SUP,187275895651,
1064,304,SUP,187275895673,
1066,143,SUP,187275895684,
1071,341,SUP,187275895695,
1088,143,SUP,187275895700,
1093,246,SUP,187275895710,
1096,304,SUP,187275895721,
1097,309,SUP,187275895732,
1113,258,SUP,187275895765,
1125,278,SUP,187275895802,
1140,259,SUP,187275895868,
1155,310,SUP,187275895916,
1156,306,SUP,187275895927,
1165,256,SUP,187275895949,
1170,256,SUP,187275895950,
1179,294,SUP,187275895971,
1191,296,SUP,187275896018,
1195,143,SUP,187275896029,
1197,301,SUP,187275896030,
1209,305,SUP,187275896062,
1210,260,SUP,187275896073,
1211,270,SUP,187275896084,
1217,294,SUP,187275896110,
1228,269,SUP,187275896132,
1233,258,SUP,187275896176,
1236,302,SUP,187275896198,
1237,299,SUP,187275896202,
1238,310,SUP,187275896213,
1242,294,SUP,187275896235,
1247,258,SUP,187275896246,
1256,266,SUP,187275896290,
1261,310,SUP,187275896316,
1268,300,SUP,187275896327,
1271,138,SUP,187275896338,
1287,296,SUP,187275896360,
1298,302,SUP,187275896419,
1300,302,SUP,187275896430,
1307,262,SUP,187275896463,
1312,310,SUP,187275896474,
1317,294,SUP,187275896496,
1322,308,SUP,187275896511,
