Market ID,Region,Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Week Reported,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
204,19,2644,,Scheduled Delivery Standard,15,Executive Review,Degrading,Store Focus,202424,87.00%,62.90%,18,87.30%,91.50%,93.90%,75.10%
206,19,5844,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202424,83.80%,90.00%,14.4,72.10%,91.20%,91.00%,84.50%
200,19,1923,,Scheduled Delivery Standard,47,Executive Review,Degrading,Store Focus,202424,87.60%,86.00%,14.8,80.50%,92.00%,91.40%,88.00%
200,19,2493,,Scheduled Delivery Standard,46,Executive Review,Recovering,Store Focus,202424,91.50%,90.50%,13.4,93.80%,94.70%,94.00%,82.30%
200,19,3453,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202424,86.60%,81.30%,15.5,77.00%,94.40%,91.60%,83.30%
238,19,1618,,Scheduled Delivery Standard,8,Executive Review,Degrading,Store Focus,202424,77.40%,83.60%,22,88.60%,73.60%,82.00%,66.00%
265,25,4531,,Scheduled Delivery Standard,8,Active Monitoring,Degrading,Store Focus,202424,91.30%,91.30%,14.2,84.10%,93.00%,94.10%,94.00%
275,25,2728,,Scheduled Delivery Standard,47,Executive Review,Degrading,Store Focus,202424,94.10%,93.50%,12.2,89.50%,95.80%,96.10%,96.80%
268,25,1938,,Scheduled Delivery Standard,33,Executive Review,Recovering,Store Focus,202424,93.80%,99.10%,10.6,92.40%,97.40%,96.20%,89.50%
268,25,3004,,Scheduled Delivery Standard,42,Executive Review,Recovering,Store Focus,202424,92.30%,87.50%,13.6,93.90%,97.80%,95.60%,82.30%
208,20,2063,,Scheduled Delivery Standard,3,Active Monitoring,Degrading,Store Focus,202424,82.60%,82.80%,15.5,87.20%,84.30%,89.80%,68.60%
209,20,1863,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202424,87.70%,93.10%,17.6,89.10%,89.70%,89.60%,82.20%
209,20,2362,,Scheduled Delivery Standard,39,Executive Review,Degrading,Store Focus,202424,79.20%,88.90%,14.9,85.50%,86.90%,80.00%,69.20%
214,20,1839,,Scheduled Delivery Standard,47,Executive Review,Recovering,Store Focus,202424,95.10%,86.80%,14.2,95.30%,97.90%,97.30%,89.90%
214,20,4255,,Scheduled Delivery Standard,8,At Risk,Recovering,Store Focus,202424,87.50%,84.40%,19.5,94.20%,84.70%,93.40%,76.80%
215,20,1911,,Scheduled Delivery Standard,19,Executive Review,Recovering,Store Focus,202424,93.30%,96.00%,20.5,97.70%,96.10%,91.20%,86.70%
216,20,2115,,Scheduled Delivery Standard,29,Executive Review,Recovering,Store Focus,202424,92.20%,93.00%,11.4,96.80%,87.00%,91.80%,92.20%
361,40,1094,,Scheduled Delivery Standard,9,Active Monitoring,Recovering,Store Focus,202424,91.70%,89.60%,16.1,94.40%,91.60%,91.30%,89.40%
485,59,998,,Scheduled Delivery Standard,12,Executive Review,Recovering,Store Focus,202424,94.20%,90.10%,10.8,98.00%,96.90%,93.70%,87.90%
339,40,1188,,Scheduled Delivery Standard,49,Executive Review,Recovering,Store Focus,202424,93.60%,93.60%,16.3,94.90%,98.80%,92.90%,87.20%
339,40,2600,,Scheduled Delivery Standard,8,At Risk,Recovering,Store Focus,202424,91.00%,92.40%,11.1,92.60%,88.20%,93.30%,89.40%
340,40,5150,,Scheduled Delivery Standard,47,Executive Review,Degrading,Store Focus,202424,91.40%,94.50%,10.9,87.80%,93.80%,91.80%,92.90%
221,21,3502,,Scheduled Delivery Standard,12,Executive Review,Degrading,Store Focus,202424,81.80%,80.30%,14.4,87.60%,79.70%,85.10%,74.90%
223,21,3783,,Scheduled Delivery Standard,42,Executive Review,Recovering,Store Focus,202424,94.10%,91.30%,16.3,95.50%,97.70%,94.50%,88.50%
223,21,5104,,Scheduled Delivery Standard,42,Executive Review,Recovering,Store Focus,202424,88.60%,83.70%,12.7,93.90%,89.80%,97.70%,73.10%
225,21,1510,,Scheduled Delivery Standard,41,Executive Review,Degrading,Store Focus,202424,85.20%,78.40%,16.6,90.00%,85.10%,85.30%,79.80%
225,21,3749,,Scheduled Delivery Standard,33,Executive Review,Degrading,Store Focus,202424,89.00%,75.70%,14,83.70%,95.30%,95.10%,81.90%
239,21,1728,,Scheduled Delivery Standard,5,Active Monitoring,Recovering,Store Focus,202424,92.70%,88.40%,24.2,98.00%,98.30%,91.30%,82.90%
219,21,2726,,Scheduled Delivery Standard,49,Executive Review,Recovering,Store Focus,202424,87.10%,90.80%,13.1,90.80%,86.10%,90.50%,80.50%
196,53,2417,,Scheduled Delivery Standard,9,At Risk,Degrading,Store Focus,202424,75.00%,82.10%,10.6,77.20%,64.60%,79.80%,78.50%
444,53,6394,,Scheduled Delivery Standard,39,Executive Review,Degrading,Store Focus,202424,85.40%,87.40%,17.2,83.60%,87.40%,84.10%,87.10%
1,14,2748,,Scheduled Delivery Standard,5,At Risk,Degrading,Store Focus,202424,84.90%,95.70%,12,85.50%,75.90%,82.70%,90.20%
8,14,1101,,Scheduled Delivery Standard,20,Executive Review,Recovering,Store Focus,202424,93.30%,73.80%,13.9,96.30%,86.90%,94.80%,94.60%
13,14,1229,,Scheduled Delivery Standard,14,Executive Review,Recovering,Store Focus,202424,92.50%,88.30%,15.9,94.70%,97.30%,90.60%,87.20%
14,14,990,,Scheduled Delivery Standard,9,Executive Review,Recovering,Store Focus,202424,85.50%,81.90%,20,90.80%,85.80%,79.70%,86.80%
15,14,919,,Scheduled Delivery Standard,16,Executive Review,Recovering,Store Focus,202424,80.00%,85.30%,18.3,94.70%,86.30%,66.90%,75.90%
15,14,1362,,Scheduled Delivery Standard,5,At Risk,Degrading,Store Focus,202424,84.70%,94.30%,14.9,86.90%,85.20%,79.20%,87.80%
15,14,3119,,Scheduled Delivery Standard,4,Active Monitoring,Recovering,Store Focus,202424,83.20%,96.80%,12.6,90.80%,82.80%,79.50%,80.30%
15,14,3439,,Scheduled Delivery Standard,17,Executive Review,Degrading,Store Focus,202424,86.00%,80.80%,14.7,88.40%,88.60%,77.60%,89.20%
15,14,5872,,Scheduled Delivery Standard,6,At Risk,Degrading,Store Focus,202424,74.70%,83.20%,17,85.00%,62.10%,76.40%,73.20%
3,14,1201,,Scheduled Delivery Standard,16,Executive Review,Recovering,Store Focus,202424,88.70%,76.30%,16.4,93.90%,91.40%,82.30%,86.50%
111,3,1390,,Scheduled Delivery Standard,19,Executive Review,Degrading,Store Focus,202424,84.30%,85.70%,22.1,82.50%,70.80%,85.80%,94.80%
89,3,705,,Scheduled Delivery Standard,22,Executive Review,Recovering,Store Focus,202424,91.60%,94.20%,14.8,96.10%,86.80%,88.60%,94.90%
94,3,1182,,Scheduled Delivery Standard,6,Active Monitoring,Recovering,Store Focus,202424,89.70%,90.90%,15.9,93.50%,94.20%,94.90%,74.80%
123,12,578,,Scheduled Delivery Standard,4,Active Monitoring,Recovering,Store Focus,202424,89.40%,84.10%,9.2,93.90%,91.70%,89.80%,80.00%
123,12,2310,,Scheduled Delivery Standard,43,Executive Review,Degrading,Store Focus,202424,82.50%,69.30%,13.4,81.30%,73.90%,85.40%,88.40%
144,11,848,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202424,40.00%,52.70%,34.8,30.60%,30.50%,44.30%,52.40%
140,11,875,,Scheduled Delivery Standard,20,Executive Review,Recovering,Store Focus,202424,95.60%,91.50%,15.6,98.20%,97.50%,95.80%,89.30%
20,2,3401,,Scheduled Delivery Standard,26,Executive Review,Recovering,Store Focus,202424,93.70%,83.90%,14.2,93.20%,97.10%,96.70%,86.80%
32,2,1153,,Scheduled Delivery Standard,49,Executive Review,Recovering,Store Focus,202424,88.30%,82.10%,16,98.00%,94.10%,95.30%,63.20%
32,2,1367,,Scheduled Delivery Standard,49,Executive Review,Recovering,Store Focus,202424,92.90%,81.70%,20.4,99.50%,98.70%,85.40%,89.20%
22,2,3205,,Scheduled Delivery Standard,32,Executive Review,Degrading,Store Focus,202424,86.30%,94.60%,13.2,75.20%,93.50%,83.80%,91.20%
30,2,1227,,Scheduled Delivery Standard,49,Executive Review,Recovering,Store Focus,202424,91.60%,89.00%,10,93.10%,94.30%,93.40%,84.40%
324,42,124,,Scheduled Delivery Standard,8,At Risk,Degrading,Store Focus,202424,87.50%,89.60%,13.3,85.80%,77.50%,94.10%,95.30%
327,42,3331,,Scheduled Delivery Standard,45,Executive Review,Degrading,Store Focus,202424,89.70%,85.10%,9.3,86.00%,87.60%,95.30%,91.10%
127,42,278,,Scheduled Delivery Standard,19,Executive Review,Degrading,Store Focus,202424,78.90%,68.30%,15.4,72.30%,75.90%,84.80%,83.00%
102,72,2392,,Scheduled Delivery Standard,2,Active Monitoring,Recovering,Store Focus,202424,88.80%,81.00%,12.7,96.80%,86.90%,86.60%,84.90%
514,60,2516,,Scheduled Delivery Standard,7,At Risk,Recovering,Store Focus,202424,89.40%,84.20%,37.1,95.30%,97.00%,91.90%,73.10%
474,60,2485,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202424,81.10%,81.50%,9.2,69.80%,83.50%,88.50%,83.80%
477,60,5935,,Scheduled Delivery Standard,40,Executive Review,Degrading,Store Focus,202424,83.30%,86.50%,13.8,77.20%,85.10%,91.40%,79.20%
422,52,3404,,Scheduled Delivery Standard,15,Executive Review,Degrading,Store Focus,202424,87.30%,92.90%,11.2,89.20%,90.10%,86.20%,83.10%
423,52,1855,,Scheduled Delivery Standard,23,Executive Review,Degrading,Store Focus,202424,74.70%,73.70%,15.4,65.30%,85.90%,69.80%,82.80%
423,52,2198,,Scheduled Delivery Standard,11,At Risk,Recovering,Store Focus,202424,92.40%,95.90%,12.2,90.70%,96.10%,93.50%,89.10%
396,57,1560,,Scheduled Delivery Standard,8,At Risk,Degrading,Store Focus,202424,82.30%,88.60%,14.6,70.40%,80.20%,90.70%,91.50%
396,57,2050,,Scheduled Delivery Standard,3,Active Monitoring,Degrading,Store Focus,202424,79.30%,72.60%,19,64.20%,82.40%,82.70%,83.40%
396,57,2593,,Scheduled Delivery Standard,3,Active Monitoring,Degrading,Store Focus,202424,79.20%,71.90%,21.8,74.20%,77.50%,87.10%,76.50%
405,57,1439,,Scheduled Delivery Standard,3,Active Monitoring,Degrading,Store Focus,202424,79.80%,89.30%,22.6,82.30%,66.10%,79.00%,88.50%
446,57,3180,,Scheduled Delivery Standard,3,Active Monitoring,Degrading,Store Focus,202424,79.30%,86.00%,17.2,57.00%,77.80%,88.00%,89.00%
401,54,1888,,Scheduled Delivery Standard,9,At Risk,Degrading,Store Focus,202424,78.80%,66.10%,19.2,60.50%,72.60%,91.90%,91.30%
401,54,2921,,Scheduled Delivery Standard,4,Active Monitoring,Recovering,Store Focus,202424,95.10%,82.60%,16,98.00%,98.40%,96.10%,86.90%
401,54,3366,,Scheduled Delivery Standard,47,Executive Review,Recovering,Store Focus,202424,84.60%,70.50%,25.9,90.60%,90.10%,72.60%,84.20%
401,54,3789,,Scheduled Delivery Standard,25,Executive Review,Recovering,Store Focus,202424,94.40%,78.00%,11.4,98.40%,98.50%,92.00%,88.20%
585,54,2293,,Scheduled Delivery Standard,36,Executive Review,Degrading,Store Focus,202424,88.50%,87.90%,8.1,84.00%,93.90%,96.70%,82.40%
585,54,3533,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202424,79.30%,86.20%,19.9,76.70%,79.30%,82.10%,79.70%
427,47,1534,,Scheduled Delivery Standard,8,Executive Review,Degrading,Store Focus,202424,85.90%,86.20%,13.9,85.70%,85.60%,83.10%,89.40%
427,47,1581,,Scheduled Delivery Standard,10,Executive Review,Degrading,Store Focus,202424,83.30%,71.70%,15.4,85.60%,79.70%,86.80%,81.10%
430,47,1543,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202424,81.40%,82.00%,9.6,88.50%,82.00%,71.00%,82.30%
430,47,1604,,Scheduled Delivery Standard,2,Active Monitoring,Recovering,Store Focus,202424,83.30%,64.50%,14.4,90.70%,82.10%,83.70%,76.30%
430,47,3872,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202424,86.40%,81.50%,13.2,86.90%,88.40%,87.40%,82.40%
432,47,5361,,Scheduled Delivery Standard,10,At Risk,Recovering,Store Focus,202424,96.00%,91.20%,11.9,99.20%,99.20%,95.70%,89.60%
382,47,1778,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202424,83.80%,81.20%,10,77.20%,87.80%,81.00%,89.60%
382,47,2084,,Scheduled Delivery Standard,3,Active Monitoring,Recovering,Store Focus,202424,90.10%,63.00%,15.4,92.30%,94.40%,88.80%,86.20%
178,22,1977,,Scheduled Delivery Standard,8,Executive Review,Degrading,Store Focus,202424,69.90%,94.30%,22.9,86.30%,56.00%,61.00%,72.60%
178,22,2195,,Scheduled Delivery Standard,17,Executive Review,Recovering,Store Focus,202424,84.80%,89.80%,17,90.90%,89.10%,82.90%,75.70%
165,22,3337,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202424,83.90%,92.70%,12.1,84.30%,82.10%,85.20%,83.80%
159,16,2103,,Scheduled Delivery Standard,15,Executive Review,Recovering,Store Focus,202424,94.30%,84.20%,15.4,98.50%,99.50%,97.90%,80.30%
187,16,1994,,Scheduled Delivery Standard,7,At Risk,Degrading,Store Focus,202424,92.60%,95.30%,12.8,87.90%,88.40%,94.50%,96.40%
157,16,2222,,Scheduled Delivery Standard,33,Executive Review,Degrading,Store Focus,202424,83.40%,89.80%,12.2,76.10%,92.60%,84.50%,82.20%
180,16,2046,,Scheduled Delivery Standard,17,Executive Review,Recovering,Store Focus,202424,88.70%,88.30%,11.8,91.00%,83.20%,85.70%,94.20%
184,16,2142,,Scheduled Delivery Standard,33,Executive Review,Recovering,Store Focus,202424,90.50%,82.90%,12.9,94.90%,90.10%,91.20%,85.60%
188,16,2504,,Scheduled Delivery Standard,3,Active Monitoring,Degrading,Store Focus,202424,84.10%,96.60%,13.8,85.20%,86.00%,84.20%,80.50%
192,76,1619,,Scheduled Delivery Standard,16,Executive Review,Recovering,Store Focus,202424,94.90%,97.70%,10.7,96.60%,96.40%,96.90%,89.20%
192,76,1744,,Scheduled Delivery Standard,31,Executive Review,Recovering,Store Focus,202424,95.00%,87.60%,17.3,99.10%,97.30%,97.90%,84.50%
195,76,2210,,Scheduled Delivery Standard,19,Executive Review,Degrading,Store Focus,202424,81.60%,79.40%,15.4,82.60%,87.80%,80.20%,75.60%
305,26,5481,,Scheduled Delivery Standard,38,Executive Review,Degrading,Store Focus,202424,86.50%,92.20%,12.1,77.90%,87.70%,90.40%,91.20%
231,76,2059,,Scheduled Delivery Standard,19,Executive Review,Degrading,Store Focus,202424,74.70%,81.30%,23.4,71.70%,64.20%,80.10%,82.40%
283,76,1985,,Scheduled Delivery Standard,3,Active Monitoring,Degrading,Store Focus,202424,88.90%,94.70%,10.3,87.20%,93.80%,84.90%,89.70%
297,26,4250,,Scheduled Delivery Standard,43,Executive Review,Recovering,Store Focus,202424,90.90%,94.60%,12.1,94.70%,92.40%,87.40%,88.10%
301,26,2000,,Scheduled Delivery Standard,4,Active Monitoring,Recovering,Store Focus,202424,88.60%,96.00%,10.5,94.80%,88.60%,86.10%,85.30%
516,59,7162,,Scheduled Delivery Standard,7,Executive Review,Degrading,Store Focus,202424,69.90%,58.70%,18.6,50.00%,75.00%,89.30%,75.20%
282,75,2279,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202424,89.60%,90.30%,15.2,88.70%,92.50%,92.10%,85.10%
282,75,2435,,Scheduled Delivery Standard,34,Executive Review,Degrading,Store Focus,202424,89.00%,94.00%,14.4,88.30%,89.70%,90.10%,87.70%
36,4,2348,,Scheduled Delivery Standard,47,Executive Review,Recovering,Store Focus,202424,94.20%,83.30%,11.8,97.30%,94.60%,89.60%,94.80%
37,4,643,,Scheduled Delivery Standard,4,Active Monitoring,Recovering,Store Focus,202424,91.00%,91.00%,12.2,98.50%,91.80%,84.90%,88.40%
163,17,5095,,Scheduled Delivery Standard,43,Executive Review,Degrading,Store Focus,202424,83.20%,93.60%,16,78.30%,74.70%,93.80%,88.80%
