Store,City,ST,Scheduling Status,Date Scheduled,Time Scheduled,Lead Planned hours onsite
37,FARMINGTON,MO,Scheduled,8/26/2024,7:00:00 PM,2
4068,SPANISH FORK,UT,Scheduled,8/26/2024,7:00:00 PM,11
4272,LOGAN,UT,Scheduled,8/27/2024,7:00:00 PM,12
69,FESTUS,MO,Scheduled,8/28/2024,7:00:00 PM,2
95,DESLOGE,MO,Scheduled,8/28/2024,7:00:00 PM,2
77,TAYLOR,TX,Scheduled,9/11/2024,7:00:00 PM,7
528,BRADEN RIVER,FL,Scheduled,9/3/2024,7:00:00 PM,11
959,BUSHNELL,FL,Scheduled,9/3/2024,7:00:00 PM,6
1143,SANDERSVILLE,GA,Scheduled,9/3/2024,7:00:00 PM,12
1702,MELBOURNE,FL,Scheduled,9/3/2024,7:00:00 PM,9
2615,VALDOSTA,GA,Scheduled,9/4/2024,7:00:00 PM,6
2621,SIMI VALLEY,CA,Scheduled,9/3/2024,7:00:00 PM,12
2811,ATHENS,GA,Scheduled,9/3/2024,7:00:00 PM,7
3702,JACKSONVILLE,FL,Scheduled,9/3/2024,7:00:00 PM,9
3792,LANCASTER,OH,Scheduled,9/4/2024,7:00:00 PM,11
4337,SAN LUIS,AZ,Scheduled,9/3/2024,7:00:00 PM,8
5152,WEST HILLS,CA,Scheduled,9/3/2024,7:00:00 PM,12
5298,GASTONIA,NC,Scheduled,9/3/2024,7:00:00 PM,3
5964,TAMPA,FL,Scheduled,9/3/2024,7:00:00 PM,12
1243,MARTINSVILLE,VA,Scheduled,9/3/2024,7:00:00 PM,12
1351,BECKLEY,WV,Scheduled,9/9/2024,7:00:00 PM,12
5344,TOWSON,MD,Scheduled,9/3/2024,7:00:00 PM,12
443,HONDO,TX,Scheduled,9/11/2024,7:00:00 PM,12
634,CAMDEN,SC,Scheduled,9/4/2024,7:00:00 PM,12
956,MELBOURNE,FL,Scheduled,9/4/2024,7:00:00 PM,8
1733,OWOSSO,MI,Scheduled,9/12/2024,7:00:00 PM,12
2209,ZANESVILLE,OH,In Progress,,7:00:00 PM,10
2218,FOOTHILL RANCH,CA,Scheduled,9/4/2024,7:00:00 PM,8
3484,PENSACOLA,FL,Scheduled,9/4/2024,7:00:00 PM,9
3526,BROOKSVILLE,FL,Scheduled,9/4/2024,7:00:00 PM,12
4365,ORLANDO,FL,Scheduled,9/4/2024,7:00:00 PM,12
4681,TAMPA,FL,Scheduled,9/4/2024,7:00:00 PM,6
5072,TORRANCE,CA,Scheduled,9/4/2024,7:00:00 PM,8
1292,CHRISTIANSBURG,VA,Scheduled,9/4/2024,7:00:00 PM,12
1360,FAYETTEVILLE,WV,Scheduled,9/4/2024,7:00:00 PM,12
1434,COLORADO SPRINGS,CO,Scheduled,9/4/2024,7:00:00 PM,12
2577,COCKEYSVILLE,MD,Scheduled,9/4/2024,7:00:00 PM,10
987,FORT MYERS,FL,Scheduled,9/5/2024,7:00:00 PM,5
1090,JACKSONVILLE,FL,Scheduled,9/5/2024,7:00:00 PM,12
1385,GASTONIA,NC,Scheduled,9/5/2024,7:00:00 PM,10
1987,LAPEER,MI,Scheduled,9/5/2024,7:00:00 PM,12
2387,BRANDON,FL,Scheduled,9/5/2024,7:00:00 PM,8
3262,CAMBRIDGE,OH,Scheduled,9/5/2024,7:00:00 PM,10
4130,KYLE,TX,Scheduled,9/12/2024,7:00:00 PM,12
4520,TALLAHASSEE,FL,Scheduled,9/5/2024,7:00:00 PM,9
5032,BUENA PARK,CA,Scheduled,9/5/2024,7:00:00 PM,8
6395,BLUFFTON,SC,Scheduled,9/5/2024,7:00:00 PM,12
1345,SOUTH BOSTON,VA,Scheduled,9/5/2024,7:00:00 PM,12
2084,BOZEMAN,MT,In Progress,,7:00:00 PM,9
2435,DUNDALK,MD,Scheduled,9/5/2024,7:00:00 PM,9
3407,BUCKEYE,AZ,Scheduled,9/5/2024,7:00:00 PM,8
5319,MACARTHUR,WV,Scheduled,9/5/2024,7:00:00 PM,12
984,CASTLE ROCK,CO,Scheduled,9/5/2024,7:00:00 PM,12
1746,TEMPE,AZ,In Progress,,7:00:00 PM,8
1870,PULLMAN,WA,Scheduled,9/5/2024,7:00:00 PM,10
943,CASSELBERRY,FL,In Progress,,7:00:00 PM,12
1133,ALBEMARLE,NC,In Progress,,7:00:00 PM,9
1207,CALLAWAY,FL,In Progress,,7:00:00 PM,12
1432,CADILLAC,MI,In Progress,,7:00:00 PM,2
2177,SAN DIEGO,CA,Scheduled,9/23/2024,7:00:00 PM,8
2527,SAN CLEMENTE,CA,Scheduled,10/10/2024,7:00:00 PM,5
3581,ZANESVILLE,OH,In Progress,,7:00:00 PM,12
5036,TAMPA,FL,In Progress,,7:00:00 PM,12
5389,WACO,TX,In Progress,,7:00:00 PM,9
1499,LEWISBURG,WV,In Progress,,7:00:00 PM,9
2931,SALISBURY,MD,In Progress,,7:00:00 PM,12
5241,NORTH HUNTINGDON,PA,In Progress,,7:00:00 PM,12
301,GADSDEN,AL,Scheduled,9/9/2024,7:00:00 PM,3
537,ODESSA,TX,Scheduled,9/9/2024,7:00:00 PM,12
555,DUBLIN,GA,Scheduled,9/9/2024,7:00:00 PM,11
638,GAFFNEY,SC,Scheduled,9/9/2024,7:00:00 PM,9
649,TITUSVILLE,FL,Scheduled,9/9/2024,7:00:00 PM,12
901,SEGUIN,TX,Scheduled,9/9/2024,7:00:00 PM,12
1112,THOMASTON,GA,Scheduled,9/9/2024,7:00:00 PM,12
1375,MARIANNA,FL,Scheduled,9/9/2024,7:00:00 PM,12
1470,WILLMAR,MN,Scheduled,9/9/2024,7:00:00 PM,11
1728,ANDERSON,IN,Scheduled,9/9/2024,7:00:00 PM,8
2134,CHARLOTTE,NC,Scheduled,9/9/2024,7:00:00 PM,12
2245,OCEANSIDE,CA,Scheduled,9/9/2024,7:00:00 PM,10
2825,OLD BRIDGE,NJ,Scheduled,9/9/2024,7:00:00 PM,12
3784,FRANKLIN,OH,Scheduled,9/9/2024,7:00:00 PM,10
4278,QUINCY,WV,Scheduled,9/9/2024,7:00:00 PM,12
5136,MARYSVILLE,CA,Scheduled,9/9/2024,7:00:00 PM,12
5233,WEST VALLEY CITY,UT,Scheduled,9/9/2024,7:00:00 PM,12
5340,CHERRY HILL,NJ,Scheduled,9/9/2024,7:00:00 PM,12
5439,NEW HAVEN,CT,Scheduled,9/9/2024,7:00:00 PM,12
531,LAFAYETTE,LA,Scheduled,9/9/2024,7:00:00 PM,8
1225,ORANGE PARK,FL,Scheduled,9/9/2024,7:00:00 PM,12
1335,LEXINGTON,VA,Scheduled,9/9/2024,7:00:00 PM,8
3228,DELMONT,PA,Scheduled,9/9/2024,7:00:00 PM,12
3990,MERIDIAN,MS,Scheduled,9/9/2024,7:00:00 PM,8
5228,COLUMBIA,MD,Scheduled,9/9/2024,7:00:00 PM,10
5837,ROGERS,AR,Scheduled,9/9/2024,7:00:00 PM,9
154,ABINGDON,VA,Scheduled,9/9/2024,7:00:00 PM,12
678,NEWPORT,TN,Scheduled,9/9/2024,7:00:00 PM,12
1388,KENDALLVILLE,IN,Scheduled,9/9/2024,7:00:00 PM,12
1395,CENTRALIA,IL,Scheduled,9/9/2024,7:00:00 PM,12
2003,NORTH BRUNSWICK,NJ,Scheduled,9/9/2024,7:00:00 PM,8
2046,AUGUSTA,ME,Scheduled,9/9/2024,7:00:00 PM,8
639,BRUNSWICK,GA,Scheduled,9/10/2024,7:00:00 PM,12
713,DADE CITY,FL,Scheduled,9/10/2024,7:00:00 PM,5
1297,CHIEFLAND,FL,Scheduled,9/10/2024,7:00:00 PM,12
3081,SACRAMENTO,CA,Scheduled,9/10/2024,7:00:00 PM,11
613,ORMOND BEACH,FL,Scheduled,9/10/2024,7:00:00 PM,12
1346,OCEAN SPRINGS,MS,Scheduled,9/10/2024,7:00:00 PM,10
2337,ROCKY MOUNT,VA,Scheduled,9/10/2024,7:00:00 PM,12
2512,PHOENIX,AZ,Scheduled,9/11/2024,7:00:00 PM,10
3463,BRANDON,FL,Scheduled,9/10/2024,7:00:00 PM,12
3490,HANOVER,MD,Scheduled,9/10/2024,7:00:00 PM,8
4577,RUSTON,LA,Scheduled,9/10/2024,7:00:00 PM,7
4686,BENTONVILLE,AR,Scheduled,9/10/2024,7:00:00 PM,4
5117,WAYNESBORO,VA,Scheduled,9/10/2024,7:00:00 PM,12
5214,KISSIMMEE,FL,Scheduled,9/10/2024,7:00:00 PM,8
5365,MELBOURNE,FL,Scheduled,9/10/2024,7:00:00 PM,10
198,SALEM,IL,Scheduled,9/10/2024,7:00:00 PM,8
497,SHELBYVILLE,KY,Scheduled,9/10/2024,7:00:00 PM,12
620,BRISTOL,TN,Scheduled,9/10/2024,7:00:00 PM,8
669,DALTON,GA,In Progress,,7:00:00 PM,12
1160,AURORA,IN,Scheduled,9/10/2024,7:00:00 PM,12
1410,TROY,OH,Scheduled,9/10/2024,7:00:00 PM,12
1416,NAPOLEON,OH,Scheduled,9/10/2024,7:00:00 PM,12
1425,COLUMBIA CITY,IN,Scheduled,9/10/2024,7:00:00 PM,12
1612,TUCSON,AZ,Scheduled,9/10/2024,7:00:00 PM,8
1856,BANGOR,ME,Scheduled,9/10/2024,7:00:00 PM,12
2065,KNOXVILLE,TN,Scheduled,9/10/2024,7:00:00 PM,12
3751,SAN TAN VALLEY,AZ,Scheduled,9/10/2024,7:00:00 PM,9
3830,LITTLE EGG HARBOR,NJ,Scheduled,9/12/2024,7:00:00 PM,12
422,ROBINSON,IL,Scheduled,9/11/2024,7:00:00 PM,10
1339,COLUMBIA,SC,Scheduled,9/11/2024,7:00:00 PM,12
1362,DESTIN,FL,Scheduled,9/11/2024,7:00:00 PM,12
1754,HOWELL,MI,Scheduled,9/11/2024,7:00:00 PM,12
1791,FREMONT,MI,Scheduled,9/11/2024,7:00:00 PM,12
3877,GAINESVILLE,FL,Scheduled,9/11/2024,7:00:00 PM,7
75,PINEVILLE,LA,Scheduled,9/11/2024,7:00:00 PM,12
1200,COLORADO SPRINGS,CO,Scheduled,9/11/2024,7:00:00 PM,12
1309,SALEM,VA,Scheduled,9/11/2024,7:00:00 PM,12
1344,STAUNTON,VA,Scheduled,9/11/2024,7:00:00 PM,12
2081,CLEARWATER,FL,Scheduled,9/11/2024,7:00:00 PM,9
2460,SEAFORD,DE,Scheduled,9/16/2024,7:00:00 PM,12
5295,FARMINGDALE,NY,Scheduled,9/11/2024,7:00:00 PM,8
5776,OCEAN SPRINGS,MS,Scheduled,9/11/2024,7:00:00 PM,9
6960,SILOAM SPRINGS,AR,Scheduled,9/11/2024,7:00:00 PM,8
213,LITCHFIELD,IL,Scheduled,9/11/2024,7:00:00 PM,12
680,GREENEVILLE,TN,Scheduled,9/11/2024,7:00:00 PM,12
709,ELIZABETHTOWN,KY,Scheduled,9/11/2024,7:00:00 PM,12
1327,MADISON,IN,Scheduled,9/11/2024,7:00:00 PM,12
1429,FREMONT,OH,Scheduled,9/11/2024,7:00:00 PM,8
1463,XENIA,OH,Scheduled,9/11/2024,7:00:00 PM,12
1570,AUBURN,IN,Scheduled,9/11/2024,7:00:00 PM,12
3212,EGG HBR TWP,NJ,Scheduled,9/11/2024,7:00:00 PM,12
3608,MADISON,OH,Scheduled,9/11/2024,7:00:00 PM,10
5031,TUCSON,AZ,Scheduled,9/11/2024,7:00:00 PM,8
5076,BREWER,ME,Scheduled,9/11/2024,7:00:00 PM,10
5173,DALTON,GA,Scheduled,9/11/2024,7:00:00 PM,8
3,COMMERCE,GA,Scheduled,9/12/2024,7:00:00 PM,12
840,WARNER ROBINS,GA,Scheduled,9/12/2024,7:00:00 PM,9
2099,PASO ROBLES,CA,Scheduled,9/12/2024,7:00:00 PM,3
5134,BAKERSFIELD,CA,Scheduled,9/12/2024,7:00:00 PM,9
5266,HUDSON,FL,Scheduled,9/12/2024,7:00:00 PM,8
761,RACELAND,LA,Scheduled,9/12/2024,7:00:00 PM,12
1301,ROANOKE,VA,Scheduled,9/12/2024,7:00:00 PM,10
2514,POCOMOKE CITY,MD,Scheduled,9/12/2024,7:00:00 PM,12
4682,GORDONSVILLE,VA,Scheduled,9/12/2024,7:00:00 PM,12
7301,CARENCRO,LA,Scheduled,9/12/2024,7:00:00 PM,12
328,WATERLOO,IL,Scheduled,9/12/2024,7:00:00 PM,12
619,DAYTON,TN,Scheduled,9/12/2024,7:00:00 PM,10
729,BARDSTOWN,KY,Scheduled,9/12/2024,7:00:00 PM,12
1194,OAK RIDGE,TN,Scheduled,9/12/2024,7:00:00 PM,12
1368,WEST UNION,OH,Scheduled,9/12/2024,7:00:00 PM,10
1839,LORAIN,OH,Scheduled,9/12/2024,7:00:00 PM,8
