Store,Market,Store Type ,Service Date 
2697,452,SUP,8/19/2024
5610,512,WNM,8/19/2024
5611,512,WNM,8/19/2024
1129,82,SUP,8/19/2024
1253,82,SUP,8/19/2024
2133,82,SUP,8/19/2024
2991,82,SUP,8/19/2024
4163,82,SUP,8/19/2024
4219,82,SUP,8/19/2024
4554,82,SUP,8/19/2024
5317,82,SUP,8/19/2024
475,83,SUP,8/19/2024
1185,83,SUP,8/19/2024
3569,83,SUP,8/19/2024
5479,83,SUP,8/19/2024
5480,83,SUP,8/19/2024
1083,101,SUP,8/19/2024
1090,101,SUP,8/19/2024
1219,101,SUP,8/19/2024
1225,101,SUP,8/19/2024
3308,101,SUP,8/19/2024
1739,235,SUP,8/19/2024
2281,235,SUP,8/19/2024
2420,235,SUP,8/19/2024
2300,227,SUP,8/19/2024
3838,227,SUP,8/19/2024
4644,227,SUP,8/19/2024
1770,229,SUP,8/19/2024
1883,229,SUP,8/19/2024
1885,229,SUP,8/19/2024
4643,229,SUP,8/19/2024
2059,231,SUP,8/19/2024
3228,231,SUP,8/19/2024
5241,231,SUP,8/19/2024
3712,455,SUP,8/19/2024
5192,455,SUP,8/19/2024
2457,454,SUP,8/19/2024
1492,376,SUP,8/19/2024
1689,376,SUP,8/19/2024
5137,376,SUP,8/19/2024
5334,376,SUP,8/19/2024
1229,13,SUP,8/19/2024
1481,13,SUP,8/19/2024
4497,13,SUP,8/19/2024
5262,13,SUP,8/19/2024
2713,3,SUP,8/19/2024
1563,448,SUP,8/20/2024
1660,448,SUP,8/20/2024
1941,462,SUP,8/20/2024
618,26,SUP,8/20/2024
1181,26,SUP,8/20/2024
1586,26,SUP,8/20/2024
3403,26,SUP,8/20/2024
3611,26,SUP,8/20/2024
5390,26,SUP,8/20/2024
5815,554,WNM,8/20/2024
2082,464,SUP,8/20/2024
2110,465,SUP,8/20/2024
2218,466,SUP,8/20/2024
2226,481,WNM,8/20/2024
2242,464,SUP,8/20/2024
2251,484,SUP,8/20/2024
2292,484,SUP,8/20/2024
2517,466,SUP,8/20/2024
2609,465,SUP,8/20/2024
2886,484,SUP,8/20/2024
2948,484,SUP,8/20/2024
2950,448,SUP,8/20/2024
2951,448,SUP,8/20/2024
3101,551,WNM,8/20/2024
3132,515,WNM,8/20/2024
3180,446,SUP,8/20/2024
3248,464,SUP,8/20/2024
3477,465,SUP,8/20/2024
3522,484,SUP,8/20/2024
3523,448,SUP,8/20/2024
4132,465,SUP,8/20/2024
4134,551,WNM,8/20/2024
4171,466,SUP,8/20/2024
4762,515,WNM,8/20/2024
5154,484,SUP,8/20/2024
5162,448,SUP,8/20/2024
5600,515,WNM,8/20/2024
5601,551,WNM,8/20/2024
5602,481,WNM,8/20/2024
5603,551,WNM,8/20/2024
5604,481,WNM,8/20/2024
5605,481,WNM,8/20/2024
5641,464,SUP,8/20/2024
5644,466,SUP,8/20/2024
5686,448,SUP,8/20/2024
5807,465,SUP,8/20/2024
5930,464,SUP,8/20/2024
5005,549,WNM,8/20/2024
6978,101,SUP,8/20/2024
1082,98,SUP,8/20/2024
1444,98,SUP,8/20/2024
3309,98,SUP,8/20/2024
5054,98,SUP,8/20/2024
5418,242,SUP,8/20/2024
1810,164,SUP,8/20/2024
1959,164,SUP,8/20/2024
2104,164,SUP,8/20/2024
2637,164,SUP,8/20/2024
3912,176,SUP,8/20/2024
2223,585,SUP,8/20/2024
3824,585,SUP,8/20/2024
4734,585,SUP,8/20/2024
3019,490,WNM,8/20/2024
4747,490,WNM,8/20/2024
594,19,SUP,8/21/2024
787,19,SUP,8/21/2024
3067,23,SUP,8/21/2024
3071,554,WNM,8/21/2024
3118,20,SUP,8/21/2024
3188,23,SUP,8/21/2024
3461,16,SUP,8/21/2024
3621,23,SUP,8/21/2024
3709,20,SUP,8/21/2024
1814,264,SUP,8/21/2024
1531,270,SUP,8/21/2024
5060,270,SUP,8/21/2024
589,256,SUP,8/21/2024
526,242,SUP,8/21/2024
3294,242,SUP,8/21/2024
8331,171,SUP,8/21/2024
3159,577,SUP,8/21/2024
3520,577,SUP,8/21/2024
5752,577,SUP,8/21/2024
5447,176,SUP,8/21/2024
5867,176,SUP,8/21/2024
5295,172,SUP,8/21/2024
3587,455,SUP,8/21/2024
4202,455,SUP,8/21/2024
3313,376,SUP,8/21/2024
3533,585,SUP,8/21/2024
5957,585,SUP,8/21/2024
3126,490,WNM,8/21/2024
3128,490,WNM,8/21/2024
1047,20,SUP,8/22/2024
2475,25,SUP,8/22/2024
3201,19,SUP,8/22/2024
