Store Number,FedEx Tracking Number
1004,572148427590
1006,572148427604
1010,572148427615
1011,572148427626
1017,572148427637
1018,572148427648
1023,572148427659
1024,572148427660
1027,572148427670
1029,572148427681
1030,572148427692
1032,572148427707
1034,572148427718
1035,572148427729
1036,572148427730
1037,572148427740
1039,572148427751
1047,572148427762
1052,572148427773
1057,572148427784
1060,572148427795
1061,572148427800
1063,572148427810
1064,572148427821
1068,572148427832
1070,572148427843
1072,572148427854
1076,572148427865
1077,572148427876
1079,572148427887
1081,572148427898
1082,572148427902
1083,572148427913
1084,572148427924
1085,572148427935
1086,572148427946
1087,572148427957
1090,572148427968
1091,572148427979
1096,572148427980
1097,572148427990
110,572148425678
1100,572148428004
1101,572148428015
1104,572148428026
1111,572148428037
1112,572148428048
1119,572148428059
1121,572148428060
1122,572148428070
1123,572148428081
1124,572148428092
1130,572148428107
1131,572148428118
1132,572148428129
1133,572148428130
1134,572148428140
1135,572148428151
1143,572148428162
1144,572148428173
1146,572148428184
1149,572148428195
1153,572148428200
1155,572148428210
1156,572148428221
1158,572148428232
1164,572148428243
1166,572148428254
1171,572148428265
1172,572148428276
1173,572148428287
1174,572148428298
1175,572148428302
1179,572148428313
1181,572148428324
1182,572148428335
1183,572148428346
1184,572148428357
1191,572148428368
1197,572148428379
1201,572148428380
1203,572148428390
1205,572148428405
1207,572148428416
1209,572148428427
1212,572148428438
1213,572148428449
1215,572148428450
1217,572148428460
1218,572148428471
1219,572148428482
1220,572148428493
1222,572148428508
1223,572148428519
1224,572148428520
1225,572148428530
1227,572148428541
1229,572148428552
1230,572148428563
1236,572148428574
1237,572148428585
1238,572148428596
1239,572148428600
1240,572148428611
1242,572148428622
1243,572148428633
1244,572148428644
1245,572148428655
1255,572148428666
1261,572148428677
1264,572148428688
1268,572148428699
1270,572148428703
1281,572148428714
1283,572148428725
1284,572148428736
1286,572148428747
1287,572148428758
1288,572148428769
1289,572148428770
1290,572148428780
1291,572148428791
1292,572148428806
1293,572148428817
1297,572148428828
1298,572148428839
1299,572148428840
1300,572148428850
1301,572148428861
1302,572148428872
1309,572148428883
1311,572148428894
1312,572148428909
1314,572148428910
1315,572148428920
1317,572148428931
1321,572148428942
1322,572148428953
1324,572148428964
1325,572148428975
1328,572148428986
1330,572148428997
1331,572148429000
1333,572148429011
1334,572148429022
1335,572148429033
1336,572148429044
1337,572148429055
1338,572148429066
1339,572148429077
1340,572148429088
1344,572148429099
1345,572148429103
1348,572148429114
