Region,Store#,Staffing at store,Construction Duration,Possession Actual
4,631,3,1 week,10/5/2025
4,640,12,2 weeks,9/7/2025
4,641,14,2 weeks,1/4/2026
2,787,12,1 week,9/21/2025
46,850,12,1 week,8/24/2025
2,855,12,1 week (3 working nights),9/21/2025
4,1037,14,2 weeks,8/31/2025
2,1181,3,1 week (3 working nights),7/20/2025
7,1185,15,1 week,10/5/2025
2,1340,12,2 weeks,9/28/2025
21,1443,12,1 week,10/5/2025
41,1459,14,2 weeks,9/28/2025
41,1518,14,3 weeks,9/28/2025
41,1557,14,1 week,10/19/2025
2,1586,12,1 week (3 working nights),10/12/2025
76,1619,12,2 weeks,8/24/2025
54,1689,12,2 weeks,9/14/2025
58,1747,14,2 weeks,9/7/2025
22,1860,14,2 weeks,9/14/2025
20,1863,14,2 weeks,9/7/2025
76,1985,14,3 weeks,9/15/2025
60,2070,15,3 weeks,9/28/2025
21,2098,3,1 week,9/28/2025
16,2152,14,1 week,9/7/2025
56,2189,12,2 weeks,9/21/2025
20,2362,14,2 weeks,10/5/2025
75,2435,14,1 week,9/14/2025
56,2457,12,2 weeks,9/21/2025
56,2537,12,2 weeks,9/28/2025
60,2550,14,2 weeks,9/14/2025
22,2555,12,1 week,8/31/2025
56,2598,12,2 weeks,9/22/2025
21,2774,0,1 week (3 working nights),10/5/2025
41,2787,14,1 week,8/24/2025
22,2830,14,2 weeks,9/14/2025
76,2859,14,1 week,10/5/2025
57,2886,12,2 weeks,9/7/2025
9,2946,14,1 week,10/19/2025
57,2951,12,2 weeks,9/28/2025
40,3061,12,1 week,10/5/2025
57,3180,12,2 weeks,10/5/2025
4,3192,12,1 week,1/11/2026
76,3280,12,1 week,10/5/2025
17,3292,14,2 weeks,9/21/2025
56,3352,12,1 week,9/7/2025
4,3367,14,2 weeks,10/19/2025
2,3401,0,1 week (3 working nights),9/28/2025
56,3408,15,2 weeks,8/31/2025
21,3571,14,1 week ,6/29/2025
2,3621,12,1 week,9/28/2025
2,3710,12,1 week,10/5/2025
2,3741,12,1 week,9/7/2025
41,3781,14,2 weeks,9/7/2025
60,3794,12,2 weeks,8/17/2025
60,4137,12,2 weeks,9/14/2025
56,4239,15,2 weeks,10/5/2025
57,4557,12,2 weeks,9/28/2025
17,5077,12,2 weeks,10/19/2025
40,5150,14,1 week,8/31/2025
21,5185,14,1 week,10/12/2025
56,5192,12,1 week,10/12/2025
17,5201,12,3 weeks,9/7/2025
17,5281,14,2 weeks,10/19/2025
54,5334,12,2 weeks,10/12/2025
2,5390,5,1 week,7/13/2025
22,5436,14,2 weeks ,9/21/2025
60,5440,12,2 weeks,9/7/2025
41,5443,12,1 week,9/7/2025
17,5447,14,2 weeks,6/29/2025
54,5676,12,2 weeks,9/21/2025
57,5686,12,2 weeks,11/2/2025
40,5927,12,1 week,8/31/2025
54,5957,12,1 week ,10/5/2025
2,6998,12,1 week,9/7/2025
