Store#,16' Train,8' Train,CRAYOLA ENDCAP,WRITING ENDCAP,HV DUMP BIN CRAYOLA,HV DUMP BIN NEWELL,8' OLDER STUDENT TRAIN,OLDER STUDENT TRAIN ENDCAPS
76,No,No,No,No,No,No,No,No
77,No,Yes,Yes,Yes,Yes,No,No,No
78,No,Yes,Yes,Yes,Yes,No,No,No
79,No,Yes,Yes,Yes,Yes,Yes,No,No
80,Yes,No,Yes,Yes,Yes,No,Yes,Yes
81,No,No,No,No,No,No,No,No
82,No,Yes,Yes,Yes,No,No,No,No
83,No,Yes,No,Yes,No,No,No,No
85,Yes,No,Yes,Yes,Yes,No,No,No
86,Yes,No,Yes,Yes,Yes,Yes,No,No
87,No,Yes,Yes,Yes,No,No,No,No
88,No,Yes,Yes,Yes,No,No,No,No
89,Yes,No,Yes,Yes,No,No,No,No
90,No,Yes,Yes,Yes,No,No,No,No
91,No,Yes,Yes,Yes,No,No,No,No
92,No,Yes,Yes,Yes,No,No,No,No
93,Yes,No,Yes,Yes,No,No,No,No
94,Yes,No,Yes,Yes,Yes,No,Yes,Yes
95,Yes,No,Yes,Yes,Yes,Yes,No,No
96,Yes,No,Yes,Yes,Yes,No,No,No
97,No,Yes,Yes,Yes,No,No,No,No
98,No,Yes,No,Yes,No,No,No,No
99,No,Yes,Yes,Yes,No,No,No,No
100,Yes,No,No,No,Yes,Yes,Yes,Yes
101,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
102,No,Yes,Yes,Yes,No,No,No,No
103,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
104,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
105,No,Yes,Yes,Yes,Yes,No,Yes,Yes
106,No,Yes,No,No,No,No,No,No
107,Yes,No,Yes,Yes,No,No,No,No
108,No,Yes,Yes,Yes,No,No,No,No
109,No,Yes,Yes,Yes,No,No,No,No
110,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
111,No,Yes,No,No,No,No,No,No
112,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
113,Yes,No,Yes,Yes,No,No,No,No
114,No,Yes,Yes,Yes,No,No,No,No
115,No,Yes,Yes,Yes,No,No,No,No
116,No,No,No,No,No,No,No,No
117,No,Yes,No,No,No,No,No,No
