Location Number,Launch Week
824,WK 26
829,WK 26
835,WK 26
850,WK 26
3423,WK 26
3731,WK 26
3732,WK 26
4201,WK 26
5491,WK 26
1867,WK 27
2248,WK 27
2412,WK 27
2436,WK 27
2850,WK 27
3720,WK 27
3804,WK 27
459,WK 28
548,WK 28
1340,WK 28
2475,WK 28
3388,WK 28
3389,WK 28
3786,WK 28
4472,WK 28
4558,WK 28
5252,WK 28
