Store Nbr,Store Name,Item Desc 1,Curr Str On Hand Qty
5,CONWAY AR,GGS GENTLE 27 OZ,3 
8,MORRILTON AR,GGS GENTLE 27 OZ,34 
9,SIKESTON MO,GGS GENTLE 27 OZ,46 
13,CARTHAGE MO,GGS GENTLE 27 OZ,2 
14,LEBANON MO,GGS GENTLE 27 OZ,52 
15,WEST PLAINS MO,GGS GENTLE 27 OZ,19 
17,NEOSHO MO,GGS GENTLE 27 OZ,1 
23,RUSTON LA,GGS GENTLE 27 OZ,11 
24,JACKSONVILLE AR,GGS GENTLE 27 OZ,52 
25,MEXICO MO,GGS GENTLE 27 OZ,63 
27,SALEM MO,GGS GENTLE 27 OZ,0 
29,JEFFERSON CITY MO,GGS GENTLE 27 OZ,11 
32,BRANSON MO,GGS GENTLE 27 OZ,1 
33,NASHVILLE AR,GGS GENTLE 27 OZ,37 
34,NEVADA MO,GGS GENTLE 27 OZ,11 
35,MANHATTAN KS,GGS GENTLE 27 OZ,1 
38,IDABEL OK,GGS GENTLE 27 OZ,10 
39,FORT SCOTT KS,GGS GENTLE 27 OZ,25 
40,MOBERLY MO,GGS GENTLE 27 OZ,48 
42,COFFEYVILLE KS,GGS GENTLE 27 OZ,21 
45,JONESBORO AR,GGS GENTLE 27 OZ,1 
46,BOLIVAR MO,GGS GENTLE 27 OZ,70 
49,HUGO OK,GGS GENTLE 27 OZ,2 
56,AVA MO,GGS GENTLE 27 OZ,35 
60,TROY MO,GGS GENTLE 27 OZ,1 
61,WARRENSBURG MO,GGS GENTLE 27 OZ,10 
62,BLYTHEVILLE AR,GGS GENTLE 27 OZ,36 
64,BROWNSVILLE TN,GGS GENTLE 27 OZ,22 
65,SULLIVAN MO,GGS GENTLE 27 OZ,61 
68,WYNNE AR,GGS GENTLE 27 OZ,9 
75,PINEVILLE LA,GGS GENTLE 27 OZ,65 
77,TAYLOR TX,GGS GENTLE 27 OZ,46 
78,MARSHFIELD MO,GGS GENTLE 27 OZ,1 
80,COLUMBIA MO,GGS GENTLE 27 OZ,30 
82,PERRYVILLE MO,GGS GENTLE 27 OZ,5 
83,MAGNOLIA AR,GGS GENTLE 27 OZ,79 
85,BENTON AR,GGS GENTLE 27 OZ,7 
86,SPRINGFIELD MO,GGS GENTLE 27 OZ,12 
87,MINDEN LA,GGS GENTLE 27 OZ,59 
89,CAMDENTON MO,GGS GENTLE 27 OZ,69 
93,COVINGTON TN,GGS GENTLE 27 OZ,3 
94,MILLINGTON TN,GGS GENTLE 27 OZ,8 
95,DESLOGE MO,GGS GENTLE 27 OZ,2 
97,RIPLEY TN,GGS GENTLE 27 OZ,89 
98,BASTROP LA,GGS GENTLE 27 OZ,36 
101,ROLLA MO,GGS GENTLE 27 OZ,6 
104,MILAN TN,GGS GENTLE 27 OZ,2 
105,CORINTH MS,GGS GENTLE 27 OZ,29 
106,FULTON KY,GGS GENTLE 27 OZ,23 
107,MARTIN TN,GGS GENTLE 27 OZ,57 
110,WINTER GARDEN FL,GGS GENTLE 27 OZ,18 
112,STARKVILLE MS,GGS GENTLE 27 OZ,12 
114,BOONEVILLE MS,GGS GENTLE 27 OZ,49 
115,"WEST POINT, MS",GGS GENTLE 27 OZ,12 
116,VIVIAN LA,GGS GENTLE 27 OZ,47 
118,AMORY MS,GGS GENTLE 27 OZ,25 
120,HUMBOLDT TN,GGS GENTLE 27 OZ,18 
122,JACKSON MO,GGS GENTLE 27 OZ,9 
131,MT PLEASANT TX,GGS GENTLE 27 OZ,69 
133,ASHDOWN AR,GGS GENTLE 27 OZ,104 
134,ELK CITY OK,GGS GENTLE 27 OZ,13 
138,"SPRINGFIELD (NE), MO",GGS GENTLE 27 OZ,8 
139,PURCELL OK,GGS GENTLE 27 OZ,2 
140,LUFKIN TX,GGS GENTLE 27 OZ,62 
145,BOWLING GREEN MO,GGS GENTLE 27 OZ,11 
146,GILMER TX,GGS GENTLE 27 OZ,41 
148,PARIS TX,GGS GENTLE 27 OZ,56 
149,"JONESBORO, LA",GGS GENTLE 27 OZ,55 
153,NEW ALBANY MS,GGS GENTLE 27 OZ,2 
154,ABINGDON VA,GGS GENTLE 27 OZ,32 
155,SENATOBIA MS,GGS GENTLE 27 OZ,85 
159,COLUMBIA MO,GGS GENTLE 27 OZ,55 
161,HUNTINGDON TN,GGS GENTLE 27 OZ,66 
163,NACOGDOCHES TX,GGS GENTLE 27 OZ,72 
164,PONTOTOC MS,GGS GENTLE 27 OZ,8 
167,CROSSETT AR,GGS GENTLE 27 OZ,97 
170,NATCHITOCHES LA,GGS GENTLE 27 OZ,62 
171,"CAMDEN, AR",GGS GENTLE 27 OZ,78 
173,POTOSI MO,GGS GENTLE 27 OZ,16 
174,ROCKLEDGE FL,GGS GENTLE 27 OZ,21 
