Club Number,Device Description,Serial Number,FedEx Tracking #,Date Shipped,
4109,SM1,237C2B30,542048572008,1/13/22,https://www.fedex.com/fedextrack/?action=track&tracknumbers=542048572008&locale=en_US&cntry_code=us
4109,SM1,237B7607,542048572008,1/13/22,https://www.fedex.com/fedextrack/?action=track&tracknumbers=542048572008&locale=en_US&cntry_code=us
4109,SM1,233DBE91,542048572008,1/13/22,https://www.fedex.com/fedextrack/?action=track&tracknumbers=542048572008&locale=en_US&cntry_code=us
4109,SM1,22C84585,542048572008,1/13/22,https://www.fedex.com/fedextrack/?action=track&tracknumbers=542048572008&locale=en_US&cntry_code=us
4109,SM1,22C5386F,542048572008,1/13/22,https://www.fedex.com/fedextrack/?action=track&tracknumbers=542048572008&locale=en_US&cntry_code=us
4109,SM1,22B5D915,542048572008,1/13/22,https://www.fedex.com/fedextrack/?action=track&tracknumbers=542048572008&locale=en_US&cntry_code=us
4109,SM1,24CA24B1,560726482617,2/11/22,https://www.fedex.com/fedextrack/?action=track&tracknumbers=560726482617&locale=en_US&cntry_code=us
4109,SM1,24BEA30F,560726482617,2/11/22,https://www.fedex.com/fedextrack/?action=track&tracknumbers=560726482617&locale=en_US&cntry_code=us
4109,SM1,238C40A4,560726482617,2/11/22,https://www.fedex.com/fedextrack/?action=track&tracknumbers=560726482617&locale=en_US&cntry_code=us
4109,SM1,23889F4C,560726482617,2/11/22,https://www.fedex.com/fedextrack/?action=track&tracknumbers=560726482617&locale=en_US&cntry_code=us
4109,SM1,23844D9C,560726482617,2/11/22,https://www.fedex.com/fedextrack/?action=track&tracknumbers=560726482617&locale=en_US&cntry_code=us
4109,SM1,2381FC2E,560726482617,2/11/22,https://www.fedex.com/fedextrack/?action=track&tracknumbers=560726482617&locale=en_US&cntry_code=us
4109,SM1,237CB9B4,560726482617,2/11/22,https://www.fedex.com/fedextrack/?action=track&tracknumbers=560726482617&locale=en_US&cntry_code=us
4109,SM1,2379E295,560726482617,2/11/22,https://www.fedex.com/fedextrack/?action=track&tracknumbers=560726482617&locale=en_US&cntry_code=us
4109,SM1,24C42C79,560726482710,2/11/22,https://www.fedex.com/fedextrack/?action=track&tracknumbers=560726482710&locale=en_US&cntry_code=us
4702,SM1,24BB7ABF,526786244908,10/14/21,https://www.fedex.com/fedextrack/?action=track&tracknumbers=526786244908&locale=en_US&cntry_code=us
4702,SM1,24B90785,526786244908,10/14/21,https://www.fedex.com/fedextrack/?action=track&tracknumbers=526786244908&locale=en_US&cntry_code=us
4702,SM1,23790FC1,560726482742,2/11/22,https://www.fedex.com/fedextrack/?action=track&tracknumbers=560726482742&locale=en_US&cntry_code=us
4702,SM1,237BD948,560726482742,2/11/22,https://www.fedex.com/fedextrack/?action=track&tracknumbers=560726482742&locale=en_US&cntry_code=us
4702,SM1,23A2E2FC,560726482742,2/11/22,https://www.fedex.com/fedextrack/?action=track&tracknumbers=560726482742&locale=en_US&cntry_code=us
4702,SM1,237EF107,560726482742,2/11/22,https://www.fedex.com/fedextrack/?action=track&tracknumbers=560726482742&locale=en_US&cntry_code=us
4702,SM1,24C4502A,560726482742,2/11/22,https://www.fedex.com/fedextrack/?action=track&tracknumbers=560726482742&locale=en_US&cntry_code=us
4702,SM1,238700EF,560726482742,2/11/22,https://www.fedex.com/fedextrack/?action=track&tracknumbers=560726482742&locale=en_US&cntry_code=us
4702,SM1,238D5541,560726482742,2/11/22,https://www.fedex.com/fedextrack/?action=track&tracknumbers=560726482742&locale=en_US&cntry_code=us
4702,SM1,24C20DDF,560726482742,2/11/22,https://www.fedex.com/fedextrack/?action=track&tracknumbers=560726482742&locale=en_US&cntry_code=us
4702,SM1,2383429F,560726482742,2/11/22,https://www.fedex.com/fedextrack/?action=track&tracknumbers=560726482742&locale=en_US&cntry_code=us
4702,SM1,2383D11F,560726482742,2/11/22,https://www.fedex.com/fedextrack/?action=track&tracknumbers=560726482742&locale=en_US&cntry_code=us
