DC #,3/21,3/23,3/24,3/25,3/28,4/2,4/3,4/4,4/5,4/11,4/12,4/18,4/25,Grand Total
6042,288,84,16,0,73,0,0,204,150,27,0,54,48,944
6047,29,28,21,10,21,0,0,99,6,0,0,0,0,214
6055,106,52,38,84,33,0,0,75,170,0,0,0,0,558
6056,324,20,84,0,103,0,0,292,119,44,0,75,75,1136
6057,167,26,58,0,59,0,0,145,130,21,0,27,19,652
6059,110,0,99,0,40,0,0,210,27,0,0,0,0,486
6065,147,0,84,0,40,0,0,110,115,0,0,0,0,496
6074,69,0,0,52,23,0,3,167,0,0,0,0,0,314
6091,171,44,0,29,74,0,16,173,81,0,0,0,0,588
6096,90,0,56,0,38,0,0,99,71,0,0,0,0,354
7012,60,0,0,69,21,0,8,147,0,0,0,0,0,305
7024,134,0,91,0,38,0,0,181,27,0,0,0,0,471
7030,60,0,0,45,31,0,0,88,75,0,0,0,0,299
7077,60,0,0,48,25,7,65,79,0,0,0,0,0,284
7079,162,0,0,75,36,0,106,102,0,0,0,0,0,481
8397,337,0,0,0,129,0,155,268,95,0,54,77,54,1169
8851,307,75,84,0,142,0,81,393,0,54,0,78,0,1214
