Store,Participating Store?
1,Yes
2,Yes
3,Yes
5,Yes
7,Yes
11,Yes
12,Yes
14,Yes
15,Yes
17,Yes
18,Yes
19,Yes
20,Yes
22,Yes
23,Yes
25,Yes
26,Yes
28,Yes
30,Yes
31,Yes
35,Yes
36,Yes
37,Yes
39,Yes
40,Yes
41,Yes
42,Yes
43,Yes
45,Yes
46,Yes
48,Yes
50,Yes
52,Yes
54,Yes
58,Yes
59,Yes
61,Yes
62,Yes
63,Yes
69,Yes
70,Yes
72,Yes
74,Yes
75,Yes
76,Yes
77,Yes
78,Yes
79,Yes
83,Yes
85,Yes
86,Yes
87,Yes
89,Yes
90,Yes
91,Yes
93,Yes
97,Yes
98,Yes
100,Yes
101,Yes
102,Yes
103,Yes
105,Yes
107,Yes
109,Yes
112,Yes
113,Yes
114,Yes
115,Yes
118,Yes
119,Yes
120,Yes
121,Yes
124,Yes
125,Yes
126,Yes
130,Yes
134,Yes
135,Yes
137,Yes
139,Yes
140,Yes
141,Yes
143,Yes
144,Yes
147,Yes
149,Yes
150,Yes
151,Yes
153,Yes
155,Yes
157,Yes
159,Yes
160,Yes
163,Yes
165,Yes
167,Yes
168,Yes
170,Yes
171,Yes
173,Yes
175,Yes
177,Yes
179,Yes
180,Yes
181,Yes
182,Yes
184,Yes
185,Yes
186,Yes
189,Yes
192,Yes
194,Yes
195,Yes
196,Yes
197,Yes
200,Yes
201,Yes
202,Yes
204,Yes
205,Yes
211,Yes
212,Yes
213,Yes
216,Yes
217,Yes
219,Yes
220,Yes
224,Yes
226,Yes
227,Yes
228,Yes
231,Yes
234,Yes
237,Yes
238,Yes
239,Yes
242,Yes
243,Yes
249,Yes
253,Yes
254,Yes
256,Yes
260,Yes
261,Yes
262,Yes
264,Yes
265,Yes
266,Yes
267,Yes
268,Yes
269,Yes
272,Yes
278,Yes
280,Yes
282,Yes
284,Yes
285,Yes
286,Yes
287,Yes
295,Yes
297,Yes
298,Yes
300,Yes
301,Yes
302,Yes
304,Yes
306,Yes
309,Yes
313,Yes
314,Yes
315,Yes
317,Yes
318,Yes
319,Yes
