Store,Dates,Reg,0.01,0.05,0.1,0.25
54,5/13/2024,24,audit,,,
54,5/13/2024,27,audit,,,
54,5/13/2024,60,audit,,,
54,5/13/2024,94,audit,,,
471,5/13/2024,24,audit,,,
471,5/13/2024,26,audit,,,
471,5/13/2024,28,audit,,,
471,5/13/2024,40,audit,,,
471,5/13/2024,58,audit,,,
488,5/13/2024,9,audit,,,
488,5/13/2024,59,audit,,,
488,5/13/2024,67,audit,,,
880,5/13/2024,10,4,1,1,2
880,5/13/2024,11,audit,,,
880,5/13/2024,12,4,1,1,2
880,5/13/2024,13,audit,,,
880,5/13/2024,14,4,1,0,2
880,5/13/2024,15,audit,,,
880,5/13/2024,16,audit,,,
880,5/13/2024,17,4,1,2,1
880,5/13/2024,40,1,0,0,1
880,5/13/2024,41,audit,,,
880,5/13/2024,58,audit,,,
880,5/13/2024,62,3,1,0,2
880,5/13/2024,63,1,1,0,1
880,5/13/2024,64,4,1,2,2
880,5/13/2024,67,1,0,0,1
880,5/13/2024,68,1,0,1,1
880,5/13/2024,74,1,1,1,1
880,5/13/2024,79,1,0,0,0
880,5/13/2024,90,0,0,0,1
880,5/13/2024,91,4,1,2,2
880,5/13/2024,92,4,2,2,2
880,5/13/2024,93,audit,,,
880,5/13/2024,95,0,0,0,1
880,5/13/2024,98,0,0,0,1
1082,5/13/2024,16,audit,,,
1082,5/13/2024,18,audit,,,
1082,5/13/2024,20,audit,,,
1801,5/13/2024,11,audit,,,
1801,5/13/2024,12,audit,,,
1801,5/13/2024,24,audit,,,
1801,5/13/2024,26,audit,,,
1801,5/13/2024,58,audit,,,
1801,5/13/2024,64,audit,,,
2918,5/13/2024,15,3,1,1,2
2918,5/13/2024,17,2,1,0,1
2918,5/13/2024,19,1,1,1,1
2918,5/13/2024,20,audit,,,
2918,5/13/2024,21,3,2,1,2
2918,5/13/2024,23,audit,,,
2918,5/13/2024,40,0,1,1,1
2918,5/13/2024,41,0,0,0,0
2918,5/13/2024,42,0,0,0,0
2918,5/13/2024,54,0,0,0,1
2918,5/13/2024,58,0,0,0,0
2918,5/13/2024,67,0,0,1,0
2918,5/13/2024,70,audit,,,
2918,5/13/2024,71,0,1,1,1
2918,5/13/2024,77,1,0,1,1
2918,5/13/2024,79,0,0,0,0
2918,5/13/2024,80,0,0,0,0
2918,5/13/2024,91,3,1,1,2
2918,5/13/2024,92,3,2,1,2
2918,5/13/2024,93,3,1,0,2
2918,5/13/2024,98,0,1,1,0
3014,5/13/2024,16,audit,,,
3014,5/13/2024,17,audit,,,
3014,5/13/2024,18,audit,,,
3014,5/13/2024,19,audit,,,
3014,5/13/2024,21,audit,,,
3014,5/13/2024,23,audit,,,
3014,5/13/2024,24,audit,,,
3014,5/13/2024,25,audit,,,
3014,5/13/2024,58,audit,,,
3014,5/13/2024,64,audit,,,
3014,5/13/2024,70,audit,,,
3014,5/13/2024,91,audit,,,
3014,5/13/2024,92,audit,,,
3284,5/13/2024,40,audit,,,
3284,5/13/2024,62,audit,,,
4681,5/13/2024,21,audit,,,
5080,5/13/2024,18,audit,,,
5080,5/13/2024,21,audit,,,
5080,5/13/2024,22,audit,,,
5080,5/13/2024,26,audit,,,
5080,5/13/2024,92,audit,,,
5080,5/13/2024,95,audit,,,
5172,5/13/2024,1,audit,,,
5172,5/13/2024,5,audit,,,
5172,5/13/2024,6,audit,,,
5172,5/13/2024,7,audit,,,
5172,5/13/2024,70,audit,,,
5172,5/13/2024,93,audit,,,
5316,5/13/2024,1,2,2,1,2
5316,5/13/2024,2,3,2,1,1
5316,5/13/2024,3,3,1,0,1
5316,5/13/2024,4,3,1,1,1
5316,5/13/2024,5,2,1,0,2
5316,5/13/2024,6,3,1,1,2
5316,5/13/2024,7,audit,,,
5316,5/13/2024,8,2,1,0,2
5316,5/13/2024,9,1,2,1,2
5316,5/13/2024,10,audit,,,
5316,5/13/2024,11,2,1,1,2
5316,5/13/2024,12,2,2,1,2
5316,5/13/2024,13,1,0,0,0
5316,5/13/2024,14,1,0,0,0
5316,5/13/2024,58,0,1,0,0
5316,5/13/2024,59,1,0,1,0
5316,5/13/2024,67,audit,,,
5316,5/13/2024,68,1,1,1,1
5316,5/13/2024,71,0,1,1,1
5316,5/13/2024,72,1,0,0,0
5316,5/13/2024,77,0,1,1,0
5316,5/13/2024,78,0,0,1,1
5316,5/13/2024,79,audit,,,
5316,5/13/2024,90,1,0,0,0
5316,5/13/2024,91,0,0,0,0
5316,5/13/2024,92,2,1,0,2
5316,5/13/2024,93,3,2,0,2
5316,5/13/2024,94,3,1,1,2
5316,5/13/2024,95,audit,,,
5316,5/13/2024,98,1,1,1,1
