0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Store,Tracking Number,Ship date ,Status ,Delivered date,Service type ,Reference ,Purchase order number ,Shipper company ,Recipient contact name ,Recipient city ,Recipient address ,Recipient state ,Recipient postal ,Received by ,Dimensional Wt (Lbs) ,Scheduled delivery date ,Status with details ,Pkg Dimensions (in) 
5090,6.44E+11,10/11/2023,Delivered,10/12/2023,FedEx Ground,D9354,5090,SPARTAN GRAPHICS,STORE MANAGER,DE PERE,1415 LAWRENCE DR,WI,54115,DAVID,,,"Delivered: 10/12/2023 12:01 pm Signed for by:DAVID; De Pere, WI",11x9x6
2016,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,2016,SPARTAN GRAPHICS,STORE MANAGER,COLVILLE,810 NORTH HWY,WA,99114,WKEMP,,,"Delivered: 10/13/2023 1:18 pm Signed for by:WKEMP; Colville, WA",11x9x6
2201,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,2201,SPARTAN GRAPHICS,STORE MANAGER,EL PASO,7101 GATEWAY BLVD W,TX,79925,GNIETO,,,"Delivered: 10/13/2023 9:47 am Signed for by:GNIETO; El Paso, TX",11x9x6
2539,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,2539,SPARTAN GRAPHICS,STORE MANAGER,SPOKANE VALLEY,15727 E BROADWAY AVE,WA,99037,VJOHNSTON,,,"Delivered: 10/13/2023 10:57 am Signed for by:VJOHNSTON; Veradale, WA",11x9x6
2549,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,2549,SPARTAN GRAPHICS,STORE MANAGER,SPOKANE,9212 N COLTON ST,WA,99218,PYOUNG,,,"Delivered: 10/13/2023 10:59 am Signed for by:PYOUNG; Spokane, WA",11x9x6
2608,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,2608,SPARTAN GRAPHICS,STORE MANAGER,MILES CITY,3205 STOWER ST,MT,59301,JHEBERLEE,,,"Delivered: 10/13/2023 6:44 am Signed for by:JHEBERLEE; Miles City, MT",11x9x6
2612,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,2612,SPARTAN GRAPHICS,STORE MANAGER,EL PASO,1850 N ZARAGOZA RD,TX,79936,OOCHOA,,,"Delivered: 10/13/2023 11:16 am Signed for by:OOCHOA; El Paso, TX",11x9x6
2648,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,2648,SPARTAN GRAPHICS,STORE MANAGER,SAN LEANDRO,1919 DAVIS ST,CA,94577,CPADILLA,,,"Delivered: 10/13/2023 10:43 am Signed for by:CPADILLA; San Leandro, CA",11x9x6
2778,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,2778,SPARTAN GRAPHICS,STORE MANAGER,COOLIDGE,1695 N ARIZONA BLVD,AZ,85128,ESMITH,,,"Delivered: 10/13/2023 11:41 am Signed for by:ESMITH; Coolidge, AZ",12x9x6
2865,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,2865,SPARTAN GRAPHICS,STORE MANAGER,SPOKANE,2301 W WELLESLEY AVE,WA,99205,KKIM,,,"Delivered: 10/13/2023 11:29 am Signed for by:KKIM; Spokane, WA",11x9x6
3136,6.44E+11,10/10/2023,Delivered,10/13/2023,FedEx Ground,D9354,3136,SPARTAN GRAPHICS,STORE MANAGER,HORIZON CITY,13900 HORIZON BLVD,TX,79928,CLUJAN,,,"Delivered: 10/13/2023 9:59 am Signed for by:CLUJAN; El Paso, TX",12x9x6
