Store,Dept,Inventory Dollars,Format
42,98,17057.72,WM Supercenter
43,80,14690.69,WM Supercenter
43,93,54799.05,WM Supercenter
43,94,20200.5,WM Supercenter
43,98,23796.58,WM Supercenter
44,80,-1.33,Wal-Mart
44,93,9.22,Wal-Mart
44,94,2190.04,Wal-Mart
44,98,19.78,Wal-Mart
45,80,13273.44,WM Supercenter
45,93,79685.11,WM Supercenter
45,94,23980.72,WM Supercenter
45,98,33328.32,WM Supercenter
46,80,13134.01,WM Supercenter
46,93,76531.54,WM Supercenter
46,94,28811.78,WM Supercenter
46,98,21870.47,WM Supercenter
47,80,12157.62,WM Supercenter
47,93,66369.49,WM Supercenter
47,94,15349.94,WM Supercenter
47,98,22668.95,WM Supercenter
48,80,13224.11,WM Supercenter
48,93,62504.31,WM Supercenter
48,94,24681.54,WM Supercenter
48,98,24646.94,WM Supercenter
49,80,9608.76,WM Supercenter
49,93,58791.29,WM Supercenter
49,94,22319.13,WM Supercenter
49,98,5700.78,WM Supercenter
50,80,9129.51,WM Supercenter
50,93,52661.83,WM Supercenter
50,94,18264.64,WM Supercenter
50,98,7819.49,WM Supercenter
51,80,6711.34,WM Supercenter
51,93,41161.01,WM Supercenter
51,94,19899.38,WM Supercenter
51,98,7095.65,WM Supercenter
52,80,18792.1,WM Supercenter
52,93,71917.81,WM Supercenter
52,94,14579.88,WM Supercenter
52,98,18902.59,WM Supercenter
54,80,11893.58,WM Supercenter
54,93,68227.62,WM Supercenter
54,94,26075.56,WM Supercenter
54,98,28614.92,WM Supercenter
55,80,10050.01,WM Supercenter
55,93,59745.33,WM Supercenter
55,94,21675.52,WM Supercenter
55,98,14787.03,WM Supercenter
56,80,10247.63,WM Supercenter
56,93,52204.43,WM Supercenter
56,94,23994.88,WM Supercenter
56,98,10660.99,WM Supercenter
57,80,0.07,Wal-Mart
57,93,-531.52,Wal-Mart
57,94,123.72,Wal-Mart
57,98,-461.06,Wal-Mart
58,80,20362.08,WM Supercenter
58,93,89708.29,WM Supercenter
58,94,29514.66,WM Supercenter
58,98,25341.49,WM Supercenter
59,80,19224.84,WM Supercenter
59,93,83244.38,WM Supercenter
59,94,29787.5,WM Supercenter
59,98,23745.28,WM Supercenter
60,80,14459.66,WM Supercenter
60,93,69140.21,WM Supercenter
60,94,23061.36,WM Supercenter
60,98,26914.87,WM Supercenter
61,80,16012.89,WM Supercenter
61,93,86677.05,WM Supercenter
61,94,28935.27,WM Supercenter
61,98,19708.04,WM Supercenter
62,80,11367.87,WM Supercenter
62,93,78230.27,WM Supercenter
62,94,20467,WM Supercenter
62,98,20052.68,WM Supercenter
63,80,5009.13,WM Supercenter
63,93,44770.81,WM Supercenter
63,94,13555.26,WM Supercenter
63,98,12752.84,WM Supercenter
64,80,12143.38,WM Supercenter
64,93,60300.65,WM Supercenter
64,94,18347.63,WM Supercenter
64,98,16319.24,WM Supercenter
65,80,16205.79,WM Supercenter
65,93,60882.26,WM Supercenter
65,94,17955.71,WM Supercenter
65,98,16067.91,WM Supercenter
