Market,Store,Store Type,Launch Date
334,79,SUP,2/15/2023
323,100,SUP,2/15/2023
353,212,SUP,2/15/2023
50,266,SUP,2/15/2023
53,426,SUP,2/15/2023
583,1055,SUP,2/15/2023
184,1753,SUP,2/15/2023
56,2086,SUP,2/15/2023
184,2142,SUP,2/15/2023
52,2427,SUP,2/15/2023
53,2463,SUP,2/15/2023
534,2686,WNM,2/15/2023
151,2757,SUP,2/15/2023
56,2883,SUP,2/15/2023
561,2974,WNM,2/15/2023
534,3164,WNM,2/15/2023
561,3198,WNM,2/15/2023
44,3284,SUP,2/15/2023
51,3406,SUP,2/15/2023
51,3482,SUP,2/15/2023
292,3639,SUP,2/15/2023
323,4108,SUP,2/15/2023
561,4182,WNM,2/15/2023
561,5021,WNM,2/15/2023
44,5147,SUP,2/15/2023
55,5191,SUP,2/15/2023
176,5447,SUP,2/15/2023
51,5673,SUP,2/15/2023
583,5823,SUP,2/15/2023
283,5936,SUP,2/15/2023
52,6963,SUP,2/15/2023
311,154,SUP,2/16/2023
311,1023,SUP,2/16/2023
217,1239,SUP,2/16/2023
312,1243,SUP,2/16/2023
222,1264,SUP,2/16/2023
221,1289,SUP,2/16/2023
312,1292,SUP,2/16/2023
312,1301,SUP,2/16/2023
311,1302,SUP,2/16/2023
312,1309,SUP,2/16/2023
222,1330,SUP,2/16/2023
223,1331,SUP,2/16/2023
222,1333,SUP,2/16/2023
315,1335,SUP,2/16/2023
311,1336,W/M,2/16/2023
315,1344,SUP,2/16/2023
314,1345,SUP,2/16/2023
315,1350,SUP,2/16/2023
218,1368,SUP,2/16/2023
315,1399,SUP,2/16/2023
286,1406,SUP,2/16/2023
221,1407,SUP,2/16/2023
223,1410,SUP,2/16/2023
207,1416,SUP,2/16/2023
290,1424,SUP,2/16/2023
218,1427,SUP,2/16/2023
213,1429,SUP,2/16/2023
222,1433,SUP,2/16/2023
221,1441,SUP,2/16/2023
225,1443,SUP,2/16/2023
213,1445,SUP,2/16/2023
213,1448,SUP,2/16/2023
221,1463,SUP,2/16/2023
314,1465,SUP,2/16/2023
259,1478,SUP,2/16/2023
314,1486,SUP,2/16/2023
223,1495,SUP,2/16/2023
221,1503,SUP,2/16/2023
221,1504,SUP,2/16/2023
218,1519,SUP,2/16/2023
225,1521,SUP,2/16/2023
287,1523,SUP,2/16/2023
290,1524,SUP,2/16/2023
287,1525,SUP,2/16/2023
213,1539,SUP,2/16/2023
218,1564,SUP,2/16/2023
219,1594,SUP,2/16/2023
217,1595,SUP,2/16/2023
192,1610,W/M,2/16/2023
192,1619,SUP,2/16/2023
213,1622,SUP,2/16/2023
213,1628,SUP,2/16/2023
288,1631,SUP,2/16/2023
312,1652,SUP,2/16/2023
192,1673,SUP,2/16/2023
189,1677,SUP,2/16/2023
288,1682,SUP,2/16/2023
289,1687,SUP,2/16/2023
289,1688,SUP,2/16/2023
183,1698,SUP,2/16/2023
191,1705,SUP,2/16/2023
208,1707,SUP,2/16/2023
222,1718,SUP,2/16/2023
216,1724,SUP,2/16/2023
315,1726,SUP,2/16/2023
287,1730,SUP,2/16/2023
192,1731,SUP,2/16/2023
284,1736,SUP,2/16/2023
284,1741,SUP,2/16/2023
165,1742,SUP,2/16/2023
192,1744,SUP,2/16/2023
183,1749,SUP,2/16/2023
222,1750,SUP,2/16/2023
288,1759,SUP,2/16/2023
157,1762,SUP,2/16/2023
311,1763,SUP,2/16/2023
288,1773,SUP,2/16/2023
315,1780,SUP,2/16/2023
190,1781,SUP,2/16/2023
184,1785,W/M,2/16/2023
183,1788,SUP,2/16/2023
184,1796,SUP,2/16/2023
179,1797,SUP,2/16/2023
189,1806,SUP,2/16/2023
165,1807,SUP,2/16/2023
164,1810,SUP,2/16/2023
288,1811,SUP,2/16/2023
215,1812,SUP,2/16/2023
192,1813,SUP,2/16/2023
286,1825,SUP,2/16/2023
191,1830,SUP,2/16/2023
191,1831,SUP,2/16/2023
291,1833,SUP,2/16/2023
190,1835,SUP,2/16/2023
214,1839,SUP,2/16/2023
999,1841,SUP,2/16/2023
178,1844,W/M,2/16/2023
291,1852,SUP,2/16/2023
179,1856,SUP,2/16/2023
209,1857,W/M,2/16/2023
209,1863,SUP,2/16/2023
180,1866,SUP,2/16/2023
180,1868,SUP,2/16/2023
165,1869,W/M,2/16/2023
187,1871,SUP,2/16/2023
161,1873,SUP,2/16/2023
162,1891,SUP,2/16/2023
214,1894,SUP,2/16/2023
215,1895,W/M,2/16/2023
292,1904,SUP,2/16/2023
160,1906,W/M,2/16/2023
184,1907,SUP,2/16/2023
195,1909,SUP,2/16/2023
215,1911,SUP,2/16/2023
207,1913,SUP,2/16/2023
156,1918,W/M,2/16/2023
179,1919,W/M,2/16/2023
178,1921,W/M,2/16/2023
179,1924,SUP,2/16/2023
191,1926,SUP,2/16/2023
