Store Number,Status of Party Tray Program
1,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
2,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
3,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
4,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
5,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
9,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
10,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
11,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
12,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
13,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
14,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
15,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
16,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
17,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
18,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
19,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
20,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
21,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
22,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
23,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
24,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
25,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
27,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
28,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
30,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
31,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
34,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
35,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
36,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
37,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
38,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
40,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
41,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
42,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
43,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
45,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
46,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
47,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
48,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
49,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
54,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
55,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
58,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
59,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
60,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
61,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
62,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
64,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
65,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
66,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
67,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
69,"Yes, will sell Sliced-In-Store made-to-order Party Trays"
