Store #,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail
2141,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
2830,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
3252,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
3541,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
5495,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
5881,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
5891,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
2167,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
2263,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
2945,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
3501,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
5795,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
2446,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
3810,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
2096,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
2445,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
3475,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
3564,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
3565,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
4687,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
5229,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
2068,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
2650,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
5103,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
5130,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
5131,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
5649,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
5177,4.61,,2.36,,4.3,,2.21,,4.08,,2.1,,3.89,,2,,4.32,,2.22,
1670,4.2,,2.23,,3.9,,2.08,,3.66,,1.97,,3.46,,1.87,,3.89,,2.08,
1777,4.2,,2.23,,3.9,,2.08,,3.66,,1.97,,3.46,,1.87,,3.89,,2.08,
2614,4.2,,2.23,,3.9,,2.08,,3.66,,1.97,,3.46,,1.87,,3.89,,2.08,
5239,4.2,,2.23,,3.9,,2.08,,3.66,,1.97,,3.46,,1.87,,3.89,,2.08,
2145,4.2,,2.23,,3.9,,2.08,,3.66,,1.97,,3.46,,1.87,,3.89,,2.08,
2252,4.2,,2.23,,3.9,,2.08,,3.66,,1.97,,3.46,,1.87,,3.89,,2.08,
2641,4.2,,2.23,,3.9,,2.08,,3.66,,1.97,,3.46,,1.87,,3.89,,2.08,
3563,4.2,,2.23,,3.9,,2.08,,3.66,,1.97,,3.46,,1.87,,3.89,,2.08,
4612,4.2,,2.23,,3.9,,2.08,,3.66,,1.97,,3.46,,1.87,,3.89,,2.08,
2169,4.03,,2.15,,3.74,,2,,3.5,,1.89,,3.31,,1.79,,3.77,,2.02,
2368,4.03,,2.15,,3.74,,2,,3.5,,1.89,,3.31,,1.79,,3.77,,2.02,
1623,4.03,,2.15,,3.74,,2,,3.5,,1.89,,3.31,,1.79,,3.77,,2.02,
1884,4.03,,2.15,,3.74,,2,,3.5,,1.89,,3.31,,1.79,,3.77,,2.02,
2024,4.03,,2.15,,3.74,,2,,3.5,,1.89,,3.31,,1.79,,3.77,,2.02,
2064,4.03,,2.15,,3.74,,2,,3.5,,1.89,,3.31,,1.79,,3.77,,2.02,
2255,4.03,,2.15,,3.74,,2,,3.5,,1.89,,3.31,,1.79,,3.77,,2.02,
2365,4.03,,2.15,,3.74,,2,,3.5,,1.89,,3.31,,1.79,,3.77,,2.02,
2480,4.03,,2.15,,3.74,,2,,3.5,,1.89,,3.31,,1.79,,3.77,,2.02,
2543,4.03,,2.15,,3.74,,2,,3.5,,1.89,,3.31,,1.79,,3.77,,2.02,
4276,4.03,,2.15,,3.74,,2,,3.5,,1.89,,3.31,,1.79,,3.77,,2.02,
1644,4.03,,2.15,,3.74,,2,,3.5,,1.89,,3.31,,1.79,,3.77,,2.02,
1794,4.03,,2.15,,3.74,,2,,3.5,,1.89,,3.31,,1.79,,3.77,,2.02,
1887,4.03,,2.15,,3.74,,2,,3.5,,1.89,,3.31,,1.79,,3.77,,2.02,
1945,4.03,,2.15,,3.74,,2,,3.5,,1.89,,3.31,,1.79,,3.77,,2.02,
2185,4.03,,2.15,,3.74,,2,,3.5,,1.89,,3.31,,1.79,,3.77,,2.02,
2208,4.03,,2.15,,3.74,,2,,3.5,,1.89,,3.31,,1.79,,3.77,,2.02,
2528,4.03,,2.15,,3.74,,2,,3.5,,1.89,,3.31,,1.79,,3.77,,2.02,
2481,4.03,,2.15,,3.74,,2,,3.5,,1.89,,3.31,,1.79,,3.77,,2.02,
2535,4.03,,2.15,,3.74,,2,,3.5,,1.89,,3.31,,1.79,,3.77,,2.02,
3634,4.03,,2.15,,3.74,,2,,3.5,,1.89,,3.31,,1.79,,3.77,,2.02,
1591,4.17,,2.24,,3.81,,2.06,,3.54,,1.93,,3.34,,1.83,,3.91,,2.11,
1886,4.17,,2.24,,3.81,,2.06,,3.54,,1.93,,3.34,,1.83,,3.91,,2.11,
2574,4.17,,2.24,,3.81,,2.06,,3.54,,1.93,,3.34,,1.83,,3.91,,2.11,
3412,4.17,,2.24,,3.81,,2.06,,3.54,,1.93,,3.34,,1.83,,3.91,,2.11,
1529,4.17,,2.24,,3.81,,2.06,,3.54,,1.93,,3.34,,1.83,,3.91,,2.11,
2023,4.17,,2.24,,3.81,,2.06,,3.54,,1.93,,3.34,,1.83,,3.91,,2.11,
2205,4.17,,2.24,,3.81,,2.06,,3.54,,1.93,,3.34,,1.83,,3.91,,2.11,
2334,4.17,,2.24,,3.81,,2.06,,3.54,,1.93,,3.34,,1.83,,3.91,,2.11,
2340,4.17,,2.24,,3.81,,2.06,,3.54,,1.93,,3.34,,1.83,,3.91,,2.11,
2519,4.17,,2.24,,3.81,,2.06,,3.54,,1.93,,3.34,,1.83,,3.91,,2.11,
2888,4.17,,2.24,,3.81,,2.06,,3.54,,1.93,,3.34,,1.83,,3.91,,2.11,
4404,4.17,,2.24,,3.81,,2.06,,3.54,,1.93,,3.34,,1.83,,3.91,,2.11,
5200,4.17,,2.24,,3.81,,2.06,,3.54,,1.93,,3.34,,1.83,,3.91,,2.11,
1537,4.17,,2.24,,3.81,,2.06,,3.54,,1.93,,3.34,,1.83,,3.91,,2.11,
1823,4.17,,2.24,,3.81,,2.06,,3.54,,1.93,,3.34,,1.83,,3.91,,2.11,
1850,4.17,,2.24,,3.81,,2.06,,3.54,,1.93,,3.34,,1.83,,3.91,,2.11,
3633,4.17,,2.24,,3.81,,2.06,,3.54,,1.93,,3.34,,1.83,,3.91,,2.11,
5358,4.17,,2.24,,3.81,,2.06,,3.54,,1.93,,3.34,,1.83,,3.91,,2.11,
5469,4.17,,2.24,,3.81,,2.06,,3.54,,1.93,,3.34,,1.83,,3.91,,2.11,
5888,4.17,,2.24,,3.81,,2.06,,3.54,,1.93,,3.34,,1.83,,3.91,,2.11,
1770,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
4644,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
4643,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
1820,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
1883,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
1885,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
2603,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
3223,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
3738,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
3838,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
2008,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
2597,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
2909,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
5360,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
1568,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
1656,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
2278,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
2287,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
2561,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
2674,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
3253,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
3281,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
5445,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
1739,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
2281,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
2300,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
2420,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
5040,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
5446,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
2019,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
2588,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
2611,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
4501,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
5241,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
5339,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
5379,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
2059,4.43,,2.37,,4.11,,2.21,,3.88,,2.09,,3.7,,2,,4.14,,2.22,
