Market,Store,Food,Consumables,Toys,Live Plants ,Fashion  
323,1,Yes,Yes,Yes,Yes,Yes
322,2,Yes,Yes,Yes,Yes,No
21,3,Yes,Yes,Yes,Yes,No
323,4,Yes,Yes,Yes,Yes,No
326,5,Yes,Yes,Yes,Yes,No
326,7,Yes,Yes,Yes,Yes,No
326,8,Yes,Yes,Yes,Yes,No
335,9,Yes,Yes,Yes,Yes,No
347,10,Yes,Yes,Yes,Yes,No
328,11,Yes,Yes,Yes,Yes,No
347,12,Yes,Yes,Yes,Yes,No
334,13,Yes,Yes,Yes,Yes,No
357,14,Yes,Yes,Yes,Yes,No
333,15,Yes,Yes,Yes,Yes,No
321,16,Yes,Yes,Yes,Yes,No
334,17,Yes,Yes,Yes,Yes,No
328,18,Yes,Yes,Yes,Yes,No
335,19,Yes,Yes,Yes,Yes,No
361,20,Yes,Yes,Yes,Yes,No
336,21,Yes,Yes,Yes,Yes,No
347,22,Yes,Yes,Yes,Yes,No
135,23,Yes,Yes,Yes,Yes,No
326,24,Yes,Yes,Yes,Yes,Yes
359,25,Yes,Yes,Yes,Yes,No
411,26,Yes,Yes,Yes,Yes,No
357,27,Yes,Yes,Yes,Yes,No
347,28,Yes,Yes,Yes,Yes,No
336,29,Yes,Yes,Yes,Yes,No
335,30,Yes,Yes,Yes,Yes,No
351,31,Yes,Yes,Yes,Yes,No
333,32,Yes,Yes,Yes,Yes,No
325,33,Yes,Yes,Yes,Yes,No
334,34,Yes,Yes,Yes,Yes,No
407,35,Yes,Yes,Yes,Yes,No
329,36,Yes,Yes,Yes,Yes,No
335,37,Yes,Yes,Yes,Yes,No
47,38,Yes,Yes,Yes,Yes,No
410,39,Yes,Yes,Yes,Yes,No
359,40,Yes,Yes,Yes,Yes,No
345,41,Yes,Yes,Yes,Yes,No
410,42,Yes,Yes,Yes,Yes,No
407,43,Yes,Yes,Yes,Yes,No
336,44,Yes,Yes,Yes,Yes,No
329,45,Yes,Yes,Yes,Yes,No
357,46,Yes,Yes,Yes,Yes,No
351,47,Yes,Yes,Yes,Yes,No
334,48,Yes,Yes,Yes,Yes,No
47,49,Yes,Yes,Yes,Yes,No
347,50,Yes,Yes,Yes,Yes,No
359,51,Yes,Yes,Yes,Yes,No
325,52,Yes,Yes,Yes,Yes,No
322,54,Yes,Yes,Yes,Yes,No
321,55,Yes,Yes,Yes,Yes,No
333,56,Yes,Yes,Yes,Yes,No
328,57,Yes,Yes,Yes,Yes,No
325,58,Yes,Yes,Yes,Yes,No
334,59,Yes,Yes,Yes,Yes,No
339,60,Yes,Yes,Yes,Yes,No
361,61,Yes,Yes,Yes,Yes,No
329,62,Yes,Yes,Yes,Yes,No
347,63,Yes,Yes,Yes,Yes,No
146,64,Yes,Yes,Yes,Yes,No
336,65,Yes,Yes,Yes,Yes,No
321,66,Yes,Yes,Yes,Yes,No
321,67,Yes,Yes,Yes,Yes,No
329,68,Yes,Yes,Yes,Yes,No
335,69,Yes,Yes,Yes,Yes,No
329,70,Yes,Yes,Yes,Yes,No
328,71,Yes,Yes,Yes,Yes,No
410,72,Yes,Yes,Yes,Yes,No
356,73,Yes,Yes,Yes,Yes,No
329,74,Yes,Yes,Yes,Yes,No
134,75,Yes,Yes,Yes,Yes,No
322,76,Yes,Yes,Yes,Yes,No
83,77,Yes,Yes,Yes,Yes,No
357,78,Yes,Yes,Yes,Yes,No
334,79,Yes,Yes,Yes,Yes,No
359,80,Yes,Yes,Yes,Yes,No
347,81,Yes,Yes,Yes,Yes,No
335,82,Yes,Yes,Yes,Yes,No
327,83,Yes,Yes,Yes,Yes,No
324,85,Yes,Yes,Yes,Yes,No
357,86,Yes,Yes,Yes,Yes,Yes
127,87,Yes,Yes,Yes,Yes,No
357,88,Yes,Yes,Yes,Yes,No
336,89,Yes,Yes,Yes,Yes,No
347,90,Yes,Yes,Yes,Yes,No
329,91,Yes,Yes,Yes,Yes,No
334,92,Yes,Yes,Yes,Yes,No
146,93,Yes,Yes,Yes,Yes,No
145,94,Yes,Yes,Yes,Yes,No
335,95,Yes,Yes,Yes,Yes,No
361,96,Yes,Yes,Yes,Yes,No
146,97,Yes,Yes,Yes,Yes,No
135,98,Yes,Yes,Yes,Yes,No
340,99,Yes,Yes,Yes,Yes,No
323,100,Yes,Yes,Yes,Yes,Yes
336,101,Yes,Yes,Yes,Yes,No
327,102,Yes,Yes,Yes,Yes,No
351,103,Yes,Yes,Yes,Yes,No
146,104,Yes,Yes,Yes,Yes,No
4,105,Yes,Yes,Yes,Yes,No
146,106,Yes,Yes,Yes,Yes,No
146,107,Yes,Yes,Yes,Yes,No
344,108,Yes,Yes,Yes,Yes,No
360,109,Yes,Yes,Yes,Yes,No
89,110,Yes,Yes,Yes,Yes,Yes
410,111,Yes,Yes,Yes,Yes,No
138,112,Yes,Yes,Yes,Yes,No
349,113,Yes,Yes,Yes,Yes,No
4,114,Yes,Yes,Yes,Yes,No
138,115,Yes,Yes,Yes,Yes,No
127,116,Yes,Yes,Yes,Yes,No
47,117,Yes,Yes,Yes,Yes,No
4,118,Yes,Yes,Yes,Yes,No
328,119,Yes,Yes,Yes,Yes,No
146,120,Yes,Yes,Yes,Yes,No
351,121,Yes,Yes,Yes,Yes,No
335,122,Yes,Yes,Yes,Yes,No
351,123,Yes,Yes,Yes,Yes,No
324,124,Yes,Yes,Yes,Yes,No
