Store Number,Recommended Additional Pallets for Memorial Day Weekend
52,2
78,1
127,2
140,2
147,2
148,1
158,1
163,2
165,2
174,2
180,1
185,2
202,1
206,2
214,1
219,2
220,2
226,1
228,2
236,2
249,2
251,1
259,2
260,2
261,2
265,1
266,2
268,1
269,1
271,2
275,3
280,2
283,1
284,1
286,2
288,2
290,2
296,1
297,2
318,2
321,1
322,2
345,1
351,2
356,1
371,2
398,1
400,1
404,3
405,1
412,2
413,3
414,2
417,2
420,2
421,2
427,1
437,2
438,3
440,3
442,1
447,2
456,2
458,2
461,1
462,2
464,1
470,2
471,2
475,1
476,1
490,3
500,1
502,1
504,3
505,1
508,3
511,1
512,2
513,1
516,2
522,2
528,2
529,2
535,2
536,2
537,2
541,1
547,1
549,1
553,1
561,2
563,2
565,1
574,3
576,1
579,2
582,2
595,2
601,2
602,1
608,2
610,2
611,2
613,2
623,1
643,3
649,2
666,2
697,2
700,1
705,2
706,2
718,2
721,3
725,3
728,2
744,2
755,1
759,2
761,1
765,2
767,1
768,2
769,3
771,2
777,1
778,3
781,1
782,2
789,1
793,2
804,2
806,3
807,1
808,1
813,3
814,1
818,3
819,2
822,2
827,2
831,2
835,2
842,2
846,1
849,2
850,2
851,3
860,2
862,1
865,3
868,3
880,1
896,2
897,3
900,1
901,2
904,2
906,3
915,1
917,2
918,2
919,2
928,2
929,2
931,1
941,2
944,2
945,2
947,2
956,1
959,2
960,2
963,2
967,2
968,2
969,2
972,2
973,1
974,2
981,1
984,2
987,2
988,2
990,2
991,2
994,2
999,2
1000,1
1001,2
1004,3
1015,2
1023,2
1029,2
1032,2
1036,2
1037,1
1040,2
1041,2
1042,1
1045,1
1055,2
1062,2
1064,1
1066,2
1068,1
1070,2
1079,3
1085,2
1087,2
1088,2
1098,2
1103,2
1104,2
1117,2
1126,2
1131,1
1132,2
1134,2
1137,1
1144,1
1148,2
1149,3
1154,3
1156,2
1171,1
1172,1
1175,3
1178,1
1182,2
1191,1
1195,3
1198,2
1200,2
1203,2
1205,1
1206,1
1207,2
1213,2
1216,2
1218,3
1222,2
1224,2
1230,3
1231,2
1240,3
1245,2
1249,2
1253,1
1255,1
1257,2
1272,2
1279,1
1280,3
1287,1
1290,1
1291,2
1292,1
1297,2
1298,2
1299,3
1303,2
1306,3
1308,2
1309,1
1315,2
1324,2
1328,3
1334,2
1335,2
1338,1
1342,2
1346,2
1348,3
1349,1
1355,2
1357,2
1362,3
1363,1
1364,3
1370,3
1375,2
1380,2
1381,3
1383,2
1384,2
1387,1
1390,2
1391,2
1392,2
1397,2
1398,1
1399,2
1406,2
1411,3
1412,3
1414,2
1417,3
1434,2
1436,2
1440,3
1442,3
1444,1
1456,3
1461,2
1464,1
1465,1
1474,3
1486,1
1494,2
1511,2
1512,2
1513,1
1516,1
1517,1
1523,1
1532,3
1533,3
1536,2
1541,1
1549,3
1559,2
1560,3
1584,2
1590,2
1597,2
1598,2
1605,1
1612,3
1614,1
1631,1
1646,2
1686,2
1687,1
1688,1
1689,1
1699,3
1702,1
1708,2
1712,2
1720,1
1726,2
1730,1
1746,3
1759,2
1767,2
1768,2
1801,1
1811,1
1817,3
1825,2
1827,1
1833,2
1834,2
1837,1
1846,2
1847,2
1851,1
1852,1
1870,2
1872,2
1874,3
1875,1
1880,2
1888,2
1890,2
1896,2
1900,2
1901,2
1902,3
1904,2
1905,3
1916,1
1951,2
1957,2
1960,2
1968,1
1981,2
1995,2
1996,2
2000,3
2006,2
2015,1
2037,2
2050,3
2051,1
2058,1
2070,2
2074,2
2081,1
2086,1
2101,2
2105,2
2112,2
2114,1
2132,1
2175,2
2176,2
2188,2
2201,2
2239,3
2241,2
2253,1
2256,1
2279,1
2295,1
2307,3
2308,1
2312,2
2348,1
2387,2
2391,1
2396,2
2404,1
2406,2
2414,2
2419,2
2433,2
2435,2
2436,2
2437,2
2451,3
2459,2
2463,1
2465,2
2472,2
2473,1
2482,1
2483,3
2485,2
2492,2
2508,2
2511,2
2512,2
2514,1
2515,1
2533,1
2551,2
2554,3
2560,2
2564,2
2571,1
2591,3
2593,1
2615,3
2627,2
2630,2
2632,2
2646,2
2652,1
2653,2
2665,1
2667,2
2671,1
2703,3
2705,3
2712,1
2722,2
2724,2
2727,1
2730,3
2748,2
2762,3
2763,2
2765,2
2766,1
2767,1
2768,1
2769,3
2772,3
2777,1
2778,2
2780,1
2781,1
2782,1
2789,2
2790,2
2791,2
2793,1
2796,1
2804,1
2821,2
2832,3
2834,1
2836,2
2838,1
2845,2
2858,1
2884,1
2887,2
2907,1
2918,3
2921,1
2922,1
2924,1
2928,2
2929,1
2930,2
2944,2
2946,1
2973,1
2974,1
2975,1
2976,1
2979,2
2988,1
2993,1
2995,1
3011,2
3013,2
3014,2
3018,1
3043,1
3049,3
3056,1
3058,1
3083,2
3093,1
3094,1
3104,2
3106,2
3111,3
3119,2
3127,2
3135,3
3136,3
3143,2
3157,2
3169,1
3176,1
3199,1
3202,2
3204,2
3208,1
3213,3
3214,2
3216,3
3217,2
3225,2
3229,1
3235,2
3239,1
3241,1
3258,2
3260,1
3261,2
3265,2
3274,1
3275,1
3286,2
3305,2
3309,2
3310,2
3311,1
3314,2
3341,2
3344,3
3347,3
3348,3
3349,2
3350,2
3351,1
3355,2
3360,2
3366,2
3370,2
3371,3
3372,3
3377,3
3381,2
3383,2
3385,1
3387,2
3390,2
3391,2
3397,1
3407,2
3411,2
3418,2
3419,1
3423,2
3427,2
3430,2
3431,1
3433,3
3449,2
3454,1
3465,3
3472,2
3473,2
3474,1
3490,1
3504,2
3510,1
3511,1
3512,3
3517,2
3518,2
3521,1
3526,2
3527,2
3530,1
3568,1
3569,1
3572,1
3573,2
3582,2
3584,2
3585,2
3591,3
3604,2
3606,1
3620,2
3623,1
3625,2
3631,1
3638,1
3639,2
3644,3
3645,2
3655,2
3661,1
3700,1
3702,2
3720,3
3730,3
3731,1
3732,1
3733,3
3739,2
3740,1
3746,3
3751,2
3752,2
3763,2
3768,1
3770,3
3771,1
3773,2
3788,3
3789,2
3799,3
3804,2
3807,1
3825,3
3827,3
3831,1
3833,2
3835,2
3843,2
3846,1
3848,1
3861,3
3877,2
3883,2
3884,2
3886,3
3887,3
3889,2
3896,1
3897,1
3935,1
3988,1
4046,3
4056,3
4063,1
4065,2
4068,2
4100,2
4102,2
4111,2
4114,2
4115,2
4129,1
4161,2
4163,2
4165,2
4180,1
4191,3
4194,3
4196,1
4201,2
4203,2
4219,2
4220,2
4224,3
4232,1
4233,2
4240,3
4249,2
4250,2
4252,2
4258,2
4260,1
4264,2
4272,1
4274,2
4279,1
4283,1
4293,1
4295,1
4299,2
4303,3
4318,2
4324,3
4325,1
4336,1
4337,3
4339,2
4341,2
4350,2
4355,1
4356,3
4357,1
4367,1
4368,3
4380,3
4380,3
4384,3
4394,1
4395,3
4407,2
4410,1
4425,1
4427,2
4430,2
4438,1
4441,2
4451,1
4453,2
4457,2
4464,2
4465,2
4466,1
4468,2
4477,2
4490,1
4494,1
4498,2
4499,2
4512,1
4519,2
4520,1
4525,1
4526,1
4527,3
4538,2
4543,2
4546,2
4546,2
4556,2
4557,2
4560,2
4574,1
4577,1
4582,1
4588,2
4593,2
4601,1
4603,2
4617,1
4618,2
4619,1
4623,1
4667,1
4672,1
4673,2
4676,1
4679,1
4681,1
4683,2
4690,1
4691,2
4696,1
4756,2
4826,1
5005,1
5022,3
5031,1
5034,2
5036,2
5037,2
5045,2
5051,1
5055,1
5070,2
5071,2
5079,1
5092,3
5094,2
5099,1
5101,2
5102,2
5108,1
5124,1
5129,3
5146,2
5147,3
5155,2
5167,1
5173,1
5174,1
5186,1
5190,2
5191,2
5204,2
5205,1
5206,2
5210,1
5221,2
5224,3
5226,2
5227,2
5232,1
5233,1
5234,1
