8184,980173083,54,BOUQUET,6,,3,,4,,PALLET,13
8184,557745,63,DOZEN ROSES,,6,,7,,9,PALLET,22
8184,984192699,18,GRAND VASE,,,,,,0,PALLET,0
8215,980173083,54,BOUQUET,6,,6,,5,,PALLET,17
8215,557745,63,DOZEN ROSES,,6,,6,,6,PALLET,18
8215,984192699,18,GRAND VASE,,,,,,0,PALLET,0
8238,980173083,54,BOUQUET,3,,3,,4,,PALLET,10
8238,557745,63,DOZEN ROSES,,3,,5,,3,PALLET,11
8238,984192699,18,GRAND VASE,,,,,,0,PALLET,0
4840,980010313,27,ULTRA PREMIUM,,0,,0,,1,PALLET,1
4840,214451,45,ROSE VASE,,2,,2,,1,PALLET,5
6321,980010313,27,ULTRA PREMIUM,,0,,0,,1,PALLET,1
6321,214451,45,ROSE VASE,,1,,0,,0,PALLET,1
6324,980010313,27,ULTRA PREMIUM,,0,,0,,1,PALLET,1
6324,214451,45,ROSE VASE,,1,,0,,0,PALLET,1
6331,980010313,27,ULTRA PREMIUM,,0,,0,,1,PALLET,1
6331,214451,45,ROSE VASE,,3,,2,,3,PALLET,8
8149,980010313,27,ULTRA PREMIUM,,0,,0,,1,PALLET,1
8149,214451,45,ROSE VASE,,2,,2,,1,PALLET,5
8164,980010313,27,ULTRA PREMIUM,,0,,0,,3,PALLET,3
8164,214451,45,ROSE VASE,,1,,1,,0,PALLET,2
8167,980010313,27,ULTRA PREMIUM,,0,,0,,1,PALLET,1
8167,214451,45,ROSE VASE,,1,,1,,0,PALLET,2
8297,980173083,54,BOUQUET,6,,6,,5,,PALLET,17
8297,557745,63,DOZEN ROSES,,9,,7,,9,PALLET,25
8297,984192699,18,GRAND VASE,,,,,,0,PALLET,0
8298,980173083,54,BOUQUET,3,,3,,4,,PALLET,10
8298,557745,63,DOZEN ROSES,,6,,3,,6,PALLET,15
8298,984192699,18,GRAND VASE,,,,,,0,PALLET,0
4722,980173083,54,BOUQUET,6,,6,,5,,PALLET,17
4722,557745,63,DOZEN ROSES,,9,,12,,12,PALLET,33
4722,984192699,18,GRAND VASE,,,,,,1,PALLET,1
4771,980173083,54,BOUQUET,6,,6,,3,,PALLET,15
4771,557745,63,DOZEN ROSES,,9,,9,,12,PALLET,30
4771,984192699,18,GRAND VASE,,,,,,0,PALLET,0
6330,214451,45,ROSE VASE,,1,,1,,2,PALLET,4
6330,980010313,27,ULTRA PREMIUM,,0,,0,,1,PALLET,1
4855,980173083,54,BOUQUET,6,,3,,3,,PALLET,12
4855,557745,63,DOZEN ROSES,,6,,4,,6,PALLET,16
4855,984192699,18,GRAND VASE,,,,,,0,PALLET,0
4994,980173083,54,BOUQUET,3,,3,,1,,PALLET,7
4994,557745,63,DOZEN ROSES,,6,,7,,9,PALLET,22
4994,984192699,18,GRAND VASE,,,,,,0,PALLET,0
6239,980173083,54,BOUQUET,6,,3,,4,,PALLET,13
6239,557745,63,DOZEN ROSES,,9,,8,,12,PALLET,29
6239,984192699,18,GRAND VASE,,,,,,1,PALLET,1
6330,980173083,54,BOUQUET,3,,3,,0,,PALLET,6
6330,557745,63,DOZEN ROSES,,6,,6,,9,PALLET,21
6330,984192699,18,GRAND VASE,,,,,,0,PALLET,0
6332,980173083,54,BOUQUET,6,,3,,4,,PALLET,13
6332,557745,63,DOZEN ROSES,,6,,6,,6,PALLET,18
6332,984192699,18,GRAND VASE,,,,,,0,PALLET,0
4771,214451,45,ROSE VASE,,1,,1,,0,PALLET,2
