Store #,WM WK #,Install Date,Start Time,,,,
12,30,8/25/2023,1:00:00 AM,,,,
37,25,7/20/23,1:00 AM,,,,
69,31,8/31/2023,1:00:00 AM,,,,
86,27,8/2/23,1:00 AM,,,,
138,31,8/30/2023,1:00:00 AM,,,,
152,27,8/3/23,1:00 AM,,,,
174,22,6/27/23,1:00 AM,,,,
194,31,8/30/2023,1:00:00 AM,,,,
201,24,7/13/23,1:00 AM,,,,
234,24,7/12/23,1:00 AM,,,,
257,30,8/21/2023,1:00:00 AM,,,,
294,30,8/22/2023,1:00:00 AM,,,,
319,30,8/23/2023,1:00:00 AM,,,,
321,30,8/21/2023,1:00:00 AM,,,,
330,30,8/25/2023,1:00:00 AM,,,,
396,31,8/31/2023,1:00:00 AM,,,,
404,25,7/19/23,1:00 AM,,,,
435,30,8/24/2023,1:00:00 AM,,,,
445,30,8/23/2023,1:00:00 AM,,,,
472,30,8/23/2023,1:00:00 AM,,,,
494,26,7/24/23,1:00 AM,,,,
508,27,7/31/23,1:00 AM,,,,
522,30,8/25/2023,1:00:00 AM,,,,
525,30,8/23/2023,1:00:00 AM,,,,
526,30,8/24/2023,1:00:00 AM,,,,
528,24,7/13/23,1:00 AM,,,,
548,26,7/25/23,1:00 AM,,,,
554,30,8/21/2023,1:00:00 AM,,,,
563,31,8/31/2023,1:00:00 AM,,,,
573,27,8/4/23,1:00 AM,,,,
589,30,8/25/2023,1:00:00 AM,,,,
601,30,8/22/2023,1:00:00 AM,,,,
613,22,6/30/23,1:00 AM,,,,
644,31,8/30/2023,1:00:00 AM,,,,
649,22,6/28/23,1:00 AM,,,,
658,30,8/21/2023,1:00:00 AM,,,,
705,25,7/18/23,1:00 AM,,,,
722,26,7/26/23,1:00 AM,,,,
725,24,7/13/23,1:00 AM,,,,
744,31,8/28/2023,1:00:00 AM,,,,
752,31,8/31/2023,1:00:00 AM,,,,
759,24,7/14/23,1:00 AM,,,,
765,25,7/21/23,1:00 AM,,,,
769,26,7/26/23,1:00 AM,,,,
771,24,7/11/23,1:00 AM,,,,
779,23,7/7/23,1:00 AM,,,,
781,25,7/17/23,1:00 AM,,,,
782,26,7/24/23,1:00 AM,,,,
800,25,7/19/23,1:00 AM,,,,
811,26,7/26/23,1:00 AM,,,,
824,27,8/4/23,1:00 AM,,,,
850,27,8/2/23,1:00 AM,,,,
859,22,6/28/23,1:00 AM,,,,
860,25,7/20/23,1:00 AM,,,,
865,27,8/1/23,1:00 AM,,,,
894,30,8/21/2023,1:00:00 AM,,,,
901,25,7/18/23,1:00 AM,,,,
931,22,6/29/23,1:00 AM,,,,
939,30,8/22/2023,1:00:00 AM,,,,
941,25,7/17/23,1:00 AM,,,,
942,31,8/29/2023,1:00:00 AM,,,,
943,22,6/28/23,1:00 AM,,,,
959,31,8/28/2023,1:00:00 AM,,,,
968,22,6/29/23,1:00 AM,,,,
973,22,6/27/23,1:00 AM,,,,
988,31,8/29/2023,1:00:00 AM,,,,
1004,26,7/27/23,1:00 AM,,,,
1014,26,7/26/23,1:00 AM,,,,
1027,31,8/29/2023,1:00:00 AM,,,,
1029,23,7/6/23,1:00 AM,,,,
1046,30,8/23/2023,1:00:00 AM,,,,
1047,26,7/27/23,1:00 AM,,,,
1079,22,6/29/23,1:00 AM,,,,
1084,26,7/28/23,1:00 AM,,,,
1104,30,8/24/2023,1:00:00 AM,,,,
1131,31,8/29/2023,1:00:00 AM,,,,
1151,22,6/26/23,1:00 AM,,,,
1161,30,8/22/2023,1:00:00 AM,,,,
1171,22,6/29/23,1:00 AM,,,,
1203,25,7/18/23,1:00 AM,,,,
1209,31,8/30/2023,1:00:00 AM,,,,
1220,31,8/30/2023,1:00:00 AM,,,,
