Store Number,Feature
1,Endcap
3,Endcap
4,Endcap
5,Endcap
7,Endcap
9,Endcap
10,Endcap
11,Endcap
12,Endcap
13,Endcap
14,Endcap
15,Endcap
17,Endcap
19,Endcap
21,Endcap
24,Endcap
25,Endcap
29,Endcap
31,Endcap
37,Endcap
40,Endcap
41,Endcap
46,Endcap
48,Endcap
52,Endcap
58,Endcap
59,Endcap
60,Endcap
61,Endcap
63,Endcap
67,Endcap
70,Endcap
76,Endcap
77,Endcap
78,Endcap
79,Endcap
85,Endcap
88,Endcap
95,Endcap
96,Endcap
100,Endcap
101,Endcap
103,Endcap
105,Endcap
110,Endcap
111,Endcap
116,Endcap
119,Endcap
120,Endcap
126,Endcap
130,Endcap
138,Endcap
140,Endcap
143,Endcap
150,Endcap
151,Endcap
157,Endcap
159,Endcap
163,Endcap
168,Endcap
174,Endcap
177,Endcap
179,Endcap
185,Endcap
186,Endcap
189,Endcap
192,Endcap
194,Endcap
197,Endcap
198,Endcap
201,Endcap
203,Endcap
212,Endcap
216,Endcap
220,Endcap
221,Endcap
248,Endcap
250,Endcap
251,Endcap
253,Endcap
258,Endcap
259,Endcap
260,Endcap
264,Endcap
265,Endcap
268,Endcap
269,Endcap
279,Endcap
284,Endcap
285,Endcap
287,Endcap
295,Endcap
297,Endcap
299,Endcap
301,Endcap
307,Endcap
308,Endcap
314,Endcap
317,Endcap
331,Endcap
332,Endcap
335,Endcap
343,Endcap
345,Endcap
347,Endcap
353,Endcap
355,Endcap
356,Endcap
361,Endcap
365,Endcap
366,Endcap
368,Endcap
370,Endcap
379,Endcap
381,Endcap
388,Endcap
389,Endcap
391,Endcap
393,Endcap
404,Endcap
407,Endcap
410,Endcap
412,Endcap
420,Endcap
421,Endcap
423,Endcap
427,Endcap
432,Endcap
433,Endcap
434,Endcap
445,Endcap
449,Endcap
451,Endcap
459,Endcap
468,Endcap
471,Endcap
475,Endcap
490,Endcap
491,Endcap
495,Endcap
497,Endcap
499,Endcap
500,Endcap
502,Endcap
504,Endcap
508,Endcap
510,Endcap
513,Endcap
516,Endcap
518,Endcap
528,Endcap
532,Endcap
535,Endcap
540,Endcap
542,Endcap
547,Endcap
556,Endcap
557,Endcap
559,Endcap
560,Endcap
571,Endcap
574,Endcap
575,Endcap
578,Endcap
588,Endcap
590,Endcap
593,Endcap
598,Endcap
601,Endcap
602,Endcap
608,Endcap
613,Endcap
614,Endcap
622,Endcap
625,Endcap
630,Endcap
634,Endcap
635,Endcap
636,Endcap
637,Endcap
645,Endcap
648,Endcap
652,Endcap
653,Endcap
655,Endcap
658,Endcap
659,Endcap
660,Endcap
661,Endcap
662,Endcap
664,Endcap
665,Endcap
666,Endcap
668,Endcap
669,Endcap
671,Endcap
673,Endcap
675,Endcap
678,Endcap
680,Endcap
682,Endcap
683,Endcap
684,Endcap
685,Endcap
687,Endcap
689,Endcap
691,Endcap
692,Endcap
694,Endcap
697,Endcap
700,Endcap
705,Endcap
709,Endcap
716,Endcap
718,Endcap
719,Endcap
721,Endcap
722,Endcap
723,Endcap
724,Endcap
725,Endcap
727,Endcap
733,Endcap
734,Endcap
739,Endcap
740,Endcap
742,Endcap
743,Endcap
745,Endcap
746,Endcap
750,Endcap
752,Endcap
755,Endcap
756,Endcap
767,Endcap
768,Endcap
774,Endcap
777,Endcap
780,Endcap
781,Endcap
794,Endcap
796,Endcap
800,Endcap
804,Endcap
807,Endcap
810,Endcap
818,Endcap
819,Endcap
826,Endcap
827,Endcap
828,Endcap
838,Endcap
839,Endcap
844,Endcap
850,Endcap
852,Endcap
859,Endcap
861,Endcap
862,Endcap
864,Endcap
865,Endcap
867,Endcap
869,Endcap
872,Endcap
877,Endcap
880,Endcap
886,Endcap
890,Endcap
891,Endcap
892,Endcap
894,Endcap
899,Endcap
907,Endcap
910,Endcap
911,Endcap
914,Endcap
918,Endcap
922,Endcap
924,Endcap
927,Endcap
932,Endcap
934,Endcap
936,Endcap
942,Endcap
945,Endcap
952,Endcap
958,Endcap
963,Endcap
965,Endcap
969,Endcap
972,Endcap
974,Endcap
976,Endcap
980,Endcap
981,Endcap
989,Endcap
990,Endcap
994,Endcap
1006,Endcap
1010,Endcap
1012,Endcap
1021,Endcap
1022,Endcap
1025,Endcap
1026,Endcap
1028,Endcap
1030,Endcap
1033,Endcap
1034,Endcap
1036,Endcap
1039,Endcap
1041,Endcap
1048,Endcap
1055,Endcap
1056,Endcap
1058,Endcap
1064,Endcap
1070,Endcap
1075,Endcap
1076,Endcap
1077,Endcap
1079,Endcap
1080,Endcap
1081,Endcap
1082,Endcap
1083,Endcap
