Store,"Feature Size (Half pallet, pallet, endcap, etc..)",Delivery Week
1,Mod,40
3,Mod,40
4,Mod,40
5,Mod,40
9,Mod,40
10,Mod,40
11,Mod,40
12,Mod,40
13,Mod,40
14,Mod,40
17,Mod,40
18,Mod,40
19,Mod,40
21,Mod,40
24,Mod,40
25,Mod,40
26,Mod,40
28,Mod,40
30,Mod,40
31,Mod,40
32,Mod,40
34,Mod,40
35,Mod,40
36,Mod,40
37,Mod,40
38,Mod,40
40,Mod,40
41,Mod,40
42,Mod,40
43,Mod,40
45,Mod,40
46,Mod,40
47,Mod,40
48,Mod,40
51,Mod,40
52,Mod,40
54,Mod,40
55,Mod,40
56,Mod,40
57,Mod,40
58,Mod,40
59,Mod,40
60,Mod,40
61,Mod,40
63,Mod,40
64,Mod,40
65,Mod,40
66,Mod,40
67,Mod,40
68,Mod,40
69,Mod,40
71,Mod,40
72,Mod,40
73,Mod,40
74,Mod,40
75,Mod,40
76,Mod,40
77,Mod,40
78,Mod,40
79,Mod,40
83,Mod,40
85,Mod,40
86,Mod,40
89,Mod,40
92,Mod,40
94,Mod,40
95,Mod,40
96,Mod,40
99,Mod,40
101,Mod,40
102,Mod,40
103,Mod,40
108,Mod,40
109,Mod,40
110,Mod,40
111,Mod,40
112,Mod,40
113,Mod,40
114,Mod,40
116,Mod,40
118,Mod,40
119,Mod,40
121,Mod,40
123,Mod,40
125,Mod,40
126,Mod,40
128,Mod,40
129,Mod,40
130,Mod,40
135,Mod,40
137,Mod,40
138,Mod,40
139,Mod,40
140,Mod,40
141,Mod,40
143,Mod,40
144,Mod,40
149,Mod,40
150,Mod,40
151,Mod,40
152,Mod,40
154,Mod,40
155,Mod,40
157,Mod,40
159,Mod,40
160,Mod,40
162,Mod,40
163,Mod,40
164,Mod,40
165,Mod,40
166,Mod,40
167,Mod,40
168,Mod,40
169,Mod,40
170,Mod,40
171,Mod,40
172,Mod,40
173,Mod,40
174,Mod,40
175,Mod,40
178,Mod,40
180,Mod,40
181,Mod,40
183,Mod,40
184,Mod,40
185,Mod,40
186,Mod,40
189,Mod,40
192,Mod,40
194,Mod,40
195,Mod,40
196,Mod,40
197,Mod,40
198,Mod,40
199,Mod,40
200,Mod,40
201,Mod,40
202,Mod,40
204,Mod,40
205,Mod,40
206,Mod,40
211,Mod,40
212,Mod,40
213,Mod,40
214,Mod,40
216,Mod,40
217,Mod,40
220,Mod,40
222,Mod,40
224,Mod,40
225,Mod,40
227,Mod,40
228,Mod,40
229,Mod,40
231,Mod,40
233,Mod,40
234,Mod,40
237,Mod,40
239,Mod,40
240,Mod,40
243,Mod,40
249,Mod,40
250,Mod,40
251,Mod,40
253,Mod,40
254,Mod,40
256,Mod,40
259,Mod,40
260,Mod,40
261,Mod,40
262,Mod,40
265,Mod,40
268,Mod,40
269,Mod,40
271,Mod,40
272,Mod,40
273,Mod,40
275,Mod,40
278,Mod,40
279,Mod,40
280,Mod,40
281,Mod,40
285,Mod,40
286,Mod,40
287,Mod,40
290,Mod,40
292,Mod,40
294,Mod,40
295,Mod,40
297,Mod,40
298,Mod,40
299,Mod,40
300,Mod,40
302,Mod,40
303,Mod,40
306,Mod,40
308,Mod,40
309,Mod,40
310,Mod,40
313,Mod,40
314,Mod,40
315,Mod,40
316,Mod,40
317,Mod,40
318,Mod,40
319,Mod,40
321,Mod,40
322,Mod,40
325,Mod,40
328,Mod,40
329,Mod,40
330,Mod,40
331,Mod,40
332,Mod,40
333,Mod,40
334,Mod,40
335,Mod,40
337,Mod,40
340,Mod,40
343,Mod,40
344,Mod,40
346,Mod,40
347,Mod,40
348,Mod,40
350,Mod,40
351,Mod,40
354,Mod,40
355,Mod,40
356,Mod,40
358,Mod,40
359,Mod,40
360,Mod,40
363,Mod,40
364,Mod,40
365,Mod,40
368,Mod,40
371,Mod,40
372,Mod,40
374,Mod,40
375,Mod,40
376,Mod,40
378,Mod,40
379,Mod,40
382,Mod,40
383,Mod,40
386,Mod,40
389,Mod,40
391,Mod,40
392,Mod,40
393,Mod,40
394,Mod,40
395,Mod,40
398,Mod,40
400,Mod,40
402,Mod,40
404,Mod,40
405,Mod,40
406,Mod,40
407,Mod,40
408,Mod,40
409,Mod,40
410,Mod,40
413,Mod,40
414,Mod,40
415,Mod,40
416,Mod,40
417,Mod,40
419,Mod,40
420,Mod,40
421,Mod,40
426,Mod,40
427,Mod,40
429,Mod,40
430,Mod,40
431,Mod,40
432,Mod,40
433,Mod,40
434,Mod,40
435,Mod,40
436,Mod,40
443,Mod,40
445,Mod,40
447,Mod,40
448,Mod,40
449,Mod,40
451,Mod,40
452,Mod,40
