Location,Date
1,11/20/2022
1,11/21/2022
1,11/22/2022
4,11/27/2022
4,12/17/2022
4,12/18/2022
9,11/11/2022
9,11/19/2022
9,12/30/2022
13,11/19/2022
13,11/27/2022
13,12/17/2022
14,11/19/2022
14,12/17/2022
14,12/18/2022
15,11/12/2022
15,11/27/2022
15,12/17/2022
16,11/10/2022
16,11/11/2022
16,11/19/2022
17,11/19/2022
17,11/27/2022
17,12/17/2022
18,11/19/2022
18,12/10/2022
18,12/17/2022
20,12/3/2022
20,12/17/2022
20,12/18/2022
22,11/27/2022
22,12/18/2022
22,12/27/2022
23,11/27/2022
24,11/5/2022
24,12/3/2022
24,12/17/2022
27,11/10/2022
27,11/11/2022
27,11/12/2022
30,11/1/2022
30,11/11/2022
30,11/12/2022
34,11/12/2022
34,11/22/2022
34,12/30/2022
36,11/27/2022
36,12/4/2022
36,12/18/2022
39,11/24/2022
39,11/27/2022
39,12/25/2022
41,11/5/2022
41,11/12/2022
41,12/30/2022
46,11/19/2022
46,12/17/2022
46,12/30/2022
47,11/1/2022
47,11/5/2022
47,12/1/2022
52,11/27/2022
52,12/30/2022
52,1/2/2023
55,11/27/2022
55,12/22/2022
55,12/30/2022
57,11/17/2022
57,11/18/2022
57,12/17/2022
58,11/22/2022
58,12/21/2022
58,12/22/2022
59,11/1/2022
59,12/17/2022
59,12/18/2022
60,11/27/2022
60,12/22/2022
60,12/30/2022
61,11/1/2022
61,11/5/2022
61,11/12/2022
63,11/27/2022
63,11/28/2022
63,12/30/2022
68,11/28/2022
68,12/30/2022
68,1/2/2023
69,11/22/2022
69,12/22/2022
69,12/30/2022
71,11/22/2022
71,11/27/2022
71,12/22/2022
72,11/12/2022
72,11/19/2022
72,11/20/2022
73,11/4/2022
73,11/11/2022
73,11/18/2022
75,11/5/2022
75,11/12/2022
75,11/19/2022
78,11/19/2022
78,11/24/2022
78,12/25/2022
79,11/19/2022
79,11/27/2022
79,12/18/2022
81,12/3/2022
81,12/10/2022
81,12/17/2022
82,11/28/2022
82,12/17/2022
82,12/18/2022
88,11/27/2022
88,11/28/2022
88,11/29/2022
89,12/21/2022
89,12/22/2022
89,12/27/2022
90,11/19/2022
90,12/1/2022
90,12/17/2022
95,11/19/2022
95,12/17/2022
95,12/18/2022
96,11/20/2022
96,11/27/2022
96,11/28/2022
102,11/22/2022
102,12/22/2022
102,1/9/2023
103,11/22/2022
103,12/27/2022
103,12/30/2022
104,11/19/2022
104,12/3/2022
104,12/17/2022
106,11/5/2022
106,11/12/2022
106,11/19/2022
109,11/19/2022
109,11/20/2022
109,12/17/2022
113,11/19/2022
113,11/28/2022
113,12/17/2022
114,11/5/2022
114,11/12/2022
114,11/27/2022
117,11/4/2022
117,11/5/2022
117,11/12/2022
118,11/12/2022
118,11/19/2022
118,11/28/2022
119,11/5/2022
119,12/3/2022
119,12/17/2022
121,11/5/2022
121,12/3/2022
121,12/4/2022
122,11/12/2022
122,11/19/2022
122,11/20/2022
125,11/5/2022
125,11/12/2022
125,12/17/2022
129,11/1/2022
129,11/19/2022
129,12/1/2022
130,11/5/2022
130,11/19/2022
130,11/20/2022
131,11/4/2022
131,11/11/2022
131,11/18/2022
134,11/1/2022
134,12/1/2022
134,12/25/2022
135,11/11/2022
135,11/12/2022
135,11/13/2022
136,11/1/2022
136,12/1/2022
136,12/5/2022
139,11/22/2022
139,11/27/2022
139,12/22/2022
140,11/27/2022
140,11/28/2022
140,12/17/2022
145,11/11/2022
145,11/19/2022
145,12/17/2022
146,11/5/2022
146,11/19/2022
146,11/28/2022
147,11/27/2022
147,11/28/2022
147,1/2/2023
149,11/19/2022
149,12/2/2022
149,12/3/2022
152,12/3/2022
152,12/10/2022
152,12/17/2022
153,11/19/2022
153,11/20/2022
153,12/17/2022
154,11/5/2022
154,11/27/2022
154,12/3/2022
155,11/22/2022
155,12/22/2022
155,12/30/2022
161,11/19/2022
161,12/17/2022
161,12/18/2022
162,11/19/2022
162,11/20/2022
162,12/17/2022
164,11/22/2022
164,12/22/2022
164,12/30/2022
165,11/12/2022
166,11/19/2022
166,11/20/2022
166,12/30/2022
167,11/18/2022
167,11/19/2022
167,11/24/2022
168,11/5/2022
168,11/12/2022
168,11/19/2022
170,12/2/2022
170,12/3/2022
170,12/4/2022
173,11/4/2022
173,11/11/2022
173,11/18/2022
174,11/27/2022
174,11/28/2022
174,1/2/2023
177,11/5/2022
177,11/12/2022
177,11/19/2022
178,11/1/2022
178,11/22/2022
178,12/22/2022
179,11/27/2022
179,11/28/2022
179,12/22/2022
180,11/28/2022
180,12/30/2022
180,1/16/2023
181,11/20/2022
181,12/17/2022
181,12/18/2022
184,11/20/2022
184,12/17/2022
184,12/18/2022
185,11/5/2022
185,11/12/2022
185,11/19/2022
186,11/5/2022
186,11/12/2022
186,11/19/2022
188,11/5/2022
188,11/12/2022
188,11/19/2022
190,11/3/2022
190,11/19/2022
190,12/2/2022
192,11/27/2022
192,11/28/2022
192,12/30/2022
196,11/27/2022
196,11/28/2022
196,12/30/2022
197,11/28/2022
197,12/10/2022
197,12/17/2022
204,11/28/2022
204,12/17/2022
204,12/18/2022
205,12/16/2022
205,12/17/2022
205,12/18/2022
209,11/27/2022
209,12/30/2022
209,1/2/2023
210,11/1/2022
210,11/5/2022
210,12/1/2022
212,12/17/2022
212,12/18/2022
212,12/30/2022
214,11/28/2022
214,12/17/2022
214,1/2/2023
218,11/1/2022
218,11/19/2022
218,11/22/2022
219,11/22/2022
219,12/22/2022
219,12/30/2022
220,11/5/2022
220,11/12/2022
220,11/19/2022
221,11/27/2022
221,12/17/2022
221,12/30/2022
222,11/24/2022
222,12/25/2022
222,1/2/2023
225,12/3/2022
225,12/10/2022
225,12/17/2022
229,11/22/2022
229,12/22/2022
229,12/30/2022
230,11/1/2022
230,11/19/2022
230,12/17/2022
231,11/19/2022
231,12/3/2022
231,12/17/2022
232,11/4/2022
232,11/11/2022
232,11/18/2022
234,11/22/2022
234,12/22/2022
234,12/27/2022
236,11/22/2022
236,11/27/2022
236,11/28/2022
238,11/12/2022
238,11/19/2022
238,1/2/2023
239,11/19/2022
239,11/22/2022
239,12/30/2022
