Store ID,First Assigned Carrier,Fulfillment Type, Status, Trend,Directional Focus,Max_WM_WK_ID,Weeks on DPI,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
922,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202431,2,91.00%,97.00%,9.7,100.00%,89.40%,86.70%,88.00%
250,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202431,3,84.00%,97.30%,6,91.70%,84.20%,71.50%,86.90%
802,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202431,2,78.60%,98.50%,5.7,83.40%,81.60%,72.70%,77.60%
913,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202431,2,72.70%,97.90%,6.9,89.40%,67.20%,75.20%,58.00%
1316,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202431,3,87.50%,91.20%,9.8,87.40%,93.50%,80.20%,89.00%
2714,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202431,3,85.30%,100.00%,5.2,85.90%,85.20%,84.10%,85.90%
5232,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202431,2,76.20%,96.70%,6.4,89.30%,74.80%,67.60%,70.80%
1797,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202431,3,87.90%,95.10%,6.7,94.40%,91.90%,80.60%,84.10%
1932,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202431,3,85.40%,96.60%,8.4,88.70%,85.90%,85.40%,81.50%
2644,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202431,3,77.10%,51.90%,23.2,97.20%,83.70%,67.70%,67.70%
2362,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202431,2,84.10%,82.30%,13.9,86.40%,83.10%,82.50%,84.10%
1201,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202431,2,85.80%,75.30%,14.2,98.90%,85.30%,84.40%,76.90%
1543,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202431,3,83.60%,65.30%,10,82.80%,88.60%,76.70%,88.90%
