Store Number,Serial Number,SIM Status,SIM Last Update,Acquisitio,Manufacturer Name,Model,Caliber,Firearm Type,Notes,UPC
1673,4057220,----,----,3/22/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
1673,0020-96359,----,----,5/16/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
1673,4175869,----,----,8/1/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
1673,4176913,----,----,8/4/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
1731,4142244,----,----,6/17/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
1731,0021-02413,----,----,6/21/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
1731,4175876,----,----,8/1/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
1731,4176065,----,----,8/3/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
1781,4171230,----,----,7/21/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402050
1781,4172231,----,----,7/28/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654400278
1781,0021-14506,----,----,8/10/2022,RUGER,,.22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",736676011032
1806,4119725,----,----,5/24/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
1806,4120977,----,----,5/24/2022,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"Remove from salesfloor
Change SIM status to Do Not Sell",62654402029
