Store Number,City, State, Article Description,Quantity,Delivery Date, PO Number
94,MILLINGTON,TN,GRILL GARAGE 4 RS STR,2,02/08/2024,38671008
123,SEMINOLE,OK,GRILL GARAGE 4 RS ADD,2,02/08/2024,38671022
125,FORT SMITH,AR,GRILL GARAGE 4 RS STR,2,01/04/2024,38563429
125,FORT SMITH,AR,GRILL GARAGE 4 RS ADD,6,01/04/2024,38563429
131,MOUNT PLEASANT,TX,GRILL GARAGE 4 RS ADD,6,02/08/2024,38671035
135,CHILLICOTHE,MO,GRILL GARAGE 4 RS ADD,1,02/08/2024,38671004
135,CHILLICOTHE,MO,GRILL GARAGE 4 RS STR,1,02/08/2024,38671004
137,STILLWATER,OK,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670993
137,STILLWATER,OK,GRILL GARAGE 4 RS STR,1,02/08/2024,38670993
139,PURCELL,OK,GRILL GARAGE 4 RS STR,1,02/08/2024,38671025
140,LUFKIN,TX,GRILL GARAGE 4 RS ADD,9,02/08/2024,38671061
140,LUFKIN,TX,GRILL GARAGE 4 RS STR,3,02/08/2024,38671061
154,ABINGDON,VA,GRILL GARAGE 4 RS ADD,8,02/08/2024,38670977
154,ABINGDON,VA,GRILL GARAGE 4 RS STR,2,02/08/2024,38670977
157,SEARCY,AR,GRILL GARAGE 4 RS ADD,9,02/08/2024,38671037
157,SEARCY,AR,GRILL GARAGE 4 RS STR,3,02/08/2024,38671037
186,EL DORADO,KS,GRILL GARAGE 4 RS ADD,1,02/08/2024,38671066
186,EL DORADO,KS,GRILL GARAGE 4 RS STR,1,02/08/2024,38671066
188,CAPE GIRARDEAU,MO,GRILL GARAGE 4 RS STR,3,02/08/2024,38671053
194,BAYTOWN,TX,GRILL GARAGE 4 RS STR,2,01/04/2024,38566861
194,BAYTOWN,TX,GRILL GARAGE 4 RS ADD,6,01/04/2024,38566861
195,EXCELSIOR SPRINGS,MO,GRILL GARAGE 4 RS ADD,1,02/08/2024,38671092
195,EXCELSIOR SPRINGS,MO,GRILL GARAGE 4 RS STR,1,02/08/2024,38671092
197,MACOMB,IL,GRILL GARAGE 4 RS ADD,2,02/08/2024,38671028
197,MACOMB,IL,GRILL GARAGE 4 RS STR,1,02/08/2024,38671028
198,SALEM,IL,GRILL GARAGE 4 RS ADD,3,02/08/2024,38671048
198,SALEM,IL,GRILL GARAGE 4 RS STR,1,02/08/2024,38671048
