Store,Scheduled Removal,18D_Removal,36D_Removal
383,9/25/2023,,2
384,9/25/2023,,2
408,9/26/2023,,4
449,9/26/2023,,3
469,9/26/2023,,2
521,9/26/2023,,2
1204,9/27/2023,,2
