DC Number,Blast Radius,Type,Date,Summary,CRQ
"6056, 6064, 6090, 7010, 7015, 7018, 7024, 7079",GDC CELL000,Enhancement,8/1/2025,Truncate unused tables in prod,CHG3372238
8852,,Enhancement,8/1/2025,Delete old MQ Subscriptions in US808852,CHG3374730
"6072, 3010, 6074, ...",,Enhancement,8/4/2025,Change dcFin WAC base URL EUS,CHG3376463
"6056, 6064, 6090, 7010, 7015, 7018, 7024, 7079",GDC Cell 000,Enhancement,8/4/2025,Enable CCM changes for Trip handout,CHG3377591
"6056, 6064, 6090, 7010, 7015, 7018, 7024, 7079",CELL000,Enhancement,8/5/2025,Install GDC feature changes for DC 6090.US,CHG3388563
"6056, 6064, 6090, 7010, 7015, 7018, 7024, 7079",CELL000,Enhancement,8/6/2025,Enable GDC feature changes for DC 6090.US,CHG3389328
"3010, 4154, 6072, 6085, 6095, 6096, 7012, 7017, 7023, 8851",cell012,Enhancement,8/6/2025,Slotting P1 bug fixes,CHG3380192
"8852, 3010",,Enhancement,8/6/2025,Kafka Topic Configuration,CHG3384699
8852,,Enhancement,8/6/2025,Atlas Loading Tablet Deployment,CHG3388412
"7013, 7021, 7047, 7048, 7077, 7084, 8397, 8852",Cell 002,Enhancement,8/6/2025,Atlas Loading defects and snyk vulnerability fixes,CHG3386886
"6042, 6057, 6065, 6077, 6082, 6083, 6084, 8348, 7013, 7021, 7047, 7048, 7077, 7084, 8397, 8852, 2971, 4047, 6047, 6059, 6074, 6091, 6097, 6858, 7014, 7016, 2364, 4020, 6055, 6062, 6071, 6073, 6099, 7019, 7030, 7055, 3010, 4154, 6072, 6085, 6095, 6096, 7012, 7017, 7023, 8851","Cell001,Cell002,Cell010,Cell011,Cell012",Enhancement,8/6/2025,Truncate unused tables in prod,CHG3383482
"2971, 4047, 6047, 6059, 6074, 6091, 6097, 6858, 7014, 7016, 2364, 4020, 6055, 6062, 6071, 6073, 6099, 7019, 7030, 7055","Cell010, Cell011",Enhancement,8/6/2025,Install new rapid relayer under inventory namespace,CHG3388022
"2971, 4047, 6047, 6059, 6074, 6091, 6097, 6858, 7014, 7016",cell010,Enhancement,8/6/2025,Inventory Web UI Pilot Deployment,CHG3383016
"2971, 4047, 6047, 6059, 6074, 6091, 6097, 6858, 7014, 7016, 2364, 4020, 6055, 6062, 6071, 6073, 6099, 7019, 7030, 7055, 3010, 4154, 6072, 6085, 6095, 6096, 7012, 7017, 7023, 8851","Cell010, Cell011, cell012",Enhancement,8/6/2025,Enable purge job for witron and dematic DC's,CHG3386502
"3010, 4154, 6072, 6085, 6095, 6096, 7012, 7017, 7023, 8851",cell012,Enhancement,8/6/2025,Update time frequency for 5110 feeds jobs,CHG3386522
"6042, 6057, 6065, 6077, 6082, 6083, 6084, 8348",cell001,Enhancement,8/6/2025,COUNTit Walmart SDK for Azure Cosmos,CHG3383157
8852,,Enhancement,8/7/2025,Update CCM for Inventory 2.0 APIs,CHG3398192
